"sequence","date","new?","title","country","director","year","grade","theater","shorts","additional info","ignore  this","ignore  this","&nbsp;"
"60","3-apr-02","38","panic room","usa","fincher","2002","b+","1","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"61","5-apr-02","39","blade ii","usa","del toro","2002","c","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"62","6-apr-02","40","barry lyndon","uk","kubrick","1975","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"63","9-apr-02","41","monsters inc.","usa","silverman","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"64","9-apr-02","42","haiku tunnel","usa","kornbluth","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"65","10-apr-02","&nbsp;","se7en","usa","fincher","1995","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"66","12-apr-02","43","big trouble","usa","sonnenfeld","2002","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"67","14-apr-02","44","mean machine","uk","skolnik","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"68","15-apr-02","45","thin blue line","usa","morris","1988","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"69","16-apr-02","46","frailty","usa","paxton","2001","c","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"70","17-apr-02","47","joe dirt","usa","gordon","2001","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"71","17-apr-02","48","cast away","usa","zemeckis","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"72","20-apr-02","49","freddy got fingered","usa","green","2001","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"73","22-apr-02","50","his girl friday","usa","hawks","1940","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"74","23-apr-02","51","waking life","usa","linklater","2001","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"75","24-apr-02","52","novocaine","usa","atkins","2001","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"76","25-apr-02","&nbsp;","primal fear","usa","hoblit","1996","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"77","26-apr-02","53","la femme nikita","france","besson","1990","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"78","26-apr-02","54","best in show","usa","guest","2000","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"79","27-apr-02","55","o","usa","nelson","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"80","28-apr-02","56","swimming with sharks","usa","huang","1994","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"81","30-apr-02","&nbsp;","freddy got fingered","usa","green","2001","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"82","1-may-02","57","storytelling","usa","solondz","2001","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"83","3-may-02","58","pledge","usa","penn","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"84","4-may-02","59","boys don't cry","usa","peirce","1999","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"85","6-may-02","60","it happened one night","usa","capra","1934","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"86","8-may-02","61","swordfish","usa","sena","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"87","9-may-02","62","crossroads","usa","davis","2001","d","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;"
"88","11-may-02","63","pallbearer","usa","reeves","1996","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"89","11-may-02","64","donnie darko","usa","kelly","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"90","12-may-02","&nbsp;","blade runner","usa","scott","1982","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"91","12-may-02","65","hollow man","usa","verhoeven","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"92","13-may-02","66","midnight express","uk","parker","1978","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"93","14-may-02","67","fire","india","mehta","1996","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"94","17-may-02","&nbsp;","summer of sam","usa","lee","1999","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"95","18-may-02","68","requiem for a dream","usa","aronofsky","2000","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"96","19-may-02","69","to kill a mockingbird","usa","mulligan","1962","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"97","20-may-02","&nbsp;","royal tenenbaums","usa","anderson","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"98","23-may-02","70","clockstoppers","usa","frakes","2002","d","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;"
"99","24-may-02","71","amelie","france","jeunet","2001","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"100","26-may-02","72","contender","usa","lurie","2000","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"101","27-may-02","73","spiderman","usa","raimi","2002","c+","1","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"102","27-may-02","74","thin line between love and hate","usa","lawrence","1996","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"103","30-may-02","75","gummo","usa","korine","1997","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"104","31-may-02","76","insomnia","usa","nolan","2002","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"105","6-jun-02","&nbsp;","discreet charm of the bourgeoisie","france","bunuel","1972","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"106","7-jun-02","77","bully","usa","clark","2001","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"107","8-jun-02","78","sum of all fears","usa","robinson","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"108","9-jun-02","&nbsp;","best in show","usa","guest","2000","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"109","9-jun-02","79","get on the bus","usa","lee","1996","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"110","10-jun-02","&nbsp;","meet the parents","usa","roach","2000","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"111","10-jun-02","&nbsp;","atomic cafe","usa","rafferty","1982","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"112","10-jun-02","80","manufacturing consent","canada","wintonick","1992","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"113","11-jun-02","81","changing lanes","usa","mitchell","2002","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"114","12-jun-02","82","close encounters of the third kind","usa","spielberg","1977","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"115","13-jun-02","83","chopper","australia","dominik","2000","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"116","15-jun-02","&nbsp;","menace ii society","usa","hughes","1993","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"117","16-jun-02","84","buffalo '66","usa","gallo","1998","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"118","17-jun-02","85","idiots","denmark","von trier","1998","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"119","17-jun-02","86","pet sematary","usa","lambert","1989","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"120","18-jun-02","87","general","uk","boorman","1998","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"121","19-jun-02","88","amittyville horror","usa","rosenberg","1979","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"122","20-jun-02","89","lumiere et compagnie","france","various","1995","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"123","20-jun-02","90","first year","usa","guggenheim","2001","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"124","21-jun-02","91","hearts of darkness","usa","coppola","1991","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"125","23-jun-02","92","angels and insects","uk","haas","1995","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"126","24-jun-02","93","dancer in the dark","denmark","von trier","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"127","25-jun-02","94","ghost world","usa","zwigoff","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"128","27-jun-02","95","fat man and little boy","usa","joffe","1989","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"129","28-jun-02","96","star wars: episode ii - attack of the clones","usa","lucas","2002","d","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;"
"130","29-jun-02","&nbsp;","terminator 2:judgment day","usa","cameron","1991","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"131","29-jun-02","97","bourne identity","usa","liman","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"132","29-jun-02","&nbsp;","spanish prisoner","usa","mamet","1997","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"133","30-jun-02","98","wall street","usa","stone","1987","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"134","30-jun-02","99","kurt &amp; courtney","usa","broomfield","1998","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"135","2-jul-02","&nbsp;","big one","usa","moore","1997","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"136","2-jul-02","&nbsp;","roger &amp; me","usa","moore","1989","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"137","4-jul-02","100","repo man","usa","cox","1984","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"138","5-jul-02","101","waking the dead","usa","gordon","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"139","6-jul-02","&nbsp;","uncle buck","usa","hughes","1989","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"140","6-jul-02","102","sexy beast","uk","glazer","2000","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"141","7-jul-02","103","men in black ii","usa","sonnenfeld","2002","c","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"142","10-jul-02","104","windtalkers","usa","woo","2002","c","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"143","11-jul-02","105","following","uk","nolan","1998","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"144","12-jul-02","106","waking ned devine","uk","jones","1998","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"145","14-jul-02","107","men of honor","usa","tillman jr.","2000","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"146","14-jul-02","108","road to perdition","usa","mendes","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"147","18-jul-02","109","man with the movie camera","ussr","vertov","1929","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"148","18-jul-02","&nbsp;","man with the movie camera","ussr","vertov","1929","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"149","19-jul-02","110","mr. deeds","usa","brill","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"150","20-jul-02","111","born on the fourth of july","usa","stone","1989","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"151","20-jul-02","112","baraka","usa","fricke","1992","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"152","21-jul-02","&nbsp;","austin powers: the spy who shagged me","usa","roach","1999","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"153","26-jul-02","113","k-19: the widowmaker","usa","bigelow","2002","c-","1","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"154","28-jul-02","&nbsp;","kids","usa","clark","1995","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"155","1-aug-02","114","minority report","usa","spielberg","2002","c+","1","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"156","3-aug-02","115","austin powers in goldmember","usa","roach","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"157","4-aug-02","116","bubble boy","usa","hayes","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"158","6-aug-02","117","startup.com","usa","hegedus","2001","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"159","7-aug-02","118","dogtown and z-boys","usa","peralta","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"160","11-aug-02","119","full frontal","usa","soderbergh","2002","c-","1","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"161","14-aug-02","120","l.i.e.","usa","cuesta","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"162","16-aug-02","&nbsp;","kiss of the dragon","usa","nahon","2001","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"163","17-aug-02","&nbsp;","graduate","usa","nichols","1967","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"164","17-aug-02","121","blood work","usa","eastwood","2002","b-","1","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"165","18-aug-02","&nbsp;","lord of the rings: the fellowship of the ring","new zealand","jackson","2001","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"166","18-aug-02","&nbsp;","super troopers","usa","chandrasekhar","2001","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"167","21-aug-02","&nbsp;","sum of all fears","usa","robinson","2002","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"168","23-aug-02","&nbsp;","searchers","usa","ford","1956","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"169","23-aug-02","&nbsp;","usual suspects","usa","singer","1995","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"170","24-aug-02","122","some like it hot","usa","wilder","1959","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"171","25-aug-02","&nbsp;","ocean's eleven","usa","soderbergh","2001","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"172","25-aug-02","&nbsp;","producers","usa","brooks","1968","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"173","25-aug-02","&nbsp;","midnight cowboy","usa","schlesinger","1969","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"174","29-aug-02","123","john q.","usa","cassavetes","2002","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"175","31-aug-02","&nbsp;","american psycho","usa","harron","2000","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"176","31-aug-02","&nbsp;","yojimbo","japan","kurosawa","1961","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"177","1-sep-02","124","max keeble's big move","usa","hill","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"178","1-sep-02","&nbsp;","silence of the lambs","usa","demme","1991","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"179","1-sep-02","125","mulholland drive","usa","lynch","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"180","2-sep-02","126","my big fat greek wedding","usa","zwick","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"181","6-sep-02","127","city by the sea","usa","caton-jones","2002","b-","1","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"182","7-sep-02","128","blue crush","usa","stockwell","2002","d","1","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;"
"183","8-sep-02","129","steamboat bill jr.","usa","keaton","1928","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"184","9-sep-02","130","pope of greenwich village","usa","rosenberg","1984","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"185","9-sep-02","131","bedazzled","usa","ramis","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"186","14-sep-02","&nbsp;","back to the future","usa","zemeckis","1985","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"187","15-sep-02","&nbsp;","star trek ii: wrath of khan","usa","meyer","1982","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"188","15-sep-02","&nbsp;","american pie 2","usa","rogers","2001","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"189","19-sep-02","132","bicycle thief","italy","desica","1948","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"190","20-sep-02","133","natural","usa","levinson","1984","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"191","21-sep-02","134","mo better blues","usa","lee","1990","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"192","21-sep-02","&nbsp;","koyaanisqatsi","usa","reggio","1982","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"193","23-sep-02","&nbsp;","big lebowski","usa","coen","1998","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"194","24-sep-02","135","life as a house","usa","winkler","2001","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"195","25-sep-02","136","one hour photo","usa","romanek","2002","b-","1","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"196","26-sep-02","137","fast cheap and out of control","usa","morris","1997","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
