"species","code","1999","2000","2001"
"american               kestrel *","amke","","",""
"osprey","ospr","x","","x"
"eastern screech               owl *","easo","","",""
"great horned               owl *","ghow","x","x","x"
"yellow-billed               cuckoo *","ybcu","","",""
"black-billed               cuckoo *","bbcu","x","","x"
"belted kingfisher               *","beki","x","x","x"
"hairy woodpecker               *","hawo","x","x","x"
"downy woodpecker               *","dowo","x","x","x"
"yellow-bellied               sapsucker *","ybsa","x","x","x"
"red-headed               woodpecker *","rhwo","x","x","x"
"red-bellied               woodpecker *","rbwo","x","x","x"
"northern               flicker (yellow-shafted) *","ysfl","x","x","x"
"whip-poor-will               *","wpwi","x","",""
"common nighthawk               *","coni","x","x",""
"chimney swift               *","chsw","x","x","x"
"ruby-throated               hummingbird *","rthu","x","x",""
"eastern kingbird               *","eaki","x","x","x"
"great crested               flycatcher *","gcfl","x","x","x"
"eastern phoebe               *","eaph","x","x","x"
"olive-sided               flycatcher","osfl","x","",""
"eastern wood-pewee               *","eawp","x","x","x"
"yellow-bellied               flycatcher","ybfl","x","x",""
"willow flycatcher               *","wifl","x","x",""
"alder flycatcher               *","alfl","x","x",""
"least flycatcher               *","lefl","x","x","x"
"blue               jay *","blja","x","x","x"
"black-billed               magpie","bbma","&nbsp;","&nbsp;",""
"american               crow *","amcr","x","x","x"
"european               starling *","eust","x","x","x"
"bobolink               *","bobo","","x",""
"brown-headed               cowbird *","bhco","x","x","x"
"yellow-headed               blackbird *","yhbl","x","",""
"red-winged               blackbird *","rwbl","x","x","x"
"eastern meadowlark               *","eame","x","",""
"orchard oriole               *","oror","x","","x"
"baltimore               oriole *","baor","x","x","x"
"rusty blackbird","rubl","x","x","x"
"brewer's               blackbird*","brbl","&nbsp;","&nbsp;","x"
"common grackle               *","cogr","x","x","x"
"evening grosbeak","evgr","","x",""
"purple finch","pufi","","x","x"
"common redpoll","core","x","",""
"american               goldfinch *","amgo","x","x","x"
"pine siskin","pisi","","x",""
"snow bunting","snbu","x","x",""
"lapland longspur","lalo","","",""
"white-crowned               sparrow","wcsp","","x",""
"white-throated               sparrow","wtsp","x","x","x"
"american               tree sparrow","atsp","x","x","x"
"chipping               sparrow *","chsp","x","","x"
"dark-eyed               junco (slate-colored)","scju","x","x","x"
"song sparrow               *","sosp","x","x","x"
"lincoln's               sparrow","lisp","x","x","x"
"swamp sparrow               *","swsp","x","x","x"
"fox sparrow","fosp","x","x","x"
"eastern towhee               *","eato","x","x","x"
"northern               cardinal *","noca","x","x","x"
"rose-breasted               grosbeak *","rbgr","x","x","x"
"indigo bunting               *","inbu","x","x",""
"scarlet tanager               *","scta","x","x","x"
"purple martin               *","puma","x","x","x"
"cliff swallow               *","clsw","x","x","x"
"barn swallow               *","bars","x","x","x"
"tree swallow               *","tres","x","x","x"
"bank swallow               *","basw","","","x"
"northern               rough-winged swallow *","nrws","x","x","x"
"cedar waxwing               *","cedw","x","x","x"
"northern               shrike","nshr","","",""
"red-eyed               vireo *","revi","x","x","x"
"philadelphia               vireo","phvi","x","x","x"
"warbling               vireo *","wavi","x","x","x"
"yellow-throated               vireo *","ytvi","","x","x"
"blue-headed               vireo","bhvi","x","x",""
"black-and-white               warbler *","baww","x","x","x"
"prothonotary               warbler","prow","x","",""
"blue-winged               warbler","bwwa","x","x","x"
"golden-winged               warbler","gwwa","x","x","x"
"nashville               warbler","nawa","x","x","x"
"orange-crowned               warbler","ocwa","x","x","x"
"tennessee               warbler","tewa","x","x","x"
"northern               parula","nopa","x","x","x"
"cape may               warbler","cmwa","x","x","x"
"yellow warbler               *","ywar","x","x","x"
"black-throated               blue warbler","btbw","x","","x"
"yellow-rumped               warbler (myrtle)","mywa","x","x","x"
"magnolia               warbler","mawa","x","x","x"
"chestnut-sided               warbler","cswa","x","x","x"
"bay-breasted               warbler","bbwa","x","x","x"
"blackpoll               warbler","blpw","x","x","x"
"blackburnian               warbler","blbw","x","x","x"
"black-throated               green warbler","btnw","x","x","x"
"palm warbler               (western)","wpwa","x","x","x"
"palm warbler               (yellow)","ypwa","&nbsp;","x",""
"ovenbird               *","oven","x","x","x"
"northern               waterthrush","nowa","x","x","x"
"louisiana               waterthrush","lowa","","",""
"mourning               warbler *","mowa","x","x","x"
"common yellowthroat               *","coye","x","x","x"
"yellow-breasted               chat","ybch","","",""
"wilson's               warbler","wiwa","x","x","x"
"canada warbler","cawa","x","x",""
"american               redstart *","amre","x","x","x"
"house sparrow               *","hosp","","x","x"
"american               pipit","ampi","x","x",""
"gray catbird               *","grca","x","x","x"
"brown thrasher               *","brth","x","x","x"
"house wren               *","howr","x","x","x"
"winter wren","wiwr","x","x","x"
"sedge wren               *","sewr","x","",""
"marsh wren               *","mawr","x","x",""
"brown creeper","brcr","x","x","x"
"white-breasted               nuthatch *","wbnu","x","x","x"
"red-breasted               nuthatch *","rbnu","x","x",""
"black-capped               chickadee *","bcch","x","x","x"
"golden-crowned               kinglet","gcki","x","x","x"
"ruby-crowned               kinglet","rcki","x","x","x"
"blue-gray               gnatcatcher *","bggn","x","x","x"
"eastern bluebird               *","eabl","&nbsp;","x","x"
"wood thrush               *","woth","x","x","x"
"veery *","veer","x","x","x"
"gray-cheeked               thrush","gcth","x","x",""
"swainson's               thrush","swth","x","x",""
"hermit thrush","heth","x","x","x"
"american               robin *","amro","x","x","x"
