"world rank","city","country","city           population","metro           population","mayor"
"n/r","l&uuml;beck","germany","211000","","bernd saxe"
"n/r","erfurt","germany","203000","","andreas bausewein"
"n/r","rostock","germany","201000","","roland methling"
"192","accra","ghana","1605000","2756000","alfred vanderpuije"
"216","kumasi","ghana","1500000","2500000","samuel sarpong"
"518","athens","greece","757000","3216000","giorgos kaminis"
"n/r","thessaloniki","greece","407000","798000","vasilis papageorgopoulos"
"372","guatemala city","guatemala","1090000","2564000","alvaro arz&uacute;"
"145","conakry","guinea","1931000","","mamadou wasco camara"
"376","port-au-prince","haiti","1083000","1728000","jean yves jason"
"326","tegucigalpa","honduras","1200000","1324000","ricardo alvarez"
"175","budapest","hungary","1712000","2503000","istv&aacute;n tarl&oacute;s"
"3","mumbai (bombay)","india","13900000","21200000","shraddha jadhav"
"5","delhi","india","12100000","16713000","kanwar sain"
"33","bangalore","india","5840000","6562000","sk nataraj"
"34","surat","india","5390000","6347000","rajendra desai"
"36","kolkata","india","5100000","15420000","bikash ranjan bhattacharya"
"44","chennai","india","4600000","7330000","m subramaniam"
"45","ahmadabad","india","4525000","6168000","kanaji thakor"
"60","hyderabad","india","3637000","6290000","banda karthika reddy"
"71","pune","india","3337000","4470000","mohansingh rajpal"
"75","kanpur","india","3100000","4865000","ravindra patani"
"78","jaipur","india","3050000","5690000","jyoti khandelwal"
"85","durg","india","2810000","","dr shiv kumar tamer"
"117","nagpur","india","2420000","","archana dehankar"
"121","lucknow","india","2342000","2686000","dinesh sharma"
"147","indore","india","1912000","1920000","krishna murari moghe"
"160","patna","india","1800000","2500000","ghanshyam kumar"
"184","agra","india","1650000","1800000","anjula singh mahaur"
"190","nashik","india","1620000","","nayana gholap"
"213","pimpri chinchwad","india","1515000","","yogesh behl"
"219","vadodara","india","1500000","3642000","balakrishna shukla"
"231","bhopal","india","1458000","1600000","krishna gaur"
"256","ludhiana","india","1400000","4400000","n/k"
"268","thane","india","1375000","","ashjok vaity"
"269","varanasi","india","1375000","3150000","kaushalendra singh"
"283","rajkot","india","1336000","","sandhya vyas"
"298","ranchi","india","1290000","","rama khalkho"
"306","meerut","india","1277000","","n/k"
"320","allahabad","india","1215000","1250000","jitendr nath singh"
"329","amritsar","india","1195000","1300000","shawet malik"
"339","aurangabad","india","1168000","","vijaya rahatkar"
"351","solapur","india","1134000","","aruna vakase"
"355","madurai","india","1130000","","thenmozhi gopinathan"
"358","jabalpur","india","1117000","1150000","prabhat sahu"
"370","mirat","india","1095000","1095000","n/k"
"383","dhanbad","india","1065000","1200000","n/k"
"387","faridabad","india","1055000","2193000","n/k"
"406","haora","india","1008000","","sri gopal mukherjee"
"407","haora","india","1008000","1020000","sri gopal mukherjee"
"408","jodhpur","india","1007000","","om kumari gehlot"
"420","ghaziabad","india","970000","","damyanti goel"
"421","visakhapatnam","india","970000","1330000","b n vishnu"
"428","vijayawada","india","957000","1150000","ratna bindu"
"433","coimbatore","india","931000","1446000","r.venkatachalam"
"440","srinagar","india","915000","1050000","salman sagar"
"449","chandigarh","india","901000","","n/k"
"455","sholapur","india","890000","890000","n/k"
"488","thiruvananthapuram","india","810000","955000","c jayan babu"
"492","guwahati","india","808000","820000","dolly borah"
"498","hubli","india","801000","801000","n/k"
"501","mysore","india","799000","","purushotham"
"517","tiruchchirappalli","india","760000","863000","n/k"
"532","jalandhar","india","714000","764000","n/k"
"542","gwalior","india","690000","866000","sameeksha gupta"
"549","aligarh","india","680000","1116000","n/k"
"552","amravati","india","678000","1031000","n/k"
"559","bhubaneswar","india","659000","1455000","n/k"
"563","jamshedpur","india","630000","1135000","n/k"
"583","bhilai","india","564000","942000","n/k"
"n/r","kozhikode","india","437000","","m. bhaskaran"
"11","jakarta","indonesia","10100000","24100000","fauzi bowo"
"77","surabaya","indonesia","3100000","3700000","bambang d h"
"106","bandung","indonesia","2510000","3829000","dada rosada"
"141","medan","indonesia","1990000","2390000","rahudman harahap"
"195","palembang","indonesia","1600000","","eddy santana putra"
"203","tangerang","indonesia","1545000","","wahidin halim"
"259","semarang","indonesia","1393000","1400000","soemarmo hs"
"338","ujung pandang","indonesia","1170000","1254000","n/k"
"360","makasar","indonesia","1113000","","ilham arief sirajuddin"
"460","bogor","indonesia","866000","","diani budiarto"
"481","padang","indonesia","820000","900000","fauzi bahar"
"522","bandar lampung","indonesia","743000","1123000","n/k"
"523","malang","indonesia","742000","921000","n/k"
"600","surakarta","indonesia","533000","857000","n/k"
"n/r","denpasar","indonesia","491000","934000","n/k"
"n/r","yogyakarta","indonesia","417000","840000","n/k"
"n/r","mataram","indonesia","330000","1081000","n/k"
"n/r","cirebon","indonesia","319000","926000","n/k"
"n/r","tegal","indonesia","238000","784000","n/k"
"16","tehran","iran","8430000","13450000","mohammad bagher ghalibaf"
"81","mashhad","iran","2910000","3000000","mohammad pejman"
"197","esfahan","iran","1584000","2600000","morteza saqaeian nejad"
"248","tabriz","iran","1420000","","alireza novin"
"264","karaj","iran","1380000","","n/k"
"282","ahwaz","iran","1338000","1500000","saeed mombeini"
"318","shiraz","iran","1228000","1300000","mehran e'temad"
"393","qom","iran","1042000","","n/k"
"477","kermanshah","iran","823000","966000","n/k"
"32","baghdad","iraq","6050000","6500000","sabir al-issawi"
"168","basrah","iraq","1760000","3800000","jabbar jaber al-latif"
"295","irbil","iraq","1294000","15000000","n/k"
"348","mosul","iraq","1139000","1139000","n/k"
"n/r","dublin","ireland","506000","1661000","emer costello"
"514","jerusalem","israel","764000","1029000","nir barkat nazareth"
"n/r","tel aviv","israel","383000","3250000","ron huldai"
"n/r","haifa","israel","276000","975000","yona yahav"
"90","rome","italy","2732000","3555000","gianni alemanno"
"289","milan","italy","1302000","4051000","letizia moratti"
"423","naples","italy","963000","3000000","rosa russo jervolino"
"442","turin","italy","910000","1617000","sergio chiamparino"
"546","palermo","italy","684000","947000","diego cammarata"
"n/r","florence","italy","375000","825000","matteo renzi"
"n/r","catania","italy","337000","831000","n/k"
"56","abidjan","ivory coast","3800000","4000000","pierre dj&eacute;dji amondji"
"n/r","bouakt","ivory coast","531000","775000","n/k"
"562","kingston","jamaica","650000","925000","n/k"
"15","tokyo","japan","8653000","31036000","shintaro ishihara"
"59","yokohama","japan","3655000","","fumiko hayashi"
"95","osaka","japan","2647000","17590000","kunio hiramatsu"
"125","nagoya","japan","2260000","9250000","takashi kawamura"
"148","sapporo","japan","1906000","2130000","fumio ueda"
"206","kobe","japan","1534000","1560000","tatsuo yada"
"227","kyoto","japan","1466000","1500000","daisaku kadokawa"
"234","fukuoka","japan","1450000","2230000","hiroshi yoshida"
"261","kawasaki","japan","1390000","1450000","takao abe"
"334","saitama","japan","1183000","","hayato shimizu"
"336","hiroshima","japan","1174000","1700000","tadatoshi akiba"
"396","sendai","japan","1032000","1300000","emiko okuyama"
"418","kitakyushu","japan","985000","1050000","kenji kitahashi"
"424","chiba","japan","962000","970000","toshihito kumagai"
"470","sakai","japan","836000","","keisuke kiharac"
"482","hamamatsu","japan","815000","1093000","yasutomo suzuki"
"486","niigata","japan","812000","","akira shinoda"
"530","shizuoka","japan","718000","1211000","zenkichi kojima"
"539","okayama","japan","700000","1250000","shigeo takaya"
"n/r","okinawa","japan","129000","","kita kurose"
"146","amman","jordan","1919000","2524000","omar maani"
"244","almaty","kazakhstan","1420000","1500000","akhmetzhan yesimov"
"496","astana","kazakhstan","803000","","imangali tasmagambetov"
"458","mombasa","kenia","880000","","ahmed abubakar mohdhar"
"74","nairobi","kenya","3130000","3300000","geoffrey majiwa"
"n/r","kuwait city","kuwait","96000","2380000","n/k"
"513","bishkek","kyrgyzstan","765000","800000","nariman tuleyev"
"n/r","osh","kyrgyztan","230000","","melis myrzakmatov"
"528","riga","latvia","725000","878000","nils usakovs"
"309","beirut","lebanon","1250000","2600000","abdel mounim ariss"
"594","monrovia","liberia","543000","1010000","ophelia hoff saytumah"
"179","tripoli","libya","1683000","2270000","abdullatif abdulrahman aldaali"
"226","benghazi","libya","1471000","1500000","n/k"
"593","vilnius","lithuania","545000","","vilius navickas"
