"#","titel","system","reviews","durchschnitt"
"61","resident evil 4","sony playstation 2","7","5.85"
"62","the legend of zelda: twilight princess","nintendo gamecube","7","5.85"
"63","super mario bros.","nes","19","5.84"
"64","mario kart wii","nintendo wii","18","5.83"
"65","the legend of zelda: the wind waker","nintendo gamecube","6","5.83"
"66","super paper mario","nintendo wii","6","5.83"
"67","the legend of zelda: the minish cap","gameboy advance","6","5.83"
"68","super mario world 2: yoshi's island","super nes","10","5.8"
"69","singstar '80s","sony playstation 2","5","5.8"
"70","tekken tag tournament","sony playstation 2","5","5.8"
"71","the legend of zelda - oracle of seasons","gameboy color","5","5.8"
"72","yoshi's island: super mario advance 3","gameboy advance","5","5.8"
"73","sim city","amiga","5","5.8"
"74","age of empires iii","pc","5","5.8"
"75","the legend of zelda: phantom hourglass","nintendo ds","5","5.8"
"76","burnout 3 - takedown","sony playstation 2","5","5.8"
"77","grand theft auto iii","pc","5","5.8"
"78","donkey kong country","super nes","9","5.77"
"79","super mario land","gameboy","31","5.77"
"80","super mario 64","nintendo 64","17","5.76"
"81","mario kart 64","nintendo 64","29","5.75"
"82","super mario kart","super nes","20","5.75"
"83","world of warcraft: the burning crusade - addon","pc","8","5.75"
"84","tomb raider iii: adventures of lara croft","pc","4","5.75"
"85","crysis","pc","4","5.75"
"86","civilization iv","pc","4","5.75"
"87","command & conquer - alarmstufe rot","pc","4","5.75"
"88","diablo 2","pc","4","5.75"
"89","diddy kong racing","nintendo 64","4","5.75"
"90","the legend of zelda - oracle of ages","gameboy color","4","5.75"
"91","golden sun: die vergessene epoche","gameboy advance","4","5.75"
"92","tomb raider: anniversary","sony playstation 2","4","5.75"
"93","pok�mon diamant-edition","nintendo ds","7","5.71"
"94","super mario galaxy","nintendo wii","17","5.7"
"95","grand theft auto: san andreas","sony playstation 2","25","5.68"
"96","donkey kong country 2: diddy's kong quest","super nes","6","5.66"
"97","grand theft auto: liberty city stories","sony psp","6","5.66"
"98","pok�mon smaragd","gameboy advance","6","5.66"
"99","super mario advance","gameboy advance","6","5.66"
"100","super mario world: super mario advance 2","gameboy advance","6","5.66"
"101","crash bandicoot 2: cortex strikes back","sony playstation","6","5.66"
"102","crash bash","sony playstation","3","5.66"
"103","tomb raider iv: die letzte offenbarung","pc","3","5.66"
"104","dragonball z budokai 2","sony playstation 2","3","5.66"
"105","eyetoy play 3","sony playstation 2","3","5.66"
"106","fahrenheit","sony playstation 2","3","5.66"
"107","spyro 3: year of the dragon","sony playstation","3","5.66"
"108","tekken 3","sony playstation","3","5.66"
"109","die siedler 3","pc","3","5.66"
"110","baphomets fluch","pc","3","5.66"
"111","fifa 08","pc","3","5.66"
"112","duke nukem 3d","pc","3","5.66"
"113","mad tv","pc","3","5.66"
"114","dragonball z: das erbe von goku ii","gameboy advance","3","5.66"
"115","kirby's dream land 2","gameboy","3","5.66"
"116","mad tv","amiga","3","5.66"
"117","anstoss","amiga","3","5.66"
"118","civilization","amiga","3","5.66"
"119","winter games","amiga","3","5.66"
"120","resident evil 4: wii edition -uncut-","nintendo wii","3","5.66"
"121","boogie","nintendo wii","3","5.66"
"122","tekken 6","sony playstation 3","3","5.66"
"123","pro evolution soccer 2008","sony playstation 2","3","5.66"
"124","mario kart double dash!!","nintendo gamecube","17","5.64"
"125","need for speed: underground 2","sony playstation 2","11","5.63"
"126","god of war","sony playstation 2","5","5.6"
"127","call of duty 4: modern warfare","sony playstation 3","5","5.6"
"128","luigis mansion","nintendo gamecube","5","5.6"
"129","giana sisters","c64","5","5.6"
"130","wario land - super mario land 3","gameboy","5","5.6"
"131","tony hawk's skateboarding","sony playstation","5","5.6"
"132","buzz! das gro�e quiz","sony playstation 2","5","5.6"
"133","sim city 4","pc","5","5.6"
"134","super mario bros. 2","nes","7","5.57"
"135","tekken 5","sony playstation 2","7","5.57"
"136","super mario land 2 - 6 golden coins","gameboy","16","5.56"
"137","tetris","gameboy","29","5.55"
"138","grand theft auto: san andreas","pc","20","5.55"
"139","new super mario bros.","nintendo ds","15","5.53"
"140","grand theft auto iv","sony playstation 3","17","5.52"
"141","the legend of zelda: ocarina of time","nintendo 64","20","5.5"
"142","the legend of zelda: majora's mask","nintendo 64","8","5.5"
"143","wii sports resort","nintendo wii","8","5.5"
"144","anno 1503","pc","6","5.5"
"145","command & conquer - gener�le","pc","6","5.5"
"146","civilization","pc","6","5.5"
"147","the curse of monkey island","pc","6","5.5"
"148","dtm race driver 3","sony playstation 2","4","5.5"
"149","command & conquer 3: tiberium wars","pc","4","5.5"
"150","f.e.a.r.","pc","4","5.5"
"151","super mario bros. deluxe","gameboy color","4","5.5"
"152","grand theft auto: vice city stories","sony psp","4","5.5"
"153","donkey kong country 3: dixie kong's double trouble","super nes","4","5.5"
"154","halo","xbox","4","5.5"
"155","jak and daxter - the precursor legacy","sony playstation 2","4","5.5"
"156","gta: vice city","pc","22","5.45"
"157","pok�mon - silberne edition","gameboy color","16","5.43"
"158","gta: liberty city stories","sony playstation 2","7","5.42"
"159","pro evolution soccer 5","sony playstation 2","7","5.42"
"160","soul calibur iii","sony playstation 2","5","5.4"
"161","wii play","nintendo wii","5","5.4"
"162","die sims 2 - haustiere","pc","5","5.4"
"163","tony hawk's pro skater 2","sony playstation","5","5.4"
"164","rollercoaster tycoon 2","pc","5","5.4"
"165","mario kart super circuit","gameboy advance","13","5.38"
"166","pok�mon saphir edition","gameboy advance","8","5.37"
"167","empire earth","pc","8","5.37"
"168","world of warcraft","pc","11","5.36"
"169","pok�mon rubin-edition","gameboy advance","11","5.36"
"170","super mario 64 ds","nintendo ds","6","5.33"
"171","assassin's creed","sony playstation 3","6","5.33"
"172","wrc 4","sony playstation 2","3","5.33"
"173","singstar summer party","sony playstation 2","3","5.33"
"174","james bond 007 - nightfire","sony playstation 2","3","5.33"
"175","pro evolution soccer 3","sony playstation 2","3","5.33"
"176","assassin's creed","xbox 360","3","5.33"
"177","fifa 11","xbox 360","3","5.33"
"178","nhl 10","sony playstation 3","3","5.33"
"179","pok�mon platin-edition","nintendo ds","3","5.33"
"180","assassin's creed","pc","3","5.33"
"181","mario power tennis","nintendo gamecube","3","5.33"
"182","advance wars","gameboy advance","3","5.33"
"183","pok�mon trading card game","gameboy color","3","5.33"
"184","die schl�mpfe im albtraumland","gameboy","3","5.33"
"185","california games","amiga","3","5.33"
"186","north & south","amiga","3","5.33"
"187","oil imperium","amiga","3","5.33"
"188","trackmania","pc","3","5.33"
"189","theme park world","pc","3","5.33"
"190","spyro the dragon","sony playstation","3","5.33"
"191","v-rally 2","sony playstation","3","5.33"
"192","formel eins 2001","sony playstation","3","5.33"
"193","dead or alive 2","sony playstation 2","3","5.33"
"194","fifa 07","pc","3","5.33"
"195","midtown madness","pc","3","5.33"
"196","die siedler - das erbe der k�nige","pc","3","5.33"
"197","day of the tentacle","pc","3","5.33"
"198","fifa 07","sony playstation 2","10","5.3"
"199","warcraft iii: reign of chaos","pc","7","5.28"
"200","fifa 10","sony playstation 3","7","5.28"
"201","grand theft auto 2","pc","11","5.27"
"202","pok�mon blattgr�ne edition","gameboy advance","8","5.25"
"203","mario smash football","nintendo gamecube","4","5.25"
"204","frankreich 98 - die fussball wm","pc","4","5.25"
"205","lemmings","pc","4","5.25"
"206","trackmania nations","pc","4","5.25"
"207","def jam fight for ny","sony playstation 2","4","5.25"
"208","grand theft auto 2","sony playstation","4","5.25"
"209","age of empires 2: the age of kings","sony playstation 2","4","5.25"
"210","secret of mana","super nes","4","5.25"
"211","halo 2","xbox","4","5.25"
"212","animal crossing: wild world","nintendo ds","13","5.23"
"213","pok�mon - blaue edition","gameboy","20","5.2"
"214","gran turismo 4","sony playstation 2","15","5.2"
"215","virtua tennis 3","sony playstation 3","5","5.2"
"216","wario land 4","gameboy advance","5","5.2"
"217","mario & sonic at the olympic games","nintendo wii","5","5.2"
"218","midtown madness 2","pc","5","5.2"
"219","gta","pc","5","5.2"
"220","die sims 2","pc","28","5.17"
"221","half-life 2","pc","8","5.12"
"222","banjo-kazooie","nintendo 64","8","5.12"
"223","singstar pop hits","sony playstation 2","8","5.12"
"224","grand theft auto iii","sony playstation 2","9","5.11"
"225","mario kart ds","nintendo ds","20","5.09"
"226","pok�mon - gelbe edition","gameboy","10","5.09"
"227","kirby's dream land","gameboy","12","5.08"
"228","dr. kawashimas gehirn-jogging","nintendo ds","14","5.07"
"229","pok�mon - rote edition","gameboy","17","5.05"
"230","age of empires","pc","19","5"
"231","pok�mon stadium","nintendo 64","10","5"
"232","donkey kong","gameboy","8","5"
"233","pok�mon feuerrote edition","gameboy advance","7","5"
"234","far cry","pc","7","5"
"235","call of duty 4: modern warfare","pc","7","5"
"236","donkey kong 64","nintendo 64","6","5"
"237","wario ware touched!","nintendo ds","5","5"
"238","icy tower","pc","5","5"
"239","tomb raider","pc","5","5"
"240","final fantasy xii","sony playstation 2","5","5"
"241","fifa 09","sony playstation 3","4","5"
"242","street fighter ii","super nes","4","5"
"243","stronghold","pc","4","5"
"244","sim city 3000","pc","4","5"
"245","gran turismo","sony playstation","4","5"
"246","call of duty 5: world at war","pc","4","5"
"247","bioshock","pc","4","5"
"248","mario party 2","nintendo 64","4","5"
"249","super mario sunshine","nintendo gamecube","3","5"
"250","mario party 5","nintendo gamecube","3","5"
"251","pikmin","nintendo gamecube","3","5"
"252","gradius","nes","3","5"
"253","1080� snowboarding","nintendo 64","3","5"
"254","turrican ii","amiga","3","5"
"255","leisure suit larry - the land of the lounge lizards","pc","3","5"
"256","oil imperium","pc","3","5"
"257","escape from monkey island","pc","3","5"
"258","hercules","sony playstation","3","5"
"259","theme park manager","pc","3","5"
"260","warcraft ii: tides of darkness","pc","3","5"
"261","secret of evermore","super nes","3","5"
"262","fifa 11","sony playstation 3","3","5"
"263","halo 3","xbox 360","3","5"
"264","midnight club ii","sony playstation 2","3","5"
"265","singstar '90s","sony playstation 2","3","5"
"266","assassin's creed 2","sony playstation 3","3","5"
"267","wipeout fusion","sony playstation 2","3","5"
"268","tony hawk's pro skater 4","sony playstation 2","3","5"
"269","gta vice city","sony playstation 2","12","4.91"
"270","wario land","gameboy","15","4.86"
"271","wii sports","nintendo wii","15","4.86"
"272","rollercoaster tycoon 3","pc","7","4.85"
"273","buzz! das musik-quiz","sony playstation 2","13","4.84"
"274","die sims - tierisch gut drauf","pc","6","4.83"
"275","pok�mon colosseum","nintendo gamecube","6","4.83"
"276","need for speed: most wanted (platinum)","sony playstation 2","11","4.81"
"277","dr. kawashimas mehr gehirn-jogging","nintendo ds","10","4.8"
"278","anno 1701","pc","5","4.8"
"279","dr. mario","gameboy","5","4.8"
"280","call of duty: modern warfare 2","pc","4","4.75"
"281","frontschweine","sony playstation","4","4.75"
"282","rollercoaster tycoon","pc","15","4.66"
"283","fifa 08","sony playstation 2","12","4.66"
"284","battlefield 2","pc","6","4.66"
"285","die sims - hokus pokus","pc","6","4.66"
"286","indiana jones and the last crusade","pc","3","4.66"
"287","herr der ringe: die schlacht um mittelerde 2","pc","3","4.66"
"288","crash bandicoot: der zorn des cortex","sony playstation 2","3","4.66"
"289","police quest - in pursuit of the death angel","pc","3","4.66"
"290","rollercoaster tycoon 3: soaked expansion","pc","3","4.66"
"291","tom clancy's rainbow six 3: ravenshield","pc","3","4.66"
"292","duck tales","gameboy","3","4.66"
"293","die siedler","amiga","3","4.66"
"294","cruis'n usa","nintendo 64","3","4.66"
"295","ice hockey","nes","3","4.66"
"296","yoshi's story","nintendo 64","3","4.66"
"297","medal of honor: vanguard","sony playstation 2","3","4.66"
"298","final fantasy x-2","sony playstation 2","3","4.66"
"299","ratchet & clank 3","sony playstation 2","3","4.66"
"300","burnout 5: paradise","xbox 360","3","4.66"
"301","counterstrike source","pc","10","4.59"
"302","zoo tycoon","pc","7","4.57"
"303","die sims","pc","25","4.51"
"304","mario party 4","nintendo gamecube","8","4.5"
"305","gta san andreas","xbox","8","4.5"
"306","far cry 2","sony playstation 3","6","4.5"
"307","die sims 2 - vier jahreszeiten","pc","6","4.5"
"308","die sims 2 - h&m fashion stuff","pc","4","4.5"
"309","die sims - hot date","pc","4","4.5"
"310","elder scrolls 4: oblivion","pc","4","4.5"
"311","warcraft: orcs & humans","pc","4","4.5"
"312","the simpsons - hit & run","sony playstation 2","4","4.5"
"313","tony hawk's underground 2","sony playstation 2","4","4.5"
"314","fifa street","sony playstation 2","4","4.5"
"315","killzone","sony playstation 2","4","4.5"
"316","pok�mon - goldene edition","gameboy color","15","4.46"
"317","pok�mon snap","nintendo 64","7","4.42"
"318","tekken 4","sony playstation 2","7","4.42"
"319","singstar","sony playstation 2","5","4.4"
"320","ratchet & clank","sony playstation 2","5","4.4"
"321","pok�mon perl-edition","nintendo ds","6","4.33"
"322","f-1 race","gameboy","3","4.33"
"323","tiny toon","gameboy","3","4.33"
"324","der herr der ringe: die r�ckkehr des k�nigs","sony playstation 2","3","4.33"
"325","der herr der ringe: die zwei t�rme","sony playstation 2","3","4.33"
"326","final fantasy 9","sony playstation","3","4.33"
"327","max payne 2 - the fall of max payne","pc","3","4.33"
"328","singstar party","sony playstation 2","3","4.33"
"329","spider-man 2","sony playstation 2","3","4.33"
"330","resistance: fall of man","sony playstation 3","3","4.33"
"331","need for speed most wanted 5-1-0","sony psp","3","4.33"
"332","singstar - the dome","sony playstation 2","4","4.25"
"333","die sims urlaub total","pc","4","4.25"
"334","driver 3","sony playstation 2","4","4.25"
"335","quake iii arena","pc","4","4.25"
"336","singstar rocks!","sony playstation 2","9","4.22"
"337","tony hawk's underground","sony playstation 2","5","4.2"
"338","fifa street 2","sony playstation 2","5","4.2"
"339","need for speed: carbon","sony playstation 2","11","4.18"
"340","little big planet","sony playstation 3","6","4.16"
"341","tennis","gameboy","6","4.16"
"342","need for speed: underground","sony playstation 2","9","4.11"
"343","doom","pc","7","4"
"344","fifa football 2005","sony playstation 2","6","4"
"345","gta: vice city stories","sony playstation 2","5","4"
"346","motorstorm","sony playstation 3","5","4"
"347","world of warcraft: wrath of the lich king - addon","pc","5","4"
"348","der herr der ringe: die gef�hrten","sony playstation 2","4","4"
"349","burnout revenge","sony playstation 2","4","4"
"350","die sims superstar","pc","4","4"
"351","big brain academy","nintendo wii","4","4"
"352","prof. kageyama's math's training","nintendo ds","3","4"
"353","turok: dinosaur hunter","nintendo 64","3","4"
"354","loom","pc","3","4"
"355","die siedler 2 - die n�chste generation","pc","3","4"
"356","spyro 2 - gateway to glimmer","sony playstation","3","4"
"357","stronghold 2","pc","3","4"
"358","need for speed: undercover","sony playstation 3","3","4"
"359","resistance 2","sony playstation 3","3","4"
"360","prince of persia - the sands of time","sony playstation 2","3","4"
"361","flatout 2","sony playstation 2","3","4"
"362","fifa 06","sony playstation 2","9","3.88"
"363","mario party 8","nintendo wii","9","3.88"
"364","fifa football 2004","pc","6","3.83"
"365","fifa fussball-weltmeisterschaft 2006","sony playstation 2","6","3.83"
"366","wer wird million�r","pc","5","3.8"
"367","wolfenstein 3d","pc","5","3.8"
"368","s.t.a.l.k.e.r.: shadow of chernobyl","pc","4","3.75"
"369","need for speed: carbon","nintendo wii","4","3.75"
"370","wario ware: smooth moves","nintendo wii","4","3.75"
"371","mario party ds","nintendo ds","4","3.75"
"372","pok�mon pinball: rubin & saphir","gameboy advance","3","3.66"
"373","die sims","sony playstation 2","3","3.66"
"374","age of empires ii","sony playstation 2","3","3.66"
"375","microsoft train simulator","pc","3","3.66"
"376","planescape torment","pc","3","3.66"
"377","die sims - das volle leben","pc","3","3.66"
"378","crazy taxi 3","pc","3","3.66"
"379","fifa 10","sony playstation 2","3","3.66"
"380","uefa euro 2008","sony playstation 2","3","3.66"
"381","wwe smackdown! here comes the pain","sony playstation 2","3","3.66"
"382","need for speed: prostreet","sony playstation 2","5","3.6"
"383","doom ii","pc","5","3.6"
"384","nintendogs labrador & friends","nintendo ds","4","3.5"
"385","die siedler 4","pc","3","3.33"
"386","need for speed: carbon","pc","3","3.33"
"387","sim city","pc","3","3.33"
"388","pok�mon pinball","gameboy color","4","3.25"
"389","tetris 2","gameboy","4","3.25"
"390","medal of honor frontline","sony playstation 2","4","3.25"
"391","fifa football 2006","pc","3","3"
"392","fifa football 2003","sony playstation 2","4","2.75"
"393","fifa fussball weltmeisterschaft 2002","sony playstation 2","3","2.66"
"394","football mania","pc","3","2.66"
"395","findet nemo - das abenteuer geht weiter","gameboy advance","3","2.66"
"396","counter strike: source","pc","4","2.5"
"397","spider-man 3","sony playstation 2","5","2.2"
"398","die sims 3","pc","4","2"
