"no.","name","feet","met","grid ref","area","&sum;","trips"
"69","harrison stickle","2415","736","ny281074","c fells","4","{1|2|3}"
"70","seat sandal","2415","736","ny343115","e fells","2","1"
"71","long side","2408","734","ny248284","n fells","2","1"
"72","kentmere pike","2395","730","ny465077","far e fells","5","{1|2|3}"
"73","hindscarth","2385","727","ny215165","nw fells","6","{1|2|3|4}"
"74","clough head","2382","726","ny333225","e fells","5","{1|2}"
"75","ullscarf","2382","726","ny291121","c fells","3","1"
"76","thunacar knott","2372","723","ny279079","c fells","10","{1|2|3|4|5|6|7|8|9}"
"77","froswick","2362","720","ny435085","far e fells","5","{1|2|3}"
"78","birkhouse moor","2356","718","ny363159","e fells","1","-"
"79","lonscale fell","2346","715","ny285271","n fells","2","1"
"80","brandreth","2346","715","ny214119","w fells","5","{1|2|3|4}"
"81","branstree","2339","713","ny477100","far e fells","6","{1|2}"
"82","knott","2329","710","ny296329","n fells","4","1"
"83","pike of stickle","2326","709","ny273073","c fells","1","-"
"84","whiteside","2320","707","ny170219","nw fells","3","-"
"85","yoke","2316","706","ny437067","far e fells","4","{1|2|3}"
"86","pike of blisco","2313","705","ny271042","s fells","4","{1|2|3}"
"87","bowscale fell","2303","702","ny333305","n fells","3","{1|2}"
"88","cold pike","2300","701","ny262035","s fells","4","{1|2|3}"
"89","pavey ark","2297","700","ny284079","c fells","5","{1|2|3}"
"90","gray crag","2293","699","ny427117","far e fells","3","-"
"91","grey knotts","2287","697","ny217125","w fells","4","{1|2|3}"
"92","caw fell","2287","697","ny131109","w fells","7","{1|2|3|4}"
"93","rest dodd","2283","696","ny432137","far e fells","2","1"
"94","seatallan","2270","692","ny139084","w fells","4","{1|2}"
"95","ullock pike","2264","690","ny244288","n fells","2","1"
"96","great calva","2264","690","ny290311","n fells","3","1"
"97","bannerdale crags","2241","683","ny335290","n fells","3","{1|2}"
"98","loft crag","2231","680","ny277071","c fells","1","-"
"99","sheffield pike","2215","675","ny369181","e fells","2","-"
"100","bakestall","2208","673","ny266307","n fells","1","-"
"101","scar crags","2205","672","ny208206","nw fells","3","{1|2}"
"102","loadpot hill","2201","671","ny456181","far e fells","2","-"
"103","wether hill","2198","670","ny455167","far e fells","2","-"
"104","tarn crag","2178","664","ny488078","far e fells","4","{1|2}"
"105","carrock fell","2175","663","ny341336","n fells","3","1"
"106","whiteless pike","2165","660","ny180189","nw fells","3","-"
"107","high pike (n fells)","2159","658","ny318350","n fells","3","1"
"108","place fell","2156","657","ny405169","far e fells","5","{1|2}"
"109","high pike (scandale)","2152","656","ny374088","e fells","1","-"
"110","selside pike","2149","655","ny490111","far e fells","6","{1|2}"
"111","harter fell (s fells)","2146","654","sd218997","s fells","6","{1|2|3|4|5}"
"112","middle dodd","2146","654","ny397096","e fells","1","-"
"113","high spy","2142","653","ny234162","nw fells","6","{1|2|3}"
"114","great sca fell","2136","651","ny291339","n fells","1","-"
"115","rossett pike","2136","651","ny249075","s fells","4","{1|2|3}"
"116","fleetwith pike","2126","648","ny205141","w fells","5","{1|2|3}"
"117","base brown","2119","646","ny225114","w fells","2","1"
"118","grey crag","2093","638","ny497072","far e fells","4","{1|2}"
"119","causey pike","2090","637","ny218208","nw fells","3","{1|2}"
"120","little hart crag","2090","637","ny387100","e fells","3","1"
"121","starling dodd","2077","633","ny141157","w fells","4","{1|2}"
"122","mungrisdale common","2077","633","ny311293","n fells","1","-"
"123","yewbarrow","2057","627","ny173084","w fells","3","1"
"124","birks","2041","622","ny380143","e fells","3","1"
"125","hartsop dodd","2028","618","ny411118","far e fells","2","-"
"126","great borne","2021","616","ny123163","w fells","5","{1|2}"
"127","heron pike","2008","612","ny356083","e fells","2","-"
"128","illgill head","1998","609","ny169049","s fells","6","{1|2|3|4|5}"
"129","high seat","1995","608","ny287180","c fells","1","-"
"130","seathwaite fell (wainwright top)","1972","601","ny229102","s fells","1","-"
"131","haystacks","1959","597","ny194132","w fells","6","{1|2|3|4}"
"132","bleaberry fell","1936","590","ny286195","c fells","1","-"
"133","shipman knotts","1926","587","ny473062","far e fells","3","{1|2}"
"134","brae fell","1923","586","ny289351","n fells","1","-"
"135","middle fell","1909","582","ny151072","w fells","3","{1|2}"
"136","ard crags","1906","581","ny207198","nw fells","3","{1|2}"
"137","the nab","1890","576","ny434152","far e fells","1","-"
"138","maiden moor","1886","575","ny237182","nw fells","3","1"
"139","blake fell","1880","573","ny110196","w fells","3","1"
"140","sergeant�s crag","1873","571","ny274113","c fells","1","-"
"141","hartsop above how","1870","570","ny385121","e fells","2","1"
"142","outerside","1864","568","ny211215","nw fells","1","-"
"143","angletarn pikes","1860","567","ny414148","far e fells","1","-"
"144","brock crags","1841","561","ny418136","far e fells","1","-"
"145","knott rigg","1824","556","ny197187","nw fells","3","{1|2}"
"146","steel fell","1814","553","ny320111","c fells","4","1"
"147","lord's seat","1811","552","ny204265","nw fells","2","-"
"148","rosthwaite fell - bessyboot","1808","551","ny258125","s fells","1","-"
"149","tarn crag (easedale)","1804","550","ny304093","c fells","3","1"
"150","meal fell","1804","550","ny283337","n fells","1","-"
"151","hard knott","1801","549","ny231023","s fells","5","{1|2|3|4}"
"152","blea rigg","1775","541","ny301078","c fells","5","{1|2|3}"
"153","lank rigg","1775","541","ny092119","w fells","3","1"
"154","calf crag","1762","537","ny301104","c fells","5","{1|2}"
"155","great mell fell","1762","537","ny396253","e fells","1","-"
"156","whin rigg","1755","535","ny152034","s fells","3","{1|2}"
"157","arthur�s pike","1749","533","ny461207","far e fells","1","-"
"158","gavel fell","1726","526","ny117184","w fells","3","1"
"159","great cockup","1726","526","ny273333","n fells","1","-"
"160","eagle crag","1722","525","ny276121","c fells","1","-"
"161","bonscale pike","1719","524","ny453200","far e fells","1","-"
"162","souther fell","1713","522","ny355291","n fells","1","-"
"163","crag fell","1706","520","ny097143","w fells","3","{1|2}"
"164","high hartsop dodd","1703","519","ny393107","e fells","1","-"
"165","whinlatter","1696","517","ny191251","nw fells","1","-"
"166","sallows","1693","516","ny436040","far e fells","4","{1|2|3}"
"167","high tove","1690","515","ny288166","c fells","3","1"
"168","mellbreak","1680","512","ny148186","w fells","5","1"
"169","broom fell","1677","511","ny195271","nw fells","2","-"
"170","beda fell","1670","509","ny429171","far e fells","1","-"
"171","hen comb","1670","509","ny132181","w fells","1","-"
"172","low pike","1667","508","ny373078","e fells","1","-"
"173","little mell fell","1657","505","ny423240","e fells","1","-"
"174","dodd","1647","502","ny245273","n fells","1","-"
"175","stone arthur","1640","500","ny347092","e fells","1","-"
"176","green crag","1604","489","sd200982","s fells","4","{1|2}"
"177","baystones (wansfell)","1601","488","ny403051","far e fells","1","-"
"178","grike","1594","486","ny085141","w fells","1","-"
"179","sour howes","1585","483","ny426031","far e fells","1","-"
"180","longlands fell","1585","483","ny276354","n fells","1","-"
"181","gowbarrow fell","1578","481","ny407218","e fells","2","-"
"182","armboth fell","1572","479","ny298157","c fells","1","-"
"183","burnbank fell","1558","475","ny110209","w fells","3","1"
"184","lingmoor fell","1539","469","ny302046","s fells","5","{1|2|3|4}"
"185","barf","1535","468","ny214267","nw fells","3","-"
"186","raven crag","1512","461","ny303188","c fells","1","-"
"187","barrow","1493","455","ny227218","nw fells","1","-"
"188","graystones","1483","452","ny176266","nw fells","1","-"
"189","cat bells","1480","451","ny244199","nw fells","5","{1|2|3}"
"190","nab scar","1476","450","ny356073","e fells","1","-"
"191","great crag","1476","450","ny270147","c fells","1","-"
"192","binsey","1467","447","ny225355","n fells","1","-"
"193","glenridding dodd","1450","442","ny380175","e fells","1","-"
"194","arnison crag","1421","433","ny393150","e fells","2","1"
"195","steel knotts","1417","432","ny440182","far e fells","1","-"
"196","low fell","1388","423","ny137226","w fells","2","-"
"197","gibson knott","1378","420","ny317100","c fells","3","1"
"198","fellbarrow","1365","416","ny132242","w fells","1","-"
"199","grange fell","1362","415","ny264162","c fells","1","-"
"200","buckbarrow","1329","405","ny136061","w fells","1","-"
"201","helm crag","1299","396","ny327093","c fells","3","1"
"202","silver how","1296","395","ny325066","c fells","2","1"
"203","hallin fell","1273","388","ny433198","far e fells","1","-"
"204","walla crag","1234","376","ny277213","c fells","2","-"
"205","ling fell","1224","373","ny179286","nw fells","1","-"
"206","latrigg","1204","367","ny279247","n fells","1","-"
"207","troutbeck tongue","1194","364","ny422064","far e fells","1","-"
"208","high rigg","1171","357","ny308219","c fells","2","-"
"209","sale fell","1165","355","ny195297","nw fells","1","-"
"210","rannerdale knotts","1165","355","ny167183","nw fells","2","-"
"211","loughrigg fell","1099","335","ny347051","c fells","2","1"
"212","black fell","1060","323","ny340016","s fells","1","-"
"213","holme fell","1040","317","ny315006","s fells","1","-"
"214","castle crag","978","298","ny249159","nw fells","1","-"
