"year","NULL","voted by","inducted as","votes","% of ballots"
"1975","judy johnson","negro league","player","NULL","NULL"
"1975","ralph kiner","bbwaa","player","273.0","75.4%"
"1974","cool papa bell","negro league","player","NULL","NULL"
"1974","jim bottomley","veterans","player","NULL","NULL"
"1974","jocko conlan","veterans","umpire","NULL","NULL"
"1974","whitey ford","bbwaa","player","284.0","77.8%"
"1974","mickey mantle","bbwaa","player","322.0","88.2%"
"1974","sam thompson","veterans","player","NULL","NULL"
"1973","roberto clemente","special election","player","NULL","NULL"
"1973","billy evans","veterans","umpire","NULL","NULL"
"1973","monte irvin","negro league","player","NULL","NULL"
"1973","high pockets kelly","veterans","player","NULL","NULL"
"1973","warren spahn","bbwaa","player","316.0","83.2%"
"1973","mickey welch","veterans","player","NULL","NULL"
"1972","yogi berra","bbwaa","player","339.0","85.6%"
"1972","josh gibson","negro league","player","NULL","NULL"
"1972","lefty gomez","veterans","player","NULL","NULL"
"1972","will harridge","veterans","pioneer/executive","NULL","NULL"
"1972","sandy koufax","bbwaa","player","344.0","86.9%"
"1972","buck leonard","negro league","player","NULL","NULL"
"1972","early wynn","bbwaa","player","301.0","76.0%"
"1972","ross youngs","veterans","player","NULL","NULL"
"1971","dave bancroft","veterans","player","NULL","NULL"
"1971","jake beckley","veterans","player","NULL","NULL"
"1971","chick hafey","veterans","player","NULL","NULL"
"1971","harry hooper","veterans","player","NULL","NULL"
"1971","joe kelley","veterans","player","NULL","NULL"
"1971","rube marquard","veterans","player","NULL","NULL"
"1971","satchel paige","negro league","player","NULL","NULL"
"1971","george weiss","veterans","pioneer/executive","NULL","NULL"
"1970","lou boudreau","bbwaa","player","232.0","77.3%"
"1970","earle combs","veterans","player","NULL","NULL"
"1970","ford frick","veterans","pioneer/executive","NULL","NULL"
"1970","jesse haines","veterans","player","NULL","NULL"
"1969","roy campanella","bbwaa","player","270.0","79.4%"
"1969","stan coveleski","veterans","player","NULL","NULL"
"1969","waite hoyt","veterans","player","NULL","NULL"
"1969","stan musial","bbwaa","player","317.0","93.2%"
"1968","kiki cuyler","veterans","player","NULL","NULL"
"1968","goose goslin","veterans","player","NULL","NULL"
"1968","joe medwick","bbwaa","player","240.0","84.8%"
"1967","branch rickey","veterans","pioneer/executive","NULL","NULL"
"1967","red ruffing","run off","player","266.0","86.9%"
"1967","lloyd waner","veterans","player","NULL","NULL"
"1966","casey stengel","veterans","manager","NULL","NULL"
"1966","ted williams","bbwaa","player","282.0","93.4%"
"1965","pud galvin","veterans","player","NULL","NULL"
"1964","luke appling","run off","player","189.0","94.0%"
"1964","red faber","veterans","player","NULL","NULL"
"1964","burleigh grimes","veterans","player","NULL","NULL"
"1964","miller huggins","veterans","manager","NULL","NULL"
"1964","tim keefe","veterans","player","NULL","NULL"
"1964","heinie manush","veterans","player","NULL","NULL"
"1964","monte ward","veterans","player","NULL","NULL"
"1963","john clarkson","veterans","player","NULL","NULL"
"1963","elmer flick","veterans","player","NULL","NULL"
"1963","sam rice","veterans","player","NULL","NULL"
"1963","eppa rixey","veterans","player","NULL","NULL"
"1962","bob feller","bbwaa","player","150.0","93.8%"
"1962","bill mckechnie","veterans","manager","NULL","NULL"
"1962","jackie robinson","bbwaa","player","124.0","77.5%"
"1962","edd roush","veterans","player","NULL","NULL"
"1961","max carey","veterans","player","NULL","NULL"
"1961","billy hamilton","veterans","player","NULL","NULL"
"1959","zack wheat","veterans","player","NULL","NULL"
"1957","sam crawford","veterans","player","NULL","NULL"
"1957","joe mccarthy","veterans","manager","NULL","NULL"
"1956","joe cronin","bbwaa","player","152.0","78.8%"
"1956","hank greenberg","bbwaa","player","164.0","85.0%"
"1955","home run baker","veterans","player","NULL","NULL"
"1955","joe dimaggio","bbwaa","player","223.0","88.8%"
"1955","gabby hartnett","bbwaa","player","195.0","77.7%"
"1955","ted lyons","bbwaa","player","217.0","86.5%"
"1955","ray schalk","veterans","player","NULL","NULL"
"1955","dazzy vance","bbwaa","player","205.0","81.7%"
"1954","bill dickey","bbwaa","player","202.0","80.2%"
"1954","rabbit maranville","bbwaa","player","209.0","82.9%"
"1954","bill terry","bbwaa","player","195.0","77.4%"
"1953","ed barrow","veterans","pioneer/executive","NULL","NULL"
"1953","chief bender","veterans","player","NULL","NULL"
"1953","tommy connolly","veterans","umpire","NULL","NULL"
"1953","dizzy dean","bbwaa","player","209.0","79.2%"
"1953","bill klem","veterans","umpire","NULL","NULL"
"1953","al simmons","bbwaa","player","199.0","75.4%"
"1953","bobby wallace","veterans","player","NULL","NULL"
"1953","harry wright","veterans","pioneer/executive","NULL","NULL"
"1952","harry heilmann","bbwaa","player","203.0","86.8%"
"1952","paul waner","bbwaa","player","195.0","83.3%"
"1951","jimmie foxx","bbwaa","player","179.0","79.2%"
"1951","mel ott","bbwaa","player","197.0","87.2%"
"1949","mordecai brown","old timers","player","NULL","NULL"
"1949","charlie gehringer","run off","player","159.0","85.0%"
"1949","kid nichols","old timers","player","NULL","NULL"
"1948","herb pennock","bbwaa","player","94.0","77.7%"
"1948","pie traynor","bbwaa","player","93.0","76.9%"
"1947","mickey cochrane","bbwaa","player","128.0","79.5%"
"1947","frankie frisch","bbwaa","player","136.0","84.5%"
"1947","lefty grove","bbwaa","player","123.0","76.4%"
"1947","carl hubbell","bbwaa","player","140.0","87.0%"
"1946","jesse burkett","old timers","player","NULL","NULL"
"1946","frank chance","old timers","player","NULL","NULL"
"1946","jack chesbro","old timers","player","NULL","NULL"
"1946","johnny evers","old timers","player","NULL","NULL"
"1946","clark griffith","old timers","player","NULL","NULL"
"1946","tommy mccarthy","old timers","player","NULL","NULL"
"1946","joe mcginnity","old timers","player","NULL","NULL"
"1946","eddie plank","old timers","player","NULL","NULL"
"1946","joe tinker","old timers","player","NULL","NULL"
"1946","rube waddell","old timers","player","NULL","NULL"
"1946","ed walsh","old timers","player","NULL","NULL"
"1945","roger bresnahan","old timers","player","NULL","NULL"
"1945","dan brouthers","old timers","player","NULL","NULL"
"1945","fred clarke","old timers","player","NULL","NULL"
"1945","jimmy collins","old timers","player","NULL","NULL"
"1945","ed delahanty","old timers","player","NULL","NULL"
"1945","hugh duffy","old timers","player","NULL","NULL"
"1945","hughie jennings","old timers","player","NULL","NULL"
"1945","king kelly","old timers","player","NULL","NULL"
"1945","jim o'rourke","old timers","player","NULL","NULL"
"1945","wilbert robinson","old timers","manager","NULL","NULL"
"1944","kenesaw landis","old timers","pioneer/executive","NULL","NULL"
"1942","rogers hornsby","bbwaa","player","182.0","78.1%"
"1939","cap anson","old timers","player","NULL","NULL"
"1939","eddie collins","bbwaa","player","213.0","77.7%"
"1939","charlie comiskey","old timers","pioneer/executive","NULL","NULL"
"1939","candy cummings","old timers","pioneer/executive","NULL","NULL"
"1939","buck ewing","old timers","player","NULL","NULL"
"1939","lou gehrig","special election","player","NULL","NULL"
"1939","willie keeler","bbwaa","player","207.0","75.5%"
"1939","old hoss radbourn","old timers","player","NULL","NULL"
"1939","george sisler","bbwaa","player","235.0","85.8%"
"1939","al spalding","old timers","pioneer/executive","NULL","NULL"
"1938","pete alexander","bbwaa","player","212.0","80.9%"
"1938","alexander cartwright","centennial","pioneer/executive","NULL","NULL"
"1938","henry chadwick","centennial","pioneer/executive","NULL","NULL"
"1937","morgan bulkeley","centennial","pioneer/executive","NULL","NULL"
"1937","ban johnson","centennial","pioneer/executive","NULL","NULL"
"1937","nap lajoie","bbwaa","player","168.0","83.6%"
"1937","connie mack","centennial","manager","NULL","NULL"
"1937","john mcgraw","veterans","manager","NULL","NULL"
"1937","tris speaker","bbwaa","player","165.0","82.1%"
"1937","george wright","centennial","pioneer/executive","NULL","NULL"
"1937","cy young","bbwaa","player","153.0","76.1%"
"1936","ty cobb","bbwaa","player","222.0","98.2%"
"1936","walter johnson","bbwaa","player","189.0","83.6%"
"1936","christy mathewson","bbwaa","player","205.0","90.7%"
"1936","babe ruth","bbwaa","player","215.0","95.1%"
"1936","honus wagner","bbwaa","player","215.0","95.1%"
