"world rank","city","country","city           population","metro           population","mayor"
"155","minsk","belarus","1831000","","nikolai ladutko"
"370","mirat","india","1095000","1095000","n/k"
"218","mogadishu","somalia","1500000","2500000","mohamud ahmed tarzan"
"458","mombasa","kenia","880000","","ahmed abubakar mohdhar"
"594","monrovia","liberia","543000","1010000","ophelia hoff saytumah"
"137","monterrey","mexico","2057000","3650000","fernando larrazabal"
"285","montevideo","uruguay","1326000","1723000","ana olivera"
"n/r","montpellier","france","252000","","h&eacute;l&egrave;ne mandroux-colas"
"189","montreal","canada","1621000","3636000","g&eacute;rald tremblay"
"10","moscow","russia","10524000","14800000","sergei sobyanin"
"348","mosul","iraq","1139000","1139000","n/k"
"402","mudanjiang","china","1014000","2707000","n/k"
"243","multan","pakistan","1424000","1500000","mian faisal mukhtar"
"3","mumbai (bombay)","india","13900000","21200000","shraddha jadhav"
"271","munich","germany","1367000","2600000","christian ude"
"n/r","m&uuml;nster","germany","274000","","markus lewe"
"501","mysore","india","799000","","purushotham"
"125","nagoya","japan","2260000","9250000","takashi kawamura"
"117","nagpur","india","2420000","","archana dehankar"
"74","nairobi","kenya","3130000","3300000","geoffrey majiwa"
"224","nanan","china","1480000","","chen law"
"154","nanchang","china","1844000","3.790000","hu xian"
"144","nanchong","china","1950000","7300000","liu hongjian"
"51","nanjing","china","4150000","7600000","ji jianye"
"115","nanning","china","2450000","6480000","huang fangfang"
"n/r","nantes","france","283000","804000","jean-marc ayrault"
"500","nanyang","china","800000","10700000","huang xingwei"
"423","naples","italy","963000","3000000","rosa russo jervolino"
"190","nashik","india","1620000","","nayana gholap"
"565","nashville","usa","626000","1633000","karl dean"
"503","natal","brazil","790000","1100000","n/k"
"478","naucalpan","mexico","822000","835000","azucena olivares villag&oacute;mez"
"201","neijiang","china","1560000","","n/k"
"n/r","new orleans","usa","488000","1350000","mitch landrieu"
"17","new york city","usa","8364000","20090000","michael bloomberg"
"n/r","newcastle upon tyne","uk","234000","800000","n/k"
"346","nezahualcoyotl","mexico","1141000","1150000","edgar ces&aacute;reo navarro s&aacute;nchez"
"n/r","nice","france","347000","943000","christian estrosi"
"486","niigata","japan","812000","","akira shinoda"
"130","ningbo","china","2201000","5600000","mao guanglie"
"304","nizhniy novgorod","russia","1280000","1900000","vadim bulavinov"
"466","norfolk","usa","850000","1616000","paul d fraim"
"469","nova iguacu","brazil","846000","959000","lindberg farias"
"258","novosibirsk","russia","1396000","1429000","vladimir gorodetsky"
"n/r","nuremberg","germany","504000","1008000","ulrich maly"
"n/r","oakland","usa","446900","","jean quan"
"n/r","oberhausen","germany","216000","","klaus wehling"
"377","odessa","ukraine","1080000","1200000","eduard gurwits"
"527","ogbomosho","nigeria","726000","985000","n/k"
"539","okayama","japan","700000","1250000","shigeo takaya"
"n/r","okinawa","japan","129000","","kita kurose"
"588","oklahoma city","usa","551000","1276000","mick cornett"
"118","omdurman","sudan","2400000","","al-fatih az-ddin"
"350","omsk","russia","1137000","1145000","viktor shreyder"
"n/r","onitsha","nigeria","509000","1001000","n/k"
"547","oran","algeria","683000","772000","saddek benkada"
"n/r","orlando","usa","231000","2055000","buddy dyer"
"95","osaka","japan","2647000","17590000","kunio hiramatsu"
"n/r","osh","kyrgyztan","230000","","melis myrzakmatov"
"n/r","oshogbo","nigeria","421000","1309000","n/k"
"575","oslo","norway","584000","876000","fabian stang"
"483","ottawa","canada","815000","1131000","larry o'brien"
"225","ouagadougou","burkina faso","1475000","1727000","simon compaor&eacute;"
"481","padang","indonesia","820000","900000","fauzi bahar"
"195","palembang","indonesia","1600000","","eddy santana putra"
"546","palermo","italy","684000","947000","diego cammarata"
"467","panama city","panama","850000","1220000","bosco vallarino"
"n/r","panzhihua","china","478000","771000","n/k"
"133","paris","france","2113000","11769000","bertrand delano&euml;"
"160","patna","india","1800000","2500000","ghanshyam kumar"
"404","perm","russia","1010000","1200000","igor shubin"
"193","perth","australia","1603000","","lisa scaffidi"
"367","peshawar","pakistan","1100000","3100000","muhammad umar khan"
"205","philadelphia","usa","1540000","5345000","michael nutter"
"314","phnom penh","cambodia","1242000","2001000","keb chutema"
"199","phoenix","usa","1568000","4282000","phil gordon"
"325","pikine-guediawaye","senegal","1200000","","n/k"
"213","pimpri chinchwad","india","1515000","","yogesh behl"
"316","pingdingshan","china","1230000","5200000","deng yongjian"
"281","pingdu","china","1340000","","n/k"
"n/r","pittsburgh","usa","335000","2411000","luke ravenstahl"
"n/r","pointe noire","congo br","527000","789000","n/k"
"471","port elizabeth","south africa","833000","1245000","nondumiso maphasi"
"94","port harcourt","nigeria","2667000","3761000","azubuike nmerukini"
"376","port-au-prince","haiti","1083000","1728000","jean yves jason"
"596","portland","usa","542000","2255000","sam adams"
"n/r","porto","portugal","263000","1210000","rui rio"
"273","porto alegre","brazil","1355000","3646000","jos&eacute; fortunati"
"315","prague","czech republic","1242000","1900000","zdenek tuma"
"150","puebla","mexico","1888000","2500000","blanca alcala ruiz"
"71","pune","india","3337000","4470000","mohansingh rajpal"
"72","pyongyang","north korea","3255000","3400000","n/k"
"330","qianjiang","china","1190000","","n/k"
"342","qidong","china","1160000","","n/k"
"88","qingdao","china","2755000","7580000","xia geng"
"240","qiqihaer","china","1439000","6011000","liu gang"
"393","qom","iran","1042000","","n/k"
"220","quanzhou","china","1490000","7790000","zhu ming"
"n/r","qu&eacute;bec","canada","495000","717000","r&eacute;gis labeaume"
"92","quezon city","philippines","2680000","","herbert m bautis"
"187","quito","ecuador","1648000","1842000","augusto barrera"
"564","rabat","morocco","627000","1790000","omar el bahraoui"
"283","rajkot","india","1336000","","sandhya vyas"
"n/r","raleigh","usa","393000","1691000","charles meeker"
"298","ranchi","india","1290000","","rama khalkho"
"202","rawalpindi","pakistan","1558000","2548000","raja hamid nawaz"
"200","recife","brazil","1561000","3769000","jo&atilde;o da costa bezerra filho"
"n/r","rennes","france","206000","","daniel delaveau"
"591","ribeirao preto","brazil","547000","789000","d&aacute;rcy vera"
"n/r","richmond","usa","200000","1213000","dwight clinton jones"
"528","riga","latvia","725000","878000","nils usakovs"
"31","rio de janeiro","brazil","6093000","14387000","eduardo paes"
"40","riyadh","saudi arabia","4950000","5855000","abdul aziz ibn 'ayyaf al migrin"
"299","rizhao","china","1290000","","zhao xiaowei"
"n/r","rochester","usa","220000","1100000","n/k"
"90","rome","italy","2732000","3555000","gianni alemanno"
"343","rosario","argentina","1160000","1358000","miguel lifschitz"
"n/r","rostock","germany","201000","","roland methling"
"382","rostov on don","russia","1068000","1250000","mikhail chernyshyov"
"572","rotterdam","netherlands","590000","1187000","ahmed aboutaleb"
"232","rugao","china","1453000","","ding dawei"
"311","ruian","china","1250000","","n/k"
