"title","category","rating","release"
"dogz","simulation","n/a","11/19/06"
"charlotte's web","action","n/a","11/13/06"
"catz","simulation","n/a","11/29/06"
"shrek smash n' crash racing","driving","n/a","03/05/07"
"horsez","simulation","n/a","11/27/06"
"xiaolin showdown","fighting","n/a","11/27/06"
"star fox ds","action","n/a","tba"
"bionicle heroes","action","n/a","11/13/06"
"disney's the little mermaid: ariel's undersea adventure","action","n/a","09/24/06"
"f-24: stealth fighter","simulation","n/a","02/12/07"
"platinum sudoku","puzzle","n/a","07/02/07"
"nintendo ds browser","other","n/a","06/03/07"
"dragon ball z: harukanaru densetsu","action","n/a","06/04/07"
"planet puzzle league","puzzle","n/a","06/03/07"
"tank beat","shooter","n/a","05/28/07"
"pony friends","other","n/a","05/28/07"
"surf's up","sports","n/a","05/28/07"
"sea world: shamu's big adventure","action","n/a","11/07/05"
"diner dash","puzzle","n/a","05/21/07"
"time ace","simulation","n/a","06/11/07"
"zendoku","puzzle","n/a","06/11/07"
"simcity ds","strategy","n/a","06/18/07"
"chicken shoot","action","n/a","07/01/07"
"touchmaster","puzzle","n/a","06/24/07"
"hoshigami remix: ruining blue earth","strategy","n/a","06/25/07"
"ratatouille","action","n/a","06/25/07"
"harry potter and the order of the phoenix","action","n/a","06/24/07"
"fullmetal alchemist: trading card game","cards","n/a","10/14/07"
"spongebob squarepants: lights camera pants!","party","n/a","tba"
"brothers in arms: ds","shooter","n/a","06/18/07"
"naruto: ninja council 3","fighting","n/a","05/21/07"
"pirates of the caribbean: at world's end","action","n/a","05/21/07"
"code lyoko","action","n/a","05/14/07"
"theme park","strategy","n/a","03/19/07"
"puzzle quest: challenge of warlords","puzzle","n/a","03/19/07"
"yu-gi-oh! world championship tournament 2007","strategy","n/a","03/19/07"
"steel horizon","strategy","n/a","03/19/07"
"disney's herbie rescue rally","driving","n/a","03/14/07"
"mind quiz: your brain coach","puzzle","n/a","03/12/07"
"major league baseball 2k7","sports","n/a","03/18/07"
"marvel trading card game","cards","n/a","05/21/07"
"tmnt","fighting","n/a","03/19/07"
"disney's meet the robinsons","action","n/a","03/26/07"
"pogo island","puzzle","n/a","03/25/07"
"touch the dead","shooter","n/a","05/14/07"
"shrek the third","action","n/a","04/30/07"
"spider-man 3","platform","n/a","05/03/07"
"castlevania: portrait of ruin","platform","n/a","12/04/06"
"snk vs. capcom card fighters ds","strategy","n/a","04/23/07"
"classic action: devilish","pinball","n/a","04/23/07"
"7 wonders","puzzle","n/a","09/16/07"
"settlers the","strategy","n/a","08/20/07"
"trioncube","puzzle","n/a","02/19/07"
