"date","movie","year","director"
"2010-02-05","a serious man","2009","ethan coen &amp; joel coen"
"2010-01-27","2012","2009","roland emmerich"
"2010-01-26","fish tank","2009","andrea arnold"
"2010-01-23","inglourious basterds","2009","quentin tarantino"
"2010-01-19","bandslam","2009","todd graff"
"2010-01-11","vicky cristina barcelona","2008","woody allen"
"2010-01-09","the imaginarium of doctor parnassus","2009","terry gilliam"
"2010-01-09","it's complicated","2009","nancy meyers"
"2010-01-08","the descent","2005","neil marshall"
"2010-01-03","the invention of lying","2009","ricky gervais &amp; matthew robinson"
"2010-01-02","antichrist","2009","lars von trier"
"2010-01-01","public enemies","2009","michael mann"
"2009-12-26","up in the air","2009","jason reitman"
"2009-12-25","he's just not that into you","2009","ken kwapis"
"2009-12-24","the blind side","2009","john lee hancock"
"2009-12-22","the mummy: tomb of the dragon emperor","2008","rob cohen"
"2009-12-22","the hurt locker","2008","kathryn bigelow"
"2009-12-19","avatar","2009","james cameron"
"2009-12-18","dolan's cadillac","2009","jeff beesley"
"2009-12-15","bad santa","2003","terry zwigoff"
"2009-12-13","remember the daze","2007","jess manafort"
"2009-12-12","funny people","2009","judd apatow"
"2009-12-11","appaloosa","2008","ed harris"
"2009-12-06","moon","2009","duncan jones"
"2009-12-04","the happening","2008","m. night shyamalan"
"2009-11-29","terminator salvation","2009","mcg"
"2009-11-26","julie &amp; julia","2009","nora ephron"
"2009-11-21","bolt","2008","byron howard &amp; chris williams"
"2009-11-16","paper heart","2009","nicholas jasenovec"
"2009-11-11","state of play","2009","kevin macdonald"
"2009-10-31","drag me to hell","2009","sam raimi"
"2009-10-21","zombieland","2009","ruben fleischer"
"2009-10-20","star trek","2009","j.j. abrams"
"2009-10-19","bottle rocket","2006","wes anderson"
"2009-10-06","the proposal","2009","anne fletcher"
"2009-09-23","defiance","2008","edward zwick"
"2009-09-19","away we go","2009","sam mendes"
"2009-09-04","sunshine cleaning","2009","christine jeffs"
"2009-09-02","district 9","2009","neill blomkamp"
"2009-08-31","adventureland","2009","greg mottola"
"2009-08-23","glengarry glen ross","1992","james foley"
"2009-08-20","death race","2008","paul w.s. anderson"
"2009-08-07","the heartbreak kid","2007","bobby farrelly &amp; peter farrelly"
"2009-08-06","two lovers","2008","james gray"
"2009-08-03","observe and report","2009","jody hill"
"2009-08-02","august rush","2007","kirsten sheridan"
"2009-07-30","the class","2008","laurent cantet"
"2009-07-29","the great buck howard","2008","sean mcginly"
"2009-07-27","i love you man","2009","john hamburg"
"2009-07-24","(500) days of summer","2009","marc webb"
"2009-07-20","man on wire","2008","james marsh"
"2009-07-10","brüno","2009","larry charles"
"2009-07-09","we are marshall","2006","mcg"
"2009-07-02","the hangover","2009","todd phillips"
"2009-06-15","gran torino","2008","clint eastwood"
"2009-06-06","the wackness","2008","jonathan levine"
"2009-06-02","shortbus","2006","john cameron mitchell"
"2009-05-29","up","2009","pete docter &amp; bob peterson"
"2009-05-24","speed racer","2008","andy wachowski &amp; larry wachowski"
"2009-05-23","wanted","2008","timur bekmambetov"
"2009-05-18","the duchess","2008","saul dibb"
"2009-05-15","synecdoche new york","2008","charlie kaufman"
"2009-05-12","changeling","2008","clint eastwood"
"2009-05-08","better things","2008","duane hopkins"
"2009-04-18","role models","2008","david wain"
"2009-04-17","doubt","2008","john patrick shanley"
"2009-04-14","the wrestler","2008","darren aronofsky"
"2009-04-08","baby mama","2008","michael mccullers"
"2009-03-29","madagascar: escape 2 africa","2008","eric darnell &amp; tom mcgrath"
"2009-03-21","quantum of solace","2008","marc forster"
"2009-03-18","priceless","2006","pierre salvadori"
"2009-03-18","avpr: aliens vs predator - requiem","2007","colin strause &amp; greg strause"
"2009-03-07","choke","2008","clark gregg"
"2009-03-06","watchmen","2009","zack snyder"
"2009-02-17","flawless","1999","joel schumacher"
"2009-02-02","nick and norah's infinite playlist","2008","peter sollett"
"2009-01-29","bigger stronger faster*","2008","chris bell"
"2009-01-27","the cider house rules","1999","lasse hallström"
"2009-01-25","the band's visit","2008","eran kolirin"
"2009-01-24","gossip","2000","davis guggenheim"
"2009-01-21","3:10 to yuma","2007","james mangold"
"2009-01-19","the bucket list","2007","rob reiner"
"2009-01-16","rescue dawn","2006","werner herzog"
"2009-01-10","pineapple express","2008","david gordon green"
"2009-01-09","interview","2007","steve buscemi"
"2009-01-02","ghost town","2008","david koepp"
"2009-01-01","slumdog millionaire","2008","danny boyle"
"2008-12-30","the last seduction","1994","john dahl"
"2008-11-30","zack and miri make a porno","2008","kevin smith"
"2008-11-18","body heat","1981","lawrence kasdan"
"2008-11-12","tropic thunder","2008","ben stiller"
"2008-11-08","the incredible hulk","2008","louis leterrier"
"2008-11-05","young people fucking","2007","martin gero"
"2008-10-28","the visitor","2007","tom mccarthy"
"2008-10-09","erin brockovich","2000","steven soderbergh"
"2008-10-07","12 angry men","1957","sidney lumet"
"2008-10-04","vantage point","2008","peter travis"
"2008-09-24","iron man","2008","jon favreau"
"2008-09-19","burn after reading","2008","ethan coen and joel coen"
"2008-09-17","sweeney todd: the demon barber of fleet street","2007","tim burton"
"2008-09-14","year of the dog","2007","mike white"
"2008-08-25","gone baby gone","2007","ben affleck"
"2008-08-21","definitely maybe","2008","adam brooks"
"2008-07-19","the dark knight","2008","christopher nolan"
"2008-07-17","smart people","2008","noam murro"
"2008-06-28","wall-e","2008","andrew stanton"
"2008-06-11","sex and the city","2008","michael patrick king"
"2008-05-31","semi-pro","2008","kent alterman"
"2008-05-26","the other boleyn girl","2008","justin chadwick"
"2008-05-23","p.s. i love you","2007","richard lagravenese"
"2008-05-18","13 going on 30","2004","gary winick"
"2008-05-11","21","2008","robert luketic"
"2008-05-08","music and lyrics","2007","marc lawrence"
"2008-04-25","water lilies","2007","céline sciamma"
"2008-04-18","forgetting sarah marshall","2008","nick stoller"
"2008-04-11","the bank job","2008","roger donaldson"
"2008-04-03","in bruges","2008","martin mcdonagh"
"2008-03-18","horton hears a who","2008","jimmy hayward and steve martino"
"2008-03-13","27 dresses","2008","anne fletcher"
"2008-03-11","simon birch","1998","mark steven johnson"
"2008-03-02","enchanted","2007","kevin lima"
"2008-03-01","i am legend","2007","francis lawrence"
"2008-02-26","the diving bell and the butterfly","2007","julian schnabel"
"2008-02-22","be kind rewind","2008","michel gondry"
"2008-02-17","margot at the wedding","2007","noah baumbach"
"2008-02-06","persepolis","2007","marjane satrapi and vincent paronnaud"
"2008-01-26","i want someone to eat cheese with","2006","jeff garlin"
"2008-01-22","the savages","2007","tamara jenkins"
"2008-01-20","cloverfield","2008","matt reeves"
"2008-01-13","there will be blood","2007","paul thomas anderson"
"2008-01-09","atonement","2007","joe wright"
"2008-01-04","charlie wilson’s war","2007","mike nichols"
"2008-01-01","juno","2007","jason reitman"
"2007-12-30","2 days in paris","2007","julie delpy"
"2007-12-29","walk hard: the dewey cox story","2007","jake kasdan"
"2007-12-15","the brothers solomon","2007","bob odenkirk"
"2007-12-08","cashback","2004","sean ellis"
"2007-12-05","no country for old men","2007","ethan coen and joel coen"
"2007-12-03","babel","2006","alejandro gonzález iñárritu"
"2007-11-29","before the devil knows you’re dead","2007","sidney lumet"
"2007-11-26","white christmas","1954","michael curtiz"
"2007-11-24","outsourced","2007","john jeffcoat"
"2007-11-24","manufactured landscapes","2006","jennifer baichwal"
"2007-11-22","amazing grace","2006","michael apted"
"2007-11-18","paris je t’aime","2006","olivier assayas ethan coen joel coen wes craven alfonso cuarón gérard depardieu christopher doyle richard lagravenese alexander payne walter salles jr. oliver schmitz gus van sant frédéric auburtin gurinder chadha daniela thomas isabel coi"
"2007-11-16","superbad","2007","greg mottola"
"2007-11-13","black hawk down","2001","ridley scott"
"2007-11-10","ocean’s thirteen","2007","steven soderbergh"
"2007-11-07","dan in real life","2007","peter hedges"
"2007-11-06","american gangster","2007","ridley scott"
"2007-11-03","eagle vs. shark","2007","taika waititi"
"2007-10-31","hotel chevalier","2007","wes anderson"
"2007-10-31","the darjeeling limited","2007","wes anderson"
"2007-10-28","lars and the real girl","2007","craig gillespie"
"2007-10-24","la moustache","2005","emmanuel carrère"
"2007-10-06","the lives of others","2006","florian henckel von donnersmarck"
"2007-10-03","eastern promises","2007","david cronenberg"
"2007-09-30","knocked up","2007","judd apatow"
"2007-09-26","control","2007","anton corbijn"
"2007-09-12","shoot ’em up","2007","michael davis"
"2007-09-05","rocket science","2007","jeffrey blitz"
"2007-08-29","inland empire","2006","david lynch"
"2007-08-24","spellbound","2002","jeffrey blitz"
"2007-07-25","the number 23","2007","joel schumacher"
"2007-07-18","sicko","2007","michael moore"
"2007-06-19","hot fuzz","2007","edgar wright"
"2007-05-19","28 weeks later","2007","juan carlos fresnadillo"
"2007-05-15","the last king of scotland","2006","kevin macdonald"
"2007-05-11","the rocketeer","1991","joe johnston"
"2007-04-27","fast food nation","2006","richard linklater"
"2007-04-23","aqua teen hunger force colon movie film for theaters","2007","dave willis &amp;  matt maiellaro"
"2007-04-07","death proof","2007","quentin tarantino"
"2007-04-07","planet terror","2007","robert rodriguez"
"2007-04-03","blades of glory","2007","will speck &amp;  josh gordon"
"2007-03-24","night at the museum","2006","shawn levy"
"2007-03-18","the princess bride","1987","rob reiner"
"2007-03-03","zodiac","2007","david fincher"
"2007-03-02","volver","2006","pedro almodóvar"
"2007-02-28","for your consideration","2006","michael guest"
"2007-02-26","stranger than fiction","2006","marc forster"
"2007-02-10","little children","2006","todd field"
"2007-02-04","great expectations","1998","alfonso cuarón"
"2007-01-25","the prestige","2006","christopher nolan"
"2007-01-20","the painted veil","2006","john j. curran"
"2007-01-19","pan's labyrinth","2006","guillermo del toro"
"2007-01-15","curse of the golden flower","2006","zhang yimou"
"2007-01-10","this film is not yet rated","2005","kirby dick"
"2007-01-06","children of men","2006","alfonso cuarón"
"2006-12-30","the illusionist","2006","neil burger"
"2006-12-12","piggy banks","2005","morgan j. freeman"
"2006-12-03","the fountain","2006","darren aronofsky"
"2006-12-01","world trade center","2006","oliver stone"
"2006-11-28","casino royale","2006","martin campbell"
"2006-11-17","let's go to prison!","2006","bob odenkirk"
"2006-11-15","jesus camp","2005","heidi ewing and rachel grady"
"2006-11-14","tenacious d in the pick of destiny","2006","liam lynch"
"2006-11-11","accepted","2006","steve pink"
"2006-11-08","marie antoinette","2006","sofia coppola"
"2006-11-03","borat: cultural learnings of america for make benefit glorious nation of kazakhstan","2006","larry charles"
"2006-10-29","saw iii","2006","darren lynn bousman"
"2006-10-26","the break-up","2006","peyton reed"
"2006-10-21","nacho libre","2006","jared hess"
"2006-10-16","a scanner darkly","2006","richard linklater"
"2006-10-14","the science of sleep","2006","michel gondry"
"2006-10-10","thank you for smoking","2005","jason reitman"
"2006-10-10","the departed","2006","martin scorsese"
"2006-10-04","art school confidential","2006","terry zwigoff"
"2006-09-09","strangers with candy","2005","paul dinello"
"2006-09-05","i am a sex addict","2005","caveh zahedi"
"2006-08-30","the matador","2005","richard shepard"
"2006-08-28","stay","2005","marc forster"
"2006-08-21","when do we eat?","2005","salvador litvak"
"2006-08-21","snakes on a plane","2006","david r. ellis"
"2006-08-19","melinda and melinda","2004","woody allen"
"2006-08-16","from hell","2001","albert hughes"
"2006-08-10","caché","2005","michael haneke"
"2006-08-07","ellie parker","2004","scott coffey"
"2006-08-04","talladega nights: the ballad of ricky bobby","2006","adam mckay"
"2006-08-02","hard candy","2004","david slade"
"2006-08-02","over the hedge","2006","karey kirkpatrick and tim johnson"
"2006-07-31","under the tuscan sun","2003","audrey wells"
"2006-07-26","edmond","2005","stuart gordon"
"2006-07-25","little miss sunshine","2006","jonathan dayton and valerie faris"
"2006-07-23","kiss kiss bang bang","2005","shane black"
"2006-07-22","brick","2005","rian johnson"
"2006-07-19","birthday girl","2001","jez butterworth"
"2006-07-16","the unbearable lightness of being","1988","philip kaufman"
"2006-07-14","turtles can fly","2004","bahman ghobadi"
"2006-07-13","the benchwarmers","2006","dennis dugan"
"2006-07-12","candy","2006","neil armfield"
"2006-07-07","16 blocks","2006","richard donner"
"2006-07-06","the shipping news","2001","lasse hallström"
"2006-07-04","nine lives","2004","rodrigo garcía"
"2006-07-04","kicking &amp; screaming","2005","jesse dylan"
"2006-07-03","the house of yes","1997","mark s. waters"
"2006-06-28","the good girl","2002","miguel arteta"
"2006-06-23","feeling minnesota","1996","steven baigelman"
"2006-06-20","maria full of grace","2003","joshua marston"
"2006-06-19","lucky number slevin","2006","paul mcguigan"
"2006-06-18","the pianist","2002","roman polanski"
"2006-06-14","network","1976","sidney lumet"
"2006-06-10","scotland pa","2001","billy morrissette"
"2006-06-09","mysterious skin","2004","gregg araki"
"2006-06-08","junebug","2005","phil morrison"
"2006-06-03","11:14","2003","greg marcks"
"2006-05-29","failure to launch","2006","tom dey"
"2006-05-26","these girls","2005","john hazlett"
"2006-05-21","haiku tunnel","2001","josh kornbluth and jacob kornbluth"
"2006-05-20","nineteen eighty-four","1984","michael radford"
"2006-05-18","me you and everyone we know","2005","miranda july"
"2006-05-17","monster's ball","2001","marc forster"
"2006-05-16","talk to her","2002","pedro almodóvar"
"2006-05-12","waking the dead","2000","keith gordon"
"2006-05-11","american graffiti","1973","george lucas"
"2006-05-09","hollywood ending","2002","woody allen"
"2006-05-06","mission impossible iii","2006","j.j. abrams"
"2006-05-02","pride &amp; prejudice","2005","joe wright"
"2006-04-25","everything is illuminated","2005","liev schreiber"
"2006-04-21","oldboy","2004","park chan-wook"
"2006-04-19","owning mahowny","2003","richard kwietniowski"
"2006-04-08","v for vendetta","2006","james mcteigue"
"2006-03-30","slither","2006","james gunn"
"2006-03-25","inside man","2006","spike lee"
"2006-03-18","the manchurian candidate","2004","jonathan demme"
"2006-03-15","the libertine","2004","laurence dunmore"
"2006-03-08","crash","2004","paul haggis"
"2006-03-07","election","1999","alexander payne"
"2006-03-06","domino","2005","tony scott"
"2006-03-04","red eye","2005","wes craven"
"2006-02-26","shopgirl","2005","anand tucker"
"2006-02-24","good night and good luck","2005","george clooney"
"2006-02-20","hotel rwanda","2004","terry george"
"2006-02-18","the weather man","2005","gore verbinski"
"2006-02-12","brokeback mountain","2005","ang lee"
"2006-02-10","games of love and chance","2005","abdel kechiche"
"2006-02-03","thumbsucker","2005","mike mills"
"2006-01-31","capote","2005","bennett miller"
"2006-01-30","saving private ryan","1998","steven spielberg"
"2006-01-21","run ronnie run!","2002","troy miller"
"2006-01-20","cheaper by the dozen","2003","shawn levy"
"2006-01-13","the grudge","2004","takashi shimizu"
"2006-01-12","the chumscrubber","2005","arie posin"
"2006-01-08","the hot chick","2002","tom brady"
"2006-01-07","solaris","1972","andrei tarkovsky"
"2006-01-02","the constant gardner","2005","fernando meirelles"
"2006-01-01","march of the penguins","2005","luc jacquet"
"2005-12-31","fun with dick and jane","2005","dean parisot"
"2005-12-28","the squid and the whale","2005","noah baumbach"
"2005-12-28","last samurai","2003","edward zwick"
"2005-12-26","shallow hal","2001","bobby farrelly and peter farrelly"
"2005-12-26","blazing saddles","1974","mel brooks"
"2005-12-24","madagascar","2005","eric darnell and tom mcgrath"
"2005-12-23","it's a wonderful life","1946","frank capra"
"2005-12-20","broken flowers","2005","jim jarmusch"
"2005-12-18","prime","2005","ben younger"
"2005-12-14","king kong","2005","peter jackson"
"2005-12-11","a love song for bobby long","2004","shainee gabel"
"2005-12-10","the interpreter","2005","sydney pollack"
"2005-12-07","brown bunny","2003","vincent gallo"
"2005-12-05","love liza","2002","todd louiso"
"2005-12-04","dukes of hazzard","2005","jay chandrasekhar"
"2005-12-03","lord of war","2005","andrew niccol"
"2005-11-26","just friends","2005","roger kumble"
"2005-11-25","ice harvest","2005","harold ramis"
"2005-11-24","surviving christmas","2004","mike mitchell"
"2005-11-24","walk the line","2005","james mangold"
