"common name","scientific name","season"
"common snipe","gallinago gallinago","w"
"american woodcock","scolopax minor","b"
"bonaparte's gull","larus philadelphia","w"
"ring-billed gull","larus delawarensis","w"
"herring gull","larus argentatus","w"
"least tern","sterna antillarum","b"
"mourning dove","zenaida macroura","b"
"mourning dove","zenaida macroura","w"
"black-billed cuckoo","coccyzus erythropthalmus","b"
"yellow-billed cuckoo","coccyzus americanus","b"
"barn owl","tyto alba","b"
"barn owl","tyto alba","w"
"eastern screech-owl","otus asio","b"
"eastern screech-owl","otus asio","w"
"great horned owl","bubo virginianus","w"
"great horned owl","bubo virginianus","b"
"barred owl","strix varia","w"
"barred owl","strix varia","b"
"long-eared owl","asio otus","w"
"long-eared owl","asio otus","b"
"short-eared owl","asio flammeus","b"
"short-eared owl","asio flammeus","w"
"common nighthawk","chordeiles minor","b"
"chuck-will's-widow","caprimulgus carolinensis","b"
"whip-poor-will","caprimulgus vociferus","b"
"chimney swift","chaetura pelagica","b"
"ruby-throated hummingbird","archilochus colubris","b"
"belted kingfisher","ceryle alcyon","w"
"belted kingfisher","ceryle alcyon","b"
"red-headed woodpecker","melanerpes erythrocephalus","b"
"red-headed woodpecker","melanerpes erythrocephalus","w"
"red-bellied woodpecker","melanerpes carolinus","b"
"red-bellied woodpecker","melanerpes carolinus","w"
"yellow-bellied sapsucker","sphyrapicus varius","w"
"downy woodpecker","picoides pubescens","b"
"downy woodpecker","picoides pubescens","w"
"hairy woodpecker","picoides villosus","b"
"hairy woodpecker","picoides villosus","w"
"red-cockaded woodpecker","picoides borealis","w"
"red-cockaded woodpecker","picoides borealis","b"
"northern flicker","colaptes auratus","w"
"northern flicker","colaptes auratus","b"
"pileated woodpecker","dryocopus pileatus","w"
"pileated woodpecker","dryocopus pileatus","b"
"eastern wood-pewee","contopus virens","b"
"acadian flycatcher","empidonax virescens","b"
"willow flycatcher","empidonax traillii","b"
"least flycatcher","empidonax minimus","b"
"eastern phoebe","sayornis phoebe","w"
"eastern phoebe","sayornis phoebe","b"
"great crested flycatcher","myiarchus crinitus","b"
"eastern kingbird","tyrannus tyrannus","b"
"horned lark","eremophila alpestris","b"
"horned lark","eremophila alpestris","w"
"purple martin","progne subis","b"
"tree swallow","tachycineta bicolor","b"
"northern rough-winged swallow","stelgidopteryx serripennis","b"
"bank swallow","riparia riparia","b"
"cliff swallow","petrochelidon pyrrhonota","b"
"barn swallow","hirundo rustica","b"
"blue jay","cyanocitta cristata","b"
"blue jay","cyanocitta cristata","w"
"american crow","corvus brachyrhynchos","w"
"american crow","corvus brachyrhynchos","b"
"fish crow","corvus ossifragus","b"
"fish crow","corvus ossifragus","w"
"common raven","corvus corax","b"
"common raven","corvus corax","w"
"carolina chickadee","poecile carolinensis","w"
"carolina chickadee","poecile carolinensis","b"
"tufted titmouse","baeolophus bicolor","w"
"tufted titmouse","baeolophus bicolor","b"
"red-breasted nuthatch","sitta canadensis","w"
"red-breasted nuthatch","sitta canadensis","b"
"white-breasted nuthatch","sitta carolinensis","b"
"white-breasted nuthatch","sitta carolinensis","w"
"brown creeper","certhia americana","w"
"brown creeper","certhia americana","b"
"carolina wren","thryothorus ludovicianus","w"
"carolina wren","thryothorus ludovicianus","b"
"bewick's wren","thryomanes bewickii","w"
"bewick's wren","thryomanes bewickii","b"
"house wren","troglodytes aedon","b"
"winter wren","troglodytes troglodytes","w"
"sedge wren","cistothorus platensis","b"
"golden-crowned kinglet","regulus satrapa","w"
"ruby-crowned kinglet","regulus calendula","w"
"blue-gray gnatcatcher","polioptila caerulea","b"
"eastern bluebird","sialia sialis","b"
"eastern bluebird","sialia sialis","w"
"veery","catharus fuscescens","b"
"hermit thrush","catharus guttatus","w"
"wood thrush","hylocichla mustelina","b"
"american robin","turdus migratorius","w"
"american robin","turdus migratorius","b"
"gray catbird","dumetella carolinensis","b"
"northern mockingbird","mimus polyglottos","w"
"northern mockingbird","mimus polyglottos","b"
"brown thrasher","toxostoma rufum","b"
"brown thrasher","toxostoma rufum","w"
"cedar waxwing","bombycilla cedrorum","b"
"cedar waxwing","bombycilla cedrorum","w"
"loggerhead shrike","lanius ludovicianus","b"
"loggerhead shrike","lanius ludovicianus","w"
"white-eyed vireo","vireo griseus","b"
"bell's vireo","vireo bellii","b"
"blue-headed vireo","vireo solitarius","b"
"yellow-throated vireo","vireo flavifrons","b"
"warbling vireo","vireo gilvus","b"
"red-eyed vireo","vireo olivaceus","b"
"blue-winged warbler","vermivora pinus","b"
"golden-winged warbler","vermivora chrysoptera","b"
"northern parula","parula americana","b"
"yellow warbler","dendroica petechia","b"
"chestnut-sided warbler","dendroica pensylvanica","b"
"black-throated blue warbler","dendroica caerulescens","b"
"yellow-rumped warbler","dendroica coronata","w"
"black-throated green warbler","dendroica virens","b"
"blackburnian warbler","dendroica fusca","b"
"yellow-throated warbler","dendroica dominica","b"
"pine warbler","dendroica pinus","b"
"prairie warbler","dendroica discolor","b"
"cerulean warbler","dendroica cerulea","b"
"black-and-white warbler","mniotilta varia","b"
"american redstart","setophaga ruticilla","b"
"prothonotary warbler","protonotaria citrea","b"
"worm-eating warbler","helmitheros vermivorus","b"
"swainson's warbler","limnothlypis swainsonii","b"
"ovenbird","seiurus aurocapillus","b"
"louisiana waterthrush","seiurus motacilla","b"
"kentucky warbler","oporornis formosus","b"
"common yellowthroat","geothlypis trichas","b"
"hooded warbler","wilsonia citrina","b"
"canada warbler","wilsonia canadensis","b"
"yellow-breasted chat","icteria virens","b"
"summer tanager","piranga rubra","b"
"scarlet tanager","piranga olivacea","b"
"northern cardinal","cardinalis cardinalis","w"
"northern cardinal","cardinalis cardinalis","b"
"rose-breasted grosbeak","pheucticus ludovicianus","b"
"blue grosbeak","guiraca caerulea","b"
"indigo bunting","passerina cyanea","b"
"dickcissel","spiza americana","b"
"eastern towhee","pipilo erythrophthalmus","w"
"eastern towhee","pipilo erythrophthalmus","b"
"bachman's sparrow","aimophila aestivalis","b"
"american tree sparrow","spizella arborea","w"
"chipping sparrow","spizella passerina","b"
"field sparrow","spizella pusilla","b"
"field sparrow","spizella pusilla","w"
"lark sparrow","chondestes grammacus","b"
"savannah sparrow","passerculus sandwichensis","w"
"savannah sparrow","passerculus sandwichensis","b"
"grasshopper sparrow","ammodramus savannarum","b"
"henslow's sparrow","ammodramus henslowii","b"
"fox sparrow","passerella iliaca","w"
"song sparrow","melospiza melodia","b"
"song sparrow","melospiza melodia","w"
"swamp sparrow","melospiza georgiana","w"
"white-throated sparrow","zonotrichia albicollis","w"
"white-crowned sparrow","zonotrichia leucophrys","w"
"dark-eyed junco","junco hyemalis","w"
"dark-eyed junco","junco hyemalis","b"
"lapland longspur","calcarius lapponicus","w"
"bobolink","dolichonyx oryzivorus","b"
"red-winged blackbird","agelaius phoeniceus","w"
"red-winged blackbird","agelaius phoeniceus","b"
"eastern meadowlark","sturnella magna","w"
"eastern meadowlark","sturnella magna","b"
"rusty blackbird","euphagus carolinus","w"
"brewer's blackbird","euphagus cyanocephalus","w"
"common grackle","quiscalus quiscula","w"
"common grackle","quiscalus quiscula","b"
"brown-headed cowbird","molothrus ater","w"
"brown-headed cowbird","molothrus ater","b"
"orchard oriole","icterus spurius","b"
"baltimore oriole","icterus galbula","b"
"purple finch","carpodacus purpureus","w"
"pine siskin","carduelis pinus","w"
"american goldfinch","carduelis tristis","b"
"american goldfinch","carduelis tristis","w"
"evening grosbeak","coccothraustes vespertinus","w"
"virginia opossum","didelphis virginiana","all"
"masked shrew","sorex cinereus","all"
"southeastern shrew","sorex longirostris","all"
"smoky shrew","sorex fumeus","all"
"long-tailed or rock shrew","sorex dispar","all"
"pygmy shrew","sorex hoyi","all"
"northern short-tailed shrew","blarina brevicauda","all"
"southern short-tailed shrew","blarina carolinensis","all"
"least shrew","cryptotis parva","all"
"hairy-tailed mole","parascalops breweri","all"
"eastern mole","scalopus aquaticus","all"
"little brown myotis","myotis lucifugus","all"
"southeastern myotis","myotis austroriparius","all"
"gray myotis","myotis grisescens","all"
"indiana or social myotis","myotis sodalis","all"
"eastern small-footed myotis","myotis leibii","all"
"northern myotis","myotis septentrionalis","all"
"silver-haired bat","lasionycteris noctivagans","all"
"eastern pipistrelle","pipistrellus subflavus","all"
"big brown bat","eptesicus fuscus","all"
"eastern red bat","lasiurus borealis","all"
"hoary bat","lasiurus cinereus","all"
"evening bat","nycticeius humeralis","all"
"townsend's big-eared bat","corynorhinus townsendii","all"
"rafinesque's big-eared bat","corynorhinus rafinesquii","all"
"eastern cottontail","sylvilagus floridanus","all"
"swamp rabbit","sylvilagus aquaticus","all"
"eastern chipmunk","tamias striatus","all"
"woodchuck","marmota monax","all"
"eastern gray squirrel","sciurus carolinensis","all"
"eastern fox squirrel","sciurus niger","all"
"southern flying squirrel","glaucomys volans","all"
"american beaver","castor canadensis","all"
"marsh rice rat","oryzomys palustris","all"
"eastern harvest mouse","reithrodontomys humulis","all"
"deer mouse","peromyscus maniculatus","all"
"white-footed mouse","peromyscus leucopus","all"
"cotton mouse","peromyscus gossypinus","all"
"golden mouse","ochrotomys nuttalli","all"
"hispid cotton rat","sigmodon hispidus","all"
"allegheny woodrat","neotoma magister","all"
"southern red-backed vole","clethrionomys gapperi","all"
"meadow vole","microtus pennsylvanicus","all"
"prairie vole","microtus ochrogaster","all"
"woodland vole","microtus pinetorum","all"
"muskrat","ondatra zibethicus","all"
"southern bog lemming","synaptomys cooperi","all"
"meadow jumping mouse","zapus hudsonius","all"
"woodland jumping mouse","napaeozapus insignis","all"
"coyote","canis latrans","all"
"red fox","vulpes vulpes","all"
"common gray fox","urocyon cinereoargenteus","all"
"black bear","ursus americanus","all"
"common raccoon","procyon lotor","all"
"least weasel","mustela nivalis","all"
"long-tailed weasel","mustela frenata","all"
"mink","mustela vison","all"
"eastern spotted skunk","spilogale putorius","all"
"striped skunk","mephitis mephitis","all"
"northern river otter","lutra canadensis","all"
"bobcat","lynx rufus","all"
"wapiti or elk","cervus elaphus","all"
"white-tailed deer","odocoileus virginianus","all"
"snapping turtle","chelydra serpentina","all"
"alligator snapping turtle","macroclemys temminckii","all"
"painted turtle","chrysemys picta","all"
"common map turtle","graptemys geographica","all"
"false map turtle","graptemys pseudogeographica","all"
"mississippi map turtle","graptemys gibbonsi","all"
"river cooter","pseudemys concinna","all"
"eastern box turtle","terrapene carolina","all"
"slider","trachemys scripta","all"
"eastern mud turtle","kinosternon subrubrum","all"
"common musk turtle","sternotherus odoratus","all"
"smooth softshell","apalone mutica","all"
"spiny softshell","apalone spinifera","all"
"slender glass lizard","ophisaurus attenuatus","all"
"fence/prairie/plateau lizard","sceloporus undulatus","all"
"coal skink","eumeces anthracinus","all"
"five-lined skink","eumeces fasciatus","all"
"southeastern five-lined skink","eumeces inexpectatus","all"
"broadhead skink","eumeces laticeps","all"
"ground skink","scincella lateralis","all"
"six-lined racerunner","cnemidophorus sexlineatus","all"
"worm snake","carphophis amoenus","all"
"scarlet snake","cemophora ciccinea","all"
"kirtland's snake","clonophis kirtlandii","all"
"racer","coluber constrictor","all"
"ringneck snake","diadophis punctatus","all"
"corn snake","elaphe guttata","all"
"rat snake","elaphe obsoleta","all"
"mud snake","farancia abacura","all"
"eastern hognose snake","heterodon platirhinos","all"
"prairie kingsnake","lampropeltis calligaster","all"
"common kingsnake","lampropeltis getula","all"
"milk snake","lampropeltis triangulum","all"
"green water snake","nerodia cyclopion","all"
"plainbelly water snake","nerodia erythrogaster","all"
"southern water snake","nerodia fasciata","all"
"diamondback water snake","nerodia rhombifer","all"
"northern water snake","nerodia sipedon","all"
"rough green snake","opheodrys aestivus","all"
"pine or gopher snake","pituophis melanoleucus","all"
"queen snake","regina septemvittata","all"
"brown snake","storeria dekayi","all"
"redbelly snake","storeria occipitomaculata","all"
"southeastern crowned snake","tantilla coronata","all"
"western ribbon snake","thamnophis proximus","all"
"eastern ribbon snake","thamnophis sauritus","all"
"common garter snake","thamnophis sirtalis","all"
"smooth earth snake","virginia valeriae","all"
"copperhead","agkistrodon contortrix","all"
"cottonmouth","agkistrodon piscivorus","all"
"timber rattlesnake","crotalus horridus","all"
"pigmy rattlesnake","sistrurus miliarius","all"
