"s&eacute;n&eacute;gal","senegal","afrique","dakar","0"
"serbie                     et mont&eacute;n&eacute;gro","serbia                     &amp; montenegro","europe","belgrade","+1"
"seychelles","seychelles","afrique","victoria","+4"
"sierra                     leone","sierra                     leone","afrique","freetown","0"
"singapour","singapore","asie","singapore","+7"
"slovaquie","slovakia","europe","bratislava","+1"
"slov&eacute;nie","slovenia","europe","ljubljana","+1"
"somalie","somalia","afrique","mogadishu","+3"
"soudan","sudan","afrique","khartoum","+2"
"sri                     lanka","sri                     lanka","asie","colombo","+5.5"
"su&egrave;de","sweden","europe","stockholm","+1"
"suisse","switzerland","europe","bern","+1"
"surinam                     (guyane hollandaise)","suriname","am&eacute;rique                     du sud","paramaribo","-3"
"svalbard                     (no)","svalbard","europe","longyearbyen","+1"
"swaziland                     (souaziland)","swaziland","afrique","mbabane;                     lobamba","+2"
"syrie","syria","moyen-orient","damascus","+3"
"t","nom                     en anglais","endroit","capitale","heure"
"tadjikistan","tajikistan","asie","dushanbe","+6"
"tahiti                     (fr) (voir polyn&eacute;sie fran&ccedil;aise)","tahiti","oc&eacute;anie","&nbsp;","&nbsp;"
"tanzanie","tanzania","afrique","dar                     es-salaam","+3"
"tchad","chad","afrique","n'djamena","+1"
"togo","togo","afrique","lome","0"
"trinit&eacute;                     et tobago","trinidad                     &amp; tobago","am&eacute;rique                     centrale","port-of-spain","-4"
"tunisie","tunisia","afrique","tunis","+1"
"turkm&eacute;nistan","turkmenistan","asie","ashgabat","+5"
"turquie","turkey","asie","ankara","+2"
"tuvalu","tuvalu","oc&eacute;anie","funafuti","+12"
"u","nom                     en anglais","endroit","capitale","heure"
"ukraine","ukraine","europe","kiev","+2"
"uruguay","uruguay","am&eacute;rique                     du sud","montevideo","-3"
"v","nom                     en anglais","endroit","capitale","heure"
"vanuatu","vanuatu","oc&eacute;anie","port-vila","+11"
"vatican                     &eacute;tat du","vatican                     city state","europe","vatican                     city","+1"
"venezuela","venezuela","am&eacute;rique                     du sud","caracas","-4"
"vi&egrave;t-nam","vietnam","asie","hanoi","&nbsp;"
"w","nom                     en anglais","endroit","capitale","heure"
"wallis                     &amp; futuna (fr)","wallis                     &amp; futuna","oc&eacute;anie","mata-utu","&nbsp;"
"x-y-z","nom                     en anglais","endroit","capitale","heure"
"y&eacute;men","yemen","moyen-orient","sanaa","+3"
"yougoslavie                     (voir mac&eacute;doine)","yugoslavia","europe","&nbsp;","&nbsp;"
"za&iuml;re","zaire","afrique","kinshasa","+2"
"zambie","zambia","afrique","lusaka","+2"
"zimbabwe","zimbabwe","afrique","harare","+2"
