"lake","location","basin countries","residence time"
"lake baldegg / baldeggersee","canton of lucerne","switzerland","0000004.2004.2 years"
"lake iseo / lago d'iseo","lombardy","italy","0000004.2004.2 years"
"lake constance / bodensee","germany switzerland austria","germany switzerland austria liechtenstein","0000004.3004.3 years"
"corey lake","michigan","united states","0000004.4004.4 years"
"elk and beaver lakes","saanich british columbia","canada","0000004.4004.4 years (elk lake)"
"lake como","lombardy italy","italy","0000004.5004.5 years"
"lake mendota","wisconsin","united states","0000004.5004.5 years"
"sea of galilee","NULL","israel","0000005.0005 years"
"bannwaldsee","allgäu bavaria","germany","0000005.2005.2 years"
"sebago lake","cumberland county maine","united states","0000005.2505.1 to 5.4 yrs"
"kennisis lake","haliburton highlands ontario","canada","0000005.2605.26 years"
"bay lake","crow wing county minnesota","united states","0000005.5004-7 years"
"lake biwa / 琵琶湖","NULL","japan","0000005.5005.5 years"
"jordan pond","hancock county maine","united states","0000006.0006 years"
"lago di mergozzo","piedmont","italy","0000006.0006 years"
"lake ontario","north america","canada united states","0000006.0006 years"
"lac la nonne","alberta","canada","0000006.5006.5 years"
"lago di candia","province of turin","italy","0000006.5006 or 7 years"
"ägerisee","canton of zug","switzerland","0000006.8006.8 years"
"loch morar","morar lochaber highland scotland","united kingdom","0000006.8706.87 years"
"lake powell","utah/arizona","united states","0000007.2007.2 years"
"millstätter see / lake millstatt","carinthia","austria","0000007.5007.5 years"
"moose lake","alberta","canada","0000007.5007.5 years"
"schaalsee","schleswig-holstein","germany","0000007.5005 to 10 years"
"iliamna lake","lake and peninsula borough alaska","united states","0000007.8007.8 years"
"lac du bourget","savoie france","france","0000008.0008 years"
"odell lake","klamath county oregon","united states","0000008.0008 years"
"lake lugano /lago di lugano","ticino lombardy","switzerland italy","0000008.2008.2 years"
"lake neuchâtel / lac de neuchâtel / neuenburgersee","NULL","switzerland","0000008.2008.2 years"
"lake orta /lago d’orta /cusio","piedmont","italy","0000008.9008.9 years"
"weissensee","carinthia","austria","0000009.2009.2 years"
"quesnel lake","british columbia","canada","0000010.10010.1 years"
"schweriner see","mecklenburg-vorpommern","germany","0000010.10010.1 years"
"lake taupo","taupo district waikato region north island","new zealand","0000010.50010.5 years"
"wörthersee / lake wörth","west of klagenfurt","austria","0000010.50010.5 years"
"lake chelan","washington","united states","0000010.60010.6 years"
"lake geneva","switzerland france","switzerland france","0000011.40011.4 years"
"lake wakatipu","queenstown-lakes district otago region south island","new zealand","0000012.000c. 12 years"
"higgins lake","michigan","united states","0000012.50012.5 years"
"crescent lake","klamath county oregon","united states","0000013.00013 years"
"lake zug / zugersee","NULL","switzerland","0000014.70014.7 years"
"müritz","mecklenburg-vorpommern","germany","0000015.00015 years (?)"
"western brook pond","gros morne national park newfoundland newfoundland and labrador","canada","0000015.40015.4 years"
"lake sempach / sempachersee","canton of lucerne","switzerland","0000016.90016.9 years"
"skaneateles lake","new york","united states","0000018.00018 years"
"cayuga lake","new york","united states","0000018.20018.2 years"
"bear lake","idaho/utah","united states","0000019.60019.6 years"
"green lake","green lake county wisconsin","united states","0000021.00021 years"
"lake starnberg /starnberger see","bavaria","germany","0000021.00021 years"
"lake huron","north america","canada united states","0000022.00022 years"
"lake garda / lago di garda","northern italy","italy","0000026.80026.8 years"
"waldo lake","cascade mountains oregonportland oregon","united states","0000032.00032 years"
"crystal lake","benzie county michigan","united states","0000045.00030 to 60 years"
"lake columbia","jackson county michigan","united states","0000047.00047 years"
"okanagan lake","british columbia","canada","0000052.80052.8 years"
"lake ohrid","NULL","the republic of macedoniaalbania","0000070.00070 years"
"lake michigan","united states","united states","0000099.00099 years"
"arendsee","saxony-anhalt","germany","0000100.000100 years"
"gull lake","alberta","canada","0000101.000&gt;100 years"
"lake yosemite","california","united states","0000121.000121 years"
"great bear lake","northwest territories","canada","0000124.000124 years"
"crater lake","oregon","united states","0000157.000157 years"
"lake superior","north america","canada united states","0000191.000191 years"
"caspian sea","NULL","azerbaijan iran kazakhstan russia. turkmenistan","0000250.000250 years"
"lake baikal","NULL","russia","0000350.000330 years"
"lake tahoe","california nevada","united states","0000650.000650 years"
"lake titicaca","NULL","perubolivia","0001343.0001343 years"
"lakes qaban","NULL","russia","0002000.000several thousand years"
"lake poyang","NULL","china","0005000.0005000 years"
"lake vostok","NULL","antarctica","13300.00013300 years"
"lake eucumbene","new south wales","australia","13300.0001958 years"
