"{|scientific name}","{|common names (abridged)}","{|family}","{|habit}"
"averrhoa bilimbi","english: bilimbi cucumber tree tree cucumber tree sorrel","oxalidaceae","tree"
"axonopus micay","&nbsp;","poaceae","grass"
"azadirachta indica","english: neem nim margosa","meliaceae","tree"
"baccharis halimifolia","english: consumption weed eastern baccharis groundsel bush groundsel     tree sea island myrtle sea myrtle silverling tree groundsel waterbrush","asteraceae","shrub"
"bacopa procumbens","&nbsp;","scrophulariaceae","herb"
"barleria lupulina","english: hophead philippine violet","acanthaceae","shrub"
"barleria prionitis","english: barleria porcupine flower","acanthaceae","shrub"
"bauhinia acuminata","english: dwarf white bauhinia","fabaceae","tree"
"bauhinia purpurea","english: purple orchid tree; purple butterfly tree","fabaceae","tree"
"bauhinia variegata","english: orchid tree; mountain ebony","fabaceae","tree"
"bidens alba","english: beggar�s tick spanish needle cobbler's pegs romerillo; other: ki     ki nehe ki pipili nehe (hawai�i)","asteraceae","herb"
"bidens cynapiifolia","&nbsp;","asteraceae","herb"
"blainvillea gayana","","asteraceae","herb"
"bocconia frutescens","english: bocconia plume-poppy tree poppy tree celandine parrotweed","papaveraceae","shrub"
"boehmeria macrophylla","english: african jolanettle false nettle","urticaceae","herb"
"boerhavia coccinea","english: boerhavia hog weed hog feed red spiderling wineflower tar     vine; other: mata pavo patagon","nyctaginaceae","herb"
"brachiaria eruciformis","english: sweet signal grass","poaceae","grass"
"brillantaisia lamium","","acanthaceae","herb"
"brugmansia suaveolens","&nbsp;","solanaceae","shrub"
"bryophyllum delagoense","english: chandelier plant","crassulaceae","succulent"
"buddleja asiatica","english: dog tail; other: huelo �ilio (hawai'i)","scrophulariaceae","shrub"
"buddleja davidii","english: orange eye butterfly bush summer lilac","scrophulariaceae","shrub"
"buddleja madagascariensis","english: butterfly bush smoke bush","scrophulariaceae","shrub"
"caesalpinia decapetala","english: cat's claw mysore thorn mauritius thorn wait-a-bit; other:     puakelekino (hawai'i)","fabaceae","shrub"
"cajanus scarabaeoides","english: peanut grass (fiji) tropical clover (fiji)","fabaceae","vine"
"calamus spp.","english: rattan","arecaceae","vine     (palm)"
"calliandra haematocephala","english: red powder puff","fabaceae","shrub"
"calliandra surinamensis","english: surinamese stickpea","fabaceae","tree"
"callisia fragrans","english: fragrant inch plant basketplant spironema","commelinaceae","herb"
"calophyllum antillanum","english: alexandrian laurel antilles calophyllum beauty leaf calaba     galba indian laurel kamani santa maria tree","clusiaceae","tree"
"calotis lappulacea","english: bur daisy yellow daisy burr","asteraceae","herb"
"calotropis procera","english: calotropis rubber bush apple of sodom mudar madar king�s     crown roostertree","ascelepiadaceae","shrub"
"calyptocarpus vialis","&nbsp;","asteraceae","herb"
"cardiospermum grandiflorum","english: balloon vine; heart seed; other: kop&#363;p&#363; takaviri? (cook islands)","sapindaceae","vine"
"carmona retusa","english: fukien tea philippine tea scorpionbush","boraginaceae","tree"
"carpobrotus edulis","english: ice plant pigface hottentot fig","aizoaceae","succulent"
"castilla elastica","english: panama rubber tree mexican rubber tree uletree; other: pulu mamoe     (american samoa)","moraceae","tree"
"casuarina cunninghamiana","english: river oak river she-oak small cone ironwood","casuarinaceae","tree"
"casuarina glauca","english: swamp oak saltmarsh ironwood longleaf ironwood gray sheoak","casuarinaceae","tree"
"cecropia obtusifolia","english:&nbsp; trumpet tree guarumo; other: rau-m&#257;niota (cook islands)","cecropiaceae","tree"
"cecropia peltata","english: trumpet tree","cecropiaceae","tree"
"cedrela odorata","english: cigar box cedar mexican cedar west indian cedar spanish cedar     barbados cedar; other: sita hina (tonga)","meliaceae","tree"
"cenchrus brownii","english: burgrass burr grass sand-bur slimbristle sandbur","poaceae","grass"
"centaurea melitensis","english: maltese cockspur maltese star thistle napa thistle yellow star     thistle","asteraceae","herb"
"centaurium spicatum","english: spiked centaury","gentianaceae","herb"
"centratherum punctatum","&nbsp;","asteraceae","herb"
"cestrum auriculatum","&nbsp;","solanaceae","shrub"
"cestrum diurnum","english: inkberry day jessamine day cestrum china berry; other:     ariki-va�ine (cook islands); makahala (hawai'i); sugi vao suni vao (samoa);     vaitohi (tonga)","solanaceae","shrub"
"cestrum parqui","english: green cestrum willow-leaved jessamine chilean cestrum green     poison-berry","solanaceae","shrub"
"chamaecrista mimosoides","english: japanese tea","fabaceae","herb"
"chamaesyce thymifolia","english: red caustic creeper thyme-leafed spurge","euphorbiaceae","herb"
"chenopodium ambrosioides","english: american wormseed bluebush jerusalem tea mexican tea     spanish-tea wormseed","chenopodiaceae","herb"
"chenopodium murale","english: australian-spinach green fat hen nettle-leaf goosefoot     salt-green sowbane","chenopodiaceae","herb"
"chloris divaricata","english: slender chloris star grass star windmill grass","poaceae","grass"
"chloris radiata","english: plush-grass radiate fingergrass","poaceae","grass"
"chloris virgata","english: feather finger grass feathered chloris feathertop rhodes grass     feathery rhodes grass oldland grass sweet grass","poaceae","grass"
"chlorophytum comosum","english: ribbonplant spider ivy spiderplant","liliaceae","herb"
"chromolaena odorata","english: chromolaena siam weed triffid weed bitter bush jack in the bush","asteraceae","shrub"
"chrysobalanus icaco","english: coco plum icaco","chrysobalanaceae","shrub"
"chrysophyllum oliviforme","english: satin leaf wild star-apple damson plum","sapotaceae","tree"
"chukrasia tabularis","english: burmese almondwood chickrassy chittagong wood","meliaceae","tree"
"cinchona pubescens","english: quinine tree red cinchona","rubiaceae","tree"
"cinnamomum burmannii","english: padang cassia","lauraceae","tree"
"cinnamomum camphora","english: camphor tree camphor laurel","lauraceae","tree"
"cinnamomum verum","english: cinnamon tree; other: tinamoni tigamoni (american samoa and samoa)","lauraceae","tree"
"cirsium vulgare","english: spear thistle scotch thistle bull thistle black thistle plume     thistle; other: pua kali (hawai'i)","asteraceae","herb"
"cissus nodosa","english: grape ivy","vitaceae","vine"
"citharexylum caudatum","english: juniper berry","verbenaceae","tree"
"citharexylum gentryi","&nbsp;","verbenaceae","tree"
"citharexylum spinosum","english: fiddlewood","verbenaceae","tree"
"clausena excavata","english: clausena","rutaceae","tree"
"cleome gynandra","english: african spider-flower bastard-mustard cat's-whiskers spider     wisp wild spider flower; other: honohina �ili�ohu (hawai�i)","capparaceae","herb"
"cleome spinosa","english: spiny spider-flower","capparaceae","herb"
"clerodendrum japonicum","english: glorybower","lamiaceae","shrub"
"clerodendrum paniculatum","english: pagoda plant pagoda flower","lamiaceae","shrub"
"clerodendrum quadriloculare","english: bronze-leaved clerodendrum; other: losa losa fiti (american samoa     and samoa)","lamiaceae","shrub"
"clidemia hirta","english: koster�s curse soap bush; other: la�au lau mamoe (samoa)","melastomataceae","shrub"
"clitoria laurifolia","english: laurel-leaf pigeonwings","fabaceae","shrub"
"clitoria ternatea","english: butterfly pea asian pigeonwings; other: paipa (tonga)","fabaceae","vine"
"clusia rosea","english: signature tree autograph tree copey scotch attorney pitchapple","clusiaceae","tree"
"coccinia grandis","english: ivy gourd scarlet-fruited gourd","cucurbitaceae","vine"
"commelina benghalensis","english: benghal dayflower dayflower hairy wandering jew wandering jew;     other: hairy honohono (hawai�i); mau'u tonga (samoa); kanini kaningi musie     matala pulu (tonga)","commelinaceae","herb"
"conocarpus erectus","english: sea mulberry buttonwood button mangrove","combretaceae","shrub/tree"
"conyza aegyptiaca","english: fleabane","asteraceae","herb"
"conyza sumatrensis","english: broadleaf fleabane tall fleabane; other: pakaka (tonga)","asteraceae","herb"
"corchorus olitorius","english: jew's mallow jute nalta jute tossa jute","tiliaceae","herb"
"corchorus trilocularis","&nbsp;","tiliaceae","herb"
"cordia alliodora","english: laurel ecuador laurel salmwood spanish elm; other: kotia (samoa     tonga)","boraginaceae","tree"
"cordia curassavica","english: black sage","boraginaceae","shrub"
"cordia glabra","english: broad-leaved cordia","boraginaceae","tree"
"cortaderia jubata","english: jubata grass andean pampas grass purple pampas grass","poaceae","grass"
"cortaderia selloana","english: pampas grass silver pampas grass uruguayan pampas grass","poaceae","grass"
"corynocarpus laevigatus","english: new zealand laurel karakara nut","corynocarpaceae","tree"
"cosmos caudatus","english: cosmos","asteraceae","herb"
"cotula australis","engllish: bachelor's-button carrotweed common cotula australian brass     buttons","asteraceae","herb"
"crotalaria incana","english: fuzzy rattlepod woolly rattlepod; other: k&#363;kaehoki kolomona     (hawai�i)","fabaceae","shrub"
"crotalaria linifolia","english: narrow-leaved crotalaria","fabaceae","herb"
"crotalaria quinquefolia","english: rattlepod","fabaceae","herb"
"crotalaria retusa","english: devil-bean wedge-leaf crotalaria wedge-leaf rattlepod; other:     piini? (tonga)","fabaceae","herb"
"crotalaria spectabilis","english: rattlebox showy crotalaria showy rattlebox showy rattlepod;     other: kolomona (hawai�i); ha'apai (tonga)","fabaceae","herb"
"crotalaria zanzibarica","english: curara-pea","fabaceae","herb"
"cryptostegia grandiflora","english: rubber vine india rubber vine palay rubbervine","ascelepiadaceae","vine"
"cryptostegia madagascariensis","english: madagascar rubbervine","ascelepiadaceae","vine"
"cucumis dipsaceus","english: hedgehog cucumber hedgehog gourd teasel gourd","cucurbitaceae","herb"
"cupaniopsis anacardioides","english: carrotwood tuckeroo","sapindaceae","tree"
"cuphea carthagenensis","english: columbian cuphea colombian waxweed tarweed; other: laau fau moti     (samoa)","lythraceae","herb"
"cuscuta cassytoides","&nbsp;","cuscutaceae","herb"
"cyathea cooperi","english: australian tree fern","cyatheaceae","fern"
"cyathula prostrata","english: cyathula; other: mata kura (cook islands (miti'aro?); tolomo'unga     (tonga)","amaranthaceae","herb"
"cymbopogon refractus","english: barbwire grass soap grass; other: aretu monoi aretu noanoa     (french polynesia)","poaceae","grass"
"cyperus cyperinus","english: long-headed sedge; other: mue mue mou upo tutu (french polynesia)","cyperaceae","sedge"
"cyperus difformis","english: dirty-dora one-arm sedge rice sedge small-flower umbrella-plant     variable flat sedge","cyperaceae","sedge"
"cyperus distans","english: slender cyperus","cyperaceae","sedge"
"cyperus haspan","&nbsp;","cyperaceae","sedge"
"cyperus iria","english: grasshopper�s cyperus rice flat sedge umbrella sedge; other: mou     mou hairi (french polynesia)","cyperaceae","sedge"
"cyperus ligularis","english: rocket sedge swamp flatsedge","cyperaceae","sedge"
"cyperus pilosus","&nbsp;","cyperaceae","sedge"
"cyrtococcum patens","&nbsp;","poaceae","grass"
"cyrtococcum trigonum","english: short-leaf cyrtococcum grass","poaceae","grass"
"dactylis glomerata","english: barnyard grass cocksfoot cockspur orchard grass","poaceae","grass"
"dalbergia sissoo","english: indian dalbergia indian rosewood sissoo shisham","fabaceae","tree"
"datura ferox","english: fierce thorn-apple large thorn-apple long-spine thorn-apple","solanaceae","herb"
"datura inoxia","english: angel's-trumpet downy thorn-apple indian-apple sacred datura     thorn-apple","solanaceae","herb"
"datura stramonium","english: datura jimsonweed moonflower purple thorn-apple thorn-apple;     other: l&#257;�au h&#257;n&#333; k&#299;k&#257;nia k&#299;k&#257;nia haole (hawai�i)","solanaceae","herb"
"delairea odorata","english: german ivy italian ivy cape ivy","asteraceae","vine"
"dentella repens","&nbsp;","rubiaceae","herb"
"derris elliptica","english: derris","fabaceae","vine"
"desmanthus virgatus","english: slender mimosa virgate mimosa","fabaceae","shrub"
"desmodium gangeticum","&nbsp;","fabaceae","herb"
"desmodium heterophyllum","english: hetero spanish clover","fabaceae","herb"
"desmodium intortum","english: beggarlice green-leaf desmodium","fabaceae","herb"
"desmodium nicaraguense","&nbsp;","fabaceae","shrub"
"desmodium scorpiurus","&nbsp;","fabaceae","herb"
"desmodium tortuosum","english: florida beggarweed spanish clover dixie ticktrefoil","fabaceae","herb"
"dichrostachys cinerea","english: aroma kalahari christmas tree chinese lantern tree sickle bush     marabou-thorn marab�","fabaceae","shrub"
"digitaria bicornis","english: southern crabgrass","poaceae","grass"
"digitaria eriantha","english: common finger grass digit grass pangola grass woolly finger     grass","poaceae","grass"
"digitaria fuscescens","english y grass; other: creeping k&#363;kaepua�a (hawai�i)","poaceae","grass"
"digitaria horizontalis","&nbsp;","poaceae","grass"
"digitaria insularis","english: cottongrass sourgrass feather-top grass","poaceae","grass"
"digitaria sanguinalis","english: crab finger grass hairy crabgrass large crabgrass manne     terrestre panic sanguin summer grass","poaceae","grass"
"dillenia suffruticosa","english: shrubby dillenia shrubby simpoh","dilleniaceae","shrub/tree"
"diplotaxis muralis","english: wall rocket","brassicaceae","herb"
"drymaria cordata","english: drymaria tropical chickweed west indian chickweed; other: pipili     pilipili (hawai�i)","caryophyllaceae","herb"
"duranta erecta","english: duranta golden dewdrop pigeon-berry sky-flower; other: �olive     (tonga)","verbenaceae","shrub"
"echinochloa polystachya","english: aleman grass carib grass creeping rivergrass","poaceae","grass"
"echinochloa stagnina","english: barnyard grass burgu grass hippo grass long-awn water grass","poaceae","grass"
"elaeocarpus angustifolius","english: blue fig blue marble tree quandong (australia); other: apatua     siapoatua siapatua (american samoa and samoa)","elaeocarpaceae","tree"
"eleocharis dulcis","english: chinese water-chestnut ground-chestnut waternut; other: utu utu     (samoa)","cyperaceae","sedge"
"eleocharis geniculata","english: spikerush","cyperaceae","sedge"
"elephantopus mollis","english: elephantopus elephant�s foot tobacco weed; other: tapuvae     �erepani tapuae �erepani vaevae �erepani tapua �erepani? (cook islands);     lata hina lau veveli (tonga)","asteraceae","herb"
"elettaria cardamomum","english: cardamom","zingiberaceae","herb"
"emex australis","english: doublegee spiny emex three-corner jack","polygonaceae","herb"
"emex spinosa","&nbsp;","polygonaceae","herb"
"emilia coccinea","english: flora�s paintbrush tasselflower","asteraceae","herb"
"emilia fosbergii","other: pualele (hawai�i)","asteraceae","herb"
"episcia cupreata","english: episcia flame violet","gesneriaceae","herb"
"eragrostis cilianensis","english: gray love grass stinkgrass","poaceae","grass"
"eragrostis elongata","english: clustered lovegrass (australia)","poaceae","grass"
"eragrostis pilosa","english: hairy love grass indian love grass soft lovegrass","poaceae","grass"
"eragrostis tenuifolia","english: elastic grass love grass","poaceae","grass"
"eragrostis tremula","&nbsp;","poaceae","grass"
"eragrostis unioloides","&nbsp;","poaceae","grass"
"erechtites hieraciifolius","english: american burnweed american fireweed burnweed fireweed malayan     groundsel pilewort","asteraceae","herb"
"erechtites valerianifolia","english: brazilian fireweed fireweed fireweed daisy ceylon thistle;     other: fua lele pua lele (samoa); fisi puna (tonga)","asteraceae","herb"
"eremochloa ophiuroides","english: centipede grass","poaceae","grass"
"erigeron bellioides","&nbsp;","asteraceae","herb"
"erigeron karvinskianus","english: mexican daisy seaside daisy daisy     fleabane","asteraceae","herb"
"eriochloa procera","&nbsp;","poaceae","grass"
"eryngium foetidum","english: false coriander shadow-beni stinkweed","apiaceae","herb"
"euphorbia helioscopia","english: sun spurge","euphorbiaceae","herb"
"euphorbia peplus","english: petty spurge","euphorbiaceae","herb"
"eustachys petraea","&nbsp;","poaceae","grass"
"fallopia convolvulus","english: black bindweed wild buckwheat","polygonaceae","herb"
"ficus altissima","english: lofty fig false banyan council tree","moraceae","tree"
"ficus benghalensis","english: banyan indian banyan vada tree; other: pulu (samoa)","moraceae","tree"
"ficus benjamina","english: weeping fig baka java fig weeping fig benjamin tree; other:     �ovava fisi (tonga)","moraceae","tree"
"ficus macrophylla","english: moreton bay fig","moraceae","tree"
"ficus microcarpa","english: chinese banyan malayan banyan indian laurel","moraceae","tree"
"ficus nota","english: tibig","moraceae","tree"
"ficus rubiginosa","english: rusty-leaved fig port jackson fig littleleaf fig","moraceae","tree"
"filicium decipiens","english: fern tree soapberry","sapindaceae","tree"
"fimbristylis autumnalis","english: slender fimbristylis","cyperaceae","sedge"
"fimbristylis littoralis","english: grass-like fimbristylis lesser fimbristylis","cyperaceae","sedge"
"flacourtia indica","english: batoko-plum governor's-plum indian-plum madagascar-plum     ramontchi","flacourtiaceae","tree"
"flacourtia rukam","english: indian plum indian prune governor's plum; other: filimoto     (american samoa fiji futuna samoa and tonga)","flacourtiaceae","tree"
"flemingia macrophylla","","fabaceae","tree"
"flemingia strobilifera","english: luck plant wild hops","fabaceae","shrub"
"flindersia brayleyana","english: queensland maple silkwood","rutaceae","tree"
"fuirena umbellata","&nbsp;","cyperaceae","sedge"
"funtumia elastica","english: african rubber tree silkrubber; other: pulu vao (samoa)","apocynaceae","tree"
"furcraea hexapetala","english: cuban hemp hemp","agavaceae","succulent"
"galinsoga parviflora","english: gallant soldier small-flower galinsoga yellow weed","asteraceae","herb"
"galinsoga quadriradiata","english: hairy galinsoga peruvian daisy","asteraceae","herb"
"gamochaeta pensylvanica","english: pennsylvania cudweed","asteraceae","herb"
"gamochaeta purpurea","english: purple cudweed","asteraceae","herb"
"gmelina arborea","english: gmelina white teak white beech","lamiaceae","tree"
"gmelina asiatica","english: badhara bush asiatic beechberry oval-leafed gmelina","lamiaceae","shrub"
"gmelina elliptica","&nbsp;","lamiaceae","shrub"
"gomphocarpus physocarpus","english: balloon plant balloon cottonbush bladderbush wild cotton","ascelepiadaceae","shrub"
"gomphrena celosioides","english: gomphrena weed","amaranthaceae","herb"
"gomphrena serrata","&nbsp;","amaranthaceae","herb"
"grevillea banksii","english: kahili flower banks grevillea; other: ha�iku kahili (hawai�i);     �oka pua �ula�ula (hawai�i (ni�ihau))","proteaceae","tree"
"grewia asiatica","english: phalsa","tiliaceae","tree"
"gymnocoronis spilanthoides","english: senegal tea temple plant","asteraceae","herb"
"haematoxylum campechianum","english: logwood bloodwood tree campeachy wood campeche","fabaceae","tree"
"harungana madagascariensis","english: harungana","clusiaceae","tree"
"hedera helix","english: english ivy ivy","araliaceae","vine"
"hedychium coronarium","english: white ginger butterfly lily ginger lily garland flower; other:     teuila paepae (american samoa and samoa); k&#333;p&#299; teatea re�a teatea (cook     islands); thevunga (tonga); �awapuhi ke�oke�o (hawai�i)","zingiberaceae","herb"
"hedychium gardnerianum","english: kahili ginger; other: k&#333;p&#299; (cook islands); kahili �awapuhi kahili     (hawai�i)","zingiberaceae","herb"
"helianthus argophyllus","english: silverleaf sunflower; other: siola'a (samoa)","asteraceae","herb"
"heliocarpus popayanensis","english: moho white moho","tiliaceae","tree"
"heliotropium indicum","english: indian heliotrope turnsole","boraginaceae","herb"
"heliotropium procumbens var. depressum","&nbsp;","boraginaceae","herb"
"hemigraphis reptans","&nbsp;","acanthaceae","herb"
"heterocentron subtriplinervium","english: pearl flower","melastomataceae","herb"
"hevea brasiliensis","english: hevea brazilian rubber tree para rubber tree","euphorbiaceae","tree"
"hippobroma longiflora","english: star of bethlehem fetia madamfate; other: pua h&#333;k&#363; (hawai�i)","campanulaceae","herb"
"hiptage benghalensis","english: hiptage","malpighiaceae","shrub"
"homalanthus populifolius","english: native bleeding-heart","euphorbiaceae","tree"
"hovenia dulcis","english: chinese raisintree japanese raisintree","rhamnaceae","tree"
"hura crepitans","english: sandbox tree","euphorbiaceae","tree"
"hydrocotyle bonariensis","english: pennywort kurnell curse large-leaved pennywort","apiaceae","herb"
"hydrocotyle ranunculoides","english: water pennywort","apiaceae","herb"
"hymenachne amplexicaulis","english: hymenachne trompetilla west indian marsh grass","poaceae","grass"
"hyparrhenia rufa","english: jaragua grass thatching grass","poaceae","grass"
"hypericum androsaemum","english: amber sweet amber tutsan","clusiaceae","shrub"
"hypericum canariense","english: canary islands st. johnswort","clusiaceae","shrub"
"hypericum perforatum","english: goatweed klamath weed st. john's-wort","clusiaceae","herb"
"hypochoeris glabra","english: smooth cats-ear","asteraceae","herb"
"hypochoeris radicata","english: hairy cat�s ear gosmore","asteraceae","herb"
"hyptis capitata","english: knobweed; other: maa uupo (french polynesia)","lamiaceae","herb"
"hyptis mutabilis","english: tropical bushmint","lamiaceae","herb"
"hyptis pectinata","english: comb hyptis comb bushmint mint weed purple top; other: miri t&#299;t&#257;     (cook islands (�atiu)); vao mini (samoa)","lamiaceae","herb"
"impatiens walleriana","english: garden impatiens balsam busy lizzy bizzy-lizzie patient lucy;     sultan�s flower","balsaminaceae","herb"
"imperata conferta","english: plume grass","poaceae","grass"
"imperata cylindrica","english: blady grass cogon grass satintail","poaceae","grass"
"indigofera linifolia","&nbsp;","fabaceae","herb"
"inga edulis","english: ice cream bean","fabaceae","tree"
"ipomoea alba","english: moonflower; other: koali pehu (hawai�i) fue sina fue to (samoa)","convolvulaceae","vine"
"ipomoea hederifolia","english: ivy-leaf morning glory star ipomoea trompillo","convolvulaceae","vine"
"ipomoea obscura","&nbsp;","convolvulaceae","vine"
"ipomoea ochracea","&nbsp;","convolvulaceae","vine"
"ipomoea purpurea","english: common morning-glory tall morning-glory","convolvulaceae","herb"
"isachne globosa","&nbsp;","poaceae","grass"
"ischaemum polystachyum","english: paddle grass","poaceae","grass"
"ischaemum rugosum","english: muraina grass wrinkle duck-beak saramatta grass","poaceae","grass"
"ischaemum timorense","english: centipede grass stalkleaf murainagrass lucuntu grass","poaceae","grass"
"jasminum fluminense","english: brazilian jasmine","oleaceae","vine"
"jatropha gossypiifolia","english: bellyache bush cotton-leaved physic nut","euphorbiaceae","shrub"
"juncus spp.","english: rush","juncaceae","rush"
"justicia carnea","english: pink plume-flower pink jacobinia","acanthaceae","shrub"
"justicia procumbens","&nbsp;","acanthaceae","herb"
"khaya senegalensis","english: african mahogany senegal mahogany","meliaceae","tree"
"koanophyllon solidaginoides","&nbsp;","asteraceae","herb?"
"koelreuteria elegans","english: chinese rain tree flame gold golden rain tree","sapindaceae","tree"
"kunzea ericoides","english: tree manuka tree manuba kanuka (new zealand) burgan white     teatree","myrtaceae","tree"
"kyllinga melanosperma","&nbsp;","cyperaceae","sedge"
"kyllinga polyphylla","english: navua sedge; other: tuise tele tuise fiti (samoa)","cyperaceae","sedge"
"lantana montevidensis","english: creeping lantana purple lantana small     lantana trailing lantana weeping lantana","verbenaceae","herb"
"leersia hexandra","english: cutgrass","poaceae","grass"
"leonotis nepetifolia","english: lion�s tail lion�s ear christmas candlestick","lamiaceae","herb"
"lepidium ruderale","english: peppergrass","brassicaceae","herb"
"lepidium sativum","english: garden cress","brassicaceae","herb"
"leptospermum polygalifolium","&nbsp;","myrtaceae","shrub"
"leptospermum scoparium","english: new zealand tea; manuka (new zealand)","myrtaceae","tree"
"leucas lavandulifolia","&nbsp;","lamiaceae","herb"
"licuala grandis","english: ruffled fan palm","arecaceae","tree     (palm)"
"ligustrum spp.","english: privet","oleaceae","shrubs/ trees"
"limonia acidissima","english: elephant-apple indian wood-apple wood-apple","rutaceae","tree"
"lindernia antipoda","&nbsp;","scrophulariaceae","herb"
"lindernia crustacea","other: moomai pere haehaa mataura (french polynesia)","scrophulariaceae","herb"
