"gwaun      lydan","632m","2073ft","sh880212","&nbsp;","&nbsp;"
"gwaun      y llwyni","685m","2247ft","sh857205","&nbsp;","&nbsp;"
"gyrn      wigau","643m","2110ft","sh654675","30/05/2010","&nbsp;"
"llechog","718m","2356ft","sh606567","&nbsp;","&nbsp;"
"llechwedd      du","614m","2014ft","sh894224","&nbsp;","&nbsp;"
"lliwedd      bach","818m","2684ft","sh628532","25/06/2006","&nbsp;"
"llwytmor","849m","2785ft","sh689692","30/05/2010","&nbsp;"
"maesglase","676m","2218ft","sh817150","&nbsp;","&nbsp;"
"manod      mawr","661m","2169ft","sh724447","11/03/2006","&nbsp;"
"manod      mawr north top","658m","2159ft","sh727458","11/03/2006","&nbsp;"
"moel      cynghorion","674m","2211ft","sh586564","&nbsp;","&nbsp;"
"moel      druman","676m","2218ft","sh671476","&nbsp;","&nbsp;"
"moel      eilio","726m","2382ft","sh556577","&nbsp;","&nbsp;"
"moel      fferna","630m","2067ft","sj116398","&nbsp;","&nbsp;"
"moel      hebog","783m","2569ft","sh565469","28/12/2005","&nbsp;"
"moel      lefn","638m","2093ft","sh553485","28/12/2005","&nbsp;"
"moel      llyfnant","751m","2464ft","sh808352","&nbsp;","&nbsp;"
"moel      penamnen","620m","2034ft","sh716483","11/03/2006","&nbsp;"
"moel      siabod","872m","2861ft","sh705546","&nbsp;","&nbsp;"
"moel      sych","827m","2713ft","sj066318","17/11/2006","&nbsp;"
"moel      y cerrig duon","625m","2051ft","sh923242","&nbsp;","&nbsp;"
"moel      yr ewig","695m","2280ft","sj080317","17/11/2006","&nbsp;"
"moel      yr ogof","655m","2149ft","sh556478","28/12/2005","&nbsp;"
"moel      ysgyfarnogod","623m","2044ft","sh658346","04/05/2008","&nbsp;"
"moelwyn      bach","710m","2329ft","sh660437","&nbsp;","&nbsp;"
"moelwyn      mawr","770m","2526ft","sh658449","&nbsp;","&nbsp;"
"moelwyn      mawr north ridge top","646m","2119ft","sh661453","&nbsp;","&nbsp;"
"moel-yr-hydd","648m","2126ft","sh672454","&nbsp;","&nbsp;"
"mynydd      drws-y-coed","695m","2280ft","sh549518","&nbsp;","&nbsp;"
"mynydd      graig goch","610m","2000ft","sh497485","&nbsp;","promoted      sept 2008"
"mynydd      llysiau","663m","2175ft","so207279","28/12/2001","&nbsp;"
"mynydd      mawr","698m","2290ft","sh539547","29/12/2005","&nbsp;"
"mynydd      moel","863m","2831ft","sh727137","26/08/2007","&nbsp;"
"mynydd      perfedd","812m","2664ft","sh623619","&nbsp;","&nbsp;"
"mynydd      tal-y-mignedd","653m","2142ft","sh535514","&nbsp;","&nbsp;"
"mynydd      tarw","681m","2234ft","sj113324","17/11/2006","&nbsp;"
"pen      allt-mawr","719m","2359ft","so207243","28/12/2001","&nbsp;"
"pen      bwlch llandrillo top","621m","2037ft","sj089369","&nbsp;","&nbsp;"
"pen      cerrig-calch","701m","2300ft","so217223","28/12/2001","&nbsp;"
"pen      llithrig y wrach","799m","2621ft","sh716623","01/06/2010","&nbsp;"
"pen      pumlumon arwystli","741m","2431ft","sn815877","&nbsp;","&nbsp;"
"pen      pumlumon llygad-bychan","727m","2385ft","sn799871","&nbsp;","&nbsp;"
"pen      twyn glas","646m","2119ft","so213257","28/12/2001","&nbsp;"
"pen      twyn mawr","658m","2159ft","so242267","28/12/2001","&nbsp;"
"pen      y boncyn trefeilw","646m","2119ft","sh962283","18/11/2006","&nbsp;"
"pen      y bryn-fforchog","685m","2247ft","sh818179","27/08/2007","&nbsp;"
"pen      y castell","623m","2044ft","sh722689","&nbsp;","&nbsp;"
"pen      y fan","886m","2907ft","so012216","19/09/2008","&nbsp;"
"pen      y gadair fawr","800m","2625ft","so229287","28/12/2001","&nbsp;"
"pen      y garn","610m","2001ft","sn798771","&nbsp;","&nbsp;"
"pen      yr allt uchaf","620m","2034ft","sh871197","&nbsp;","&nbsp;"
"pen      yr helgi du","833m","2733ft","sh698630","01/06/2010","&nbsp;"
"pen      yr ole wen","978m","3209ft","sh655619","31/05/2010","&nbsp;"
"picws      du","749m","2457ft","sn811218","22/09/2008","&nbsp;"
"post      gwyn","665m","2182ft","sj048294","&nbsp;","&nbsp;"
"pumlumon      fach","664m","2178ft","sn787874","&nbsp;","&nbsp;"
"pumlumon      fawr","752m","2467ft","sn790870","&nbsp;","&nbsp;"
"rhinog      fach","712m","2336ft","sh665270","03/05/2008","&nbsp;"
"rhinog      fawr","720m","2362ft","sh657290","03/05/2008","&nbsp;"
"rhobell      fawr","734m","2408ft","sh787257","02/05/2008","&nbsp;"
"rhos      dirion","713m","2339ft","so211334","20/09/2008","&nbsp;"
"snowdon      - yr wyddfa","1085m","3560ft","sh609544","01/07/2001","&nbsp;"
"stac      rhos","630m","2067ft","sh969279","18/11/2006","&nbsp;"
"tal      y fan","610m","2001ft","sh729727","&nbsp;","&nbsp;"
"tarren      y gesail","667m","2188ft","sh710059","&nbsp;","&nbsp;"
"tarrenhendre","634m","2080ft","sh683041","&nbsp;","&nbsp;"
"tomle","742m","2434ft","sj085335","17/11/2006","&nbsp;"
"trum      y ddysgl","709m","2326ft","sh545516","&nbsp;","&nbsp;"
"trum      y gwrgedd","612m","2008ft","sh941284","18/11/2006","&nbsp;"
"tryfan","915m","3002ft","sh664594","&nbsp;","&nbsp;"
"twmpa","680m","2231ft","so225350","20/09/2008","&nbsp;"
"tyrrau      mawr","661m","2169ft","sh677135","&nbsp;","&nbsp;"
"waun      camddwr","621m","2037ft","sh848206","&nbsp;","&nbsp;"
"waun      fach","811m","2661ft","so215300","28/12/2001","&nbsp;"
"waun      garnedd-y-filiast","650m","2133ft","sh874452","10/03/2006","&nbsp;"
"waun      lefrith","677m","2221ft","sn798215","22/09/2008","&nbsp;"
"waun      rydd","769m","2523ft","so062206","19/09/2008","&nbsp;"
"waun-oer","670m","2198ft","sh786147","&nbsp;","&nbsp;"
"y      foel goch","805m","2641ft","sh678582","&nbsp;","&nbsp;"
"y      garn (glyders)","947m","3107ft","sh631596","&nbsp;","&nbsp;"
"y      garn (moel hebog)","633m","2077ft","sh551526","&nbsp;","&nbsp;"
"y      garn (plumlumon)","684m","2244ft","sn776852","&nbsp;","&nbsp;"
"y      garn (rhinogs)","629m","2064ft","sh702230","05/05/2008","&nbsp;"
"y      groes fagl","659m","2162ft","sh988290","18/11/2006","&nbsp;"
"y      gyrn","619m","2031ft","sn989216","18/09/2008","&nbsp;"
"y      llethr","756m","2480ft","sh661258","03/05/2008","&nbsp;"
"y      lliwedd","898m","2946ft","sh622533","25/06/2006","&nbsp;"
"y      lliwedd east top","893m","2930ft","sh623532","25/06/2006","&nbsp;"
"yr      aran","747m","2451ft","sh604515","&nbsp;","&nbsp;"
"yr      elen","962m","3156ft","sh674651","31/05/2010","&nbsp;"
"ysgafell      wen","672m","2205ft","sh667481","&nbsp;","&nbsp;"
"ysgafell      wen far north top","650m","2133ft","sh663488","&nbsp;","&nbsp;"
"ysgafell      wen north top","669m","2195ft","sh663485","&nbsp;","&nbsp;"
