"william suddards franklin","1863-1930","&nbsp;"
"emile-michel-hyacinthe  lemoine","1840-1912","mathematician and  engineer. also a musician"
"sir james george frazier","1854-1941","anthropologist author of the  golden bow"
"irving langmuir","1881-1857","nobel prize chemist"
"rumford","&nbsp;","&nbsp;"
"charles friedel","1932-1899","chemist"
"james mason crafts","&nbsp;","chemist"
"johann heinrich lambert","1827-1777","mathematician physicist  astronomer proved the irrationality of pi hyperbolic trig functions  theorems on conics theoretical photometry"
"joseph wilson swan","1828-1914","carbon-filament  incandescent light"
"alfred nobel","1833-1896","started the nobel prizes  with the money he made from inventing dynamite. 355 patents."
"joseph stefan","1835-1893","blackbody radiation"
"ernst mach","1838-1916","refused to believe in  atoms"
"joseph dewar","1842-1923","liquified nitrogen dewar  flask"
"charles lapworth","1842-1920","catalogued ordovician  strata"
"ludwig boltzmann","1844-1906","statistical mechanics"
"georg cantor","1845-1918","&nbsp;"
"willard f. libby","1908-1980","1960 nobel prize for  radiocarbon dating"
"roland eotvos","1848-1919","gravitational and inertial  mass equivalent"
"roderick murchison","&nbsp;","geologist"
"sir horace lamb","1849-1934","math hydrodynamics wave  theory"
"ferdinand georg frobenius","1849-1917","mathematician"
"oliver heaviside","1850-1925","electromagnetism  operational calculus vectors"
"geroge francis fitzgerald","1851-1901","lorentz-fitzgerald contraction  for michelson-morley experiment"
"john henry poiynting","1852-1914","poynting�s vector for  electromagnetic waves"
"henri poincare","1854-1912","&nbsp;"
"janne rydberg","1854-1919","&nbsp;"
"edwin h. hall","1855-1938","&nbsp;"
"heinrich hertz","1857-1894","electromagnetism"
"nikola tesla","1857-1943","alternating current"
"moretocome","&nbsp;","&nbsp;"
"alexander mikhailovich  liapunov","1857-1918","mathematician"
"sir william maddock  bayliss","1860-1924","physiologist"
"william shirley bayley","1861-1943","geologist"
"robert thompson leiper","1881-","biologist"
"gilbert newton lewis","1875-1946","lewis acids/bases"
"bronsted","&nbsp;","chemist"
"isidor isaac rabi","1898-1988","1944 nobel magnetic  resonance"
"otto stern","1888-1969","1943 nobel - magnetic  moment of a proton"
"robert shapiro","&nbsp;","biochemist wrote origins  : a skeptics guide to the creation of life on earth"
"chandra wickamasinghe","&nbsp;","&nbsp;"
"ignaz semmelweiss","&nbsp;","reduced hospital mortality  by having patients wash hands in chlorinated lime"
"fred hoyle","&nbsp;","&nbsp;"
"morowitz","&nbsp;","&nbsp;"
"edward jenner","1749-1823","smallpox vaccine from  cowpox. son of a clergyman he vaccinated many poor people for free"
"max born","&nbsp;","&nbsp;"
"silliam smith","1769-1839","father of english geology"
"charles laveran","1845-1922","discovered the plasmodian  that causes malaria"
"nicola tesla","1832-1943","&nbsp;"
"ernest rutherford","1871-1933","&nbsp;"
"georg simon ohm","1787-1854","&nbsp;"
"charles de coulomb","1736-1806","&nbsp;"
"joseph henry","1797-1878","&nbsp;"
"neinrich rudolf hertz","1857-1894","&nbsp;"
"james prescott joule","1818-1889","&nbsp;"
"ernst mach","1838-1916","physicist who refused to  believe in atoms"
"glenn t. seborg","1912-1999","shared 1951 nobel prize in  chemistry"
"george wierstrauss","&nbsp;","&nbsp;"
"alessandro volta","1745-1827","made the first battery"
"james watt","1731-1819","&nbsp;"
"william eduard weber","1804-1891","&nbsp;"
"fritz haber","&nbsp;","1918 nobel prize for  ammonia synthesis"
"de bakey","&nbsp;","&nbsp;"
"cooley","&nbsp;","&nbsp;"
"paul chu","&nbsp;","&nbsp;"
"albert a. michelson","1852-1931","precisely measured the  speed of light. nobel (physics)"
"morley","&nbsp;","&nbsp;"
"willem einthoven","1860-1927","physiologist who invented  the electrocardiogram"
"gotthold ferdinand  eisenstein","1823-1852","mathematician binary  quadratic forms"
"walfrid van ikman","1874-1954","oceanographer and  physicist"
"christaan eijkman","1858-1939","vitamin deficiencies"
"george theobald","1859-1934","pathology. killed bateria  cultures can give immunity"
"solomon lefschetz","1884-1972","topology"
"frederic &amp; irene  joliot-curie","{1900-1958|1897-1956}","co-discovered artificial  radioactivity"
"john cockcroft","1897-1967","co-invented particle  accelerator"
"anton van leeuwenhook","1632-1723","made 250 microscopes up to  270x. first to see bacteria protozoa rotifers"
"{tsung dae lee|(chinese born american)}","1926-","nobel physicist"
"maurice h. f. wilkins","1916-","shared the nobel prize  with watson and crick"
"fermat","&nbsp;","corresponded with pascal"
"jack kilby","&nbsp;","nobel prize for  co-inventing the transistor"
"simon newcout(sp?)","1835-1909","famous astronomer who  taught that heavier than air flight was impossible."
"louis-victor de broglie","&nbsp;","1929 nobel prize in  physics"
"paul ehrenfest","&nbsp;","physicist and einstein�s  friend"
"wheeler","&nbsp;","&nbsp;"
"william gilbert","1544-1603","thought the earth is a  giant magnet"
"willebrod snell","1580-1626","snell�s law of refraction"
"joseph j. thomson","&nbsp;","1906 nobel (physics)"
"conrad lorenz","&nbsp;","&nbsp;"
"johannes d. van der waals","&nbsp;","1910 nobel prize"
"otto hahn","1879-1968","1/2 1944 nobel fission"
"alexander fleming","1881-1955","observed penicillin"
"erwin schroedinger","1887-1961","shared 1933 nobel for  atomic theory of wave mechanics"
"wallace hume carothers","1896-1937","chemist"
"john d. cockroft","1897-1967","shared 1951 nobel  transmuted elements"
"patrick maynard stuart  blackett","1897-1974","developed the cloud  chamber"
"howard walter florey","1898-1968","co-discovered of  penicillin"
"p.a.m. dirac","&nbsp;","&nbsp;"
"wolfgang pauli","1900-1958","1954 nobel paul exclusion  principle"
"thomas watson","&nbsp;","&nbsp;"
"thomas r. cech","&nbsp;","shared 1989 nobel prize  for self-replicating rna. very careful in his speech to not say anything  beyond what research demonstrates"
"ernest thomas sinton  walton","1903-1995","shared 1951 nobel for transmuting  elements"
"{george gamow|(russina-amer.)}","1904-1968","nuclear reactions in stars"
"otto frisch","1904-1979","uranium fission"
"(julius) robert  oppenheimer","1904-1967","worked on the atom bomb"
"emilio segre","1905-1989","shared 1959 nobel for  anti-proton"
"own chamberlain","1920-","shared 1959 nobel for  anti-proton"
"{nikolai basov|(russian)}","1922-2001","theoretical basis of the  maser"
"lars onsager","(1931)","&nbsp;"
"max k.e.l. planck","&nbsp;","1918 nobel prize"
"neils bohr","1885-1962","1922 nobel electrons  orbit in energy states"
"hubble","&nbsp;","&nbsp;"
"wilhelm roentgen","&nbsp;","1901 nobel prize"
"antoine cesar becquerel","1788-1878","electrochemistry"
"alexandre becquerel","1820-1891","&nbsp;"
"louis alfred becquerel","1814-1862","&nbsp;"
"antoine henri becquerel","1852-1908","shared 1903 nobel prize"
