"world rank","city","country","city           population","metro           population","mayor"
"225","ouagadougou","burkina faso","1475000","1727000","simon compaor&eacute;"
"314","phnom penh","cambodia","1242000","2001000","keb chutema"
"242","yaound&eacute;","cameroon","1430000","1550000","n/k"
"263","douala","cameroon","1382000","2000000","n/k"
"101","toronto","canada","2571000","5100000","rob ford"
"189","montreal","canada","1621000","3636000","g&eacute;rald tremblay"
"416","calgary","canada","988000","1080000","naheed nenshi"
"483","ottawa","canada","815000","1131000","larry o'brien"
"526","edmonton","canada","730000","1035000","stephen mandel"
"580","vancouver","canada","580000","2120000","gregor robertson"
"n/r","qu&eacute;bec","canada","495000","717000","r&eacute;gis labeaume"
"560","bangui","central african republic","652000","789000","n/k"
"35","santiago","chile","5278000","6677000","pablo zalaquett said"
"n/r","concepci&oacute;n","chile","404000","978000","jacqueline van rysselberghe"
"n/r","valparaiso","chile","301000","904000","aldo cornej"
"2","shanghai","china","14900000","19200000","han zheng"
"4","beijing","china","12460000","17550000","guo jinlong"
"24","tianjin","china","7500000","11750000","huang xingguo"
"27","hong kong","china","7055000","","donald tsang"
"28","guangzhou","china","6458000","10182000","wan qingliang"
"29","dongguan","china","6446000","7650000","li yuquan"
"37","shenyang","china","5090000","7760000","li yingjie"
"38","chongqing","china","5087000","9700000","huang qifan"
"42","harbin","china","4755000","9874000","zhang xiaolian"
"46","wuhan","china","4500000","6200000","ruan chengfa"
"49","chengdu","china","4334000","11000000","ge honglin"
"50","shenzhen","china","4320000","8616000","xy qin"
"51","nanjing","china","4150000","7600000","ji jianye"
"65","changchun","china","3581000","7460000","cui jie"
"67","guiyang","china","3450000","","yuan zhou"
"69","hangzhou","china","3408000","6776000","cai qi"
"76","kunming","china","3100000","6800000","zhang zulin"
"83","zibo","china","2850000","4200000","liu huiyan"
"86","huludao","china","2787000","","sun zhaolin"
"88","qingdao","china","2755000","7580000","xia geng"
"89","changsha","china","2744000","6140000","zhang jiangfei"
"91","fuzhou (fujian)","china","2710000","6630000","yuan rongxiang"
"93","xian","china","2670000","4480000","chen baogen"
"97","shijiazhuang","china","2630000","9600000","ai wenli"
"99","zhengzhou","china","2600000","4510000","zhao jiancai"
"103","taiyuan","china","2550000","3400000","zhang bingsheng"
"109","baoshan","china","2500000","","xiong qinghua"
"111","zhongshan","china","2495000","","n/k"
"112","xiamen","china","2490000","","liu cigui"
"113","chaoyang","china","2471000","","zhang tiemin"
"115","nanning","china","2450000","6480000","huang fangfang"
"119","suzhou","china","2383000","6298000","yan li"
"123","linyi","china","2300000","10080000","lian chengmin"
"124","dalian","china","2270000","3478000","li wancai"
"130","ningbo","china","2201000","5600000","mao guanglie"
"135","lanzhou","china","2088000","3300000","zhang jinliang"
"136","changzhou","china","2086000","3570000","wang weicheng"
"139","kowloon","china","2020000","2200000","wong kwok-keung"
"142","tangshan","china","1980000","7100000","zhang guodong"
"143","jilin","china","1953000","4523000","zhang xiaopei"
"144","nanchong","china","1950000","7300000","liu hongjian"
"149","jinan","china","1900000","2444000","zhang jianguo"
"152","macheng","china","1880000","","n/k"
"154","nanchang","china","1844000","3.790000","hu xian"
"156","xuzhou","china","1830000","9410000","cao xinping"
"159","huzhou","china","1800000","2700000","ma yi"
"161","suzhou anhui","china","1800000","5600000","tang chengpei"
"162","urumqi","china","1800000","2680000","jerla isamudin"
"163","yantai","china","1800000","6500000","zhang jiangting"
"165","tianmen","china","1790000","","n/k"
"167","shantou","china","1770000","4972000","cai zong ze"
"169","hefei","china","1750000","4867000","wu cunrong"
"170","tengzhou","china","1750000","","du yongguang"
"171","wuxi","china","1750000","2230000","mao xiaoping"
"174","fuyang","china","1720000","","sun yunfei"
"181","suizhou","china","1680000","","li hongyun"
"185","gaozhou","china","1650000","","n/k"
"186","taian","china","1650000","5500000","li hongfeng"
"188","tianshui","china","1630000","3450000","li wenqing"
"191","shangqiu","china","1610000","8220000","tao minglun"
"201","neijiang","china","1560000","","n/k"
"207","hechuan","china","1530000","","n/k"
"210","taizhou","china","1528000","5741000","wu weirong"
"215","guigang","china","1500000","4400000","n/k"
"217","luoyang","china","1500000","1499000","guo hongchang"
"220","quanzhou","china","1490000","7790000","zhu ming"
"224","nanan","china","1480000","","chen law"
"223","xintai","china","1480000","","liu daqun"
"230","xinyang","china","1460000","","guo ruimin"
"232","rugao","china","1453000","","ding dawei"
"233","anyang","china","1450000","3000000","zhang xiaodong"
"235","weifang","china","1450000","8500000","xu liquan"
"236","zhanjiang","china","1450000","6900000","ruan risheng"
"238","fushun","china","1445000","2300000","wang yang"
"240","qiqihaer","china","1439000","6011000","liu gang"
"241","jianyang","china","1430000","","n/k"
"245","guiping","china","1420000","","n/k"
"246","huazhou","china","1420000","","n/k"
"254","changde","china","1400000","6000000","chen wenhao"
"257","tongzhou","china","1400000","","ding dawei"
"260","handan","china","1390000","8500000","guo dajian"
"262","suining","china","1385000","3500000","n/k"
"265","liuyang","china","1380000","","liang zhong"
"266","luzhou","china","1380000","4800000","liu guoqiang"
"274","taixing","china","1355000","","gao yazi"
"275","bozhou","china","1352000","","liu jian"
"277","jinjiang","china","1350000","","kenneth li"
"278","lufeng","china","1350000","","n/k"
"279","yongcheng","china","1347000","","n/k"
"280","guilin","china","1340000","","li zhigang"
"281","pingdu","china","1340000","","n/k"
"287","baotou","china","1318000","1750000","hu ercha"
"290","lianjiang","china","1300000","","xing taian"
"292","mianyang","china","1300000","5200000","liu dong"
"293","yiyang","china","1300000","4500000","n/k"
"297","anshan","china","1290000","2404000","n/k"
"299","rizhao","china","1290000","","zhao xiaowei"
"303","heze","china","1280000","","du changwen"
"308","datong","china","1253000","1377000","n/k"
"310","fengcheng","china","1250000","","n/k"
"311","ruian","china","1250000","","n/k"
"312","laiwu","china","1249000","","ma pingchang"
"316","pingdingshan","china","1230000","5200000","deng yongjian"
"317","yuzhou","china","1230000","","n/k"
"319","cixi","china","1220000","","n/k"
"321","huainan","china","1201000","","cao yong"
"322","anqiu","china","1200000","","n/k"
"323","fuqing","china","1200000","","n/k"
"330","qianjiang","china","1190000","","n/k"
"331","bazhong","china","1186000","","n/k"
"333","leqing","china","1183000","","n/k"
"337","dongtai","china","1170000","","n/k"
"341","guangyuan","china","1160000","3037000","n/k"
"342","qidong","china","1160000","","n/k"
"353","bijie","china","1130000","7188000","n/k"
"354","haicheng","china","1130000","","n/k"
"357","leshan","china","1120000","","n/k"
"361","jimo","china","1112000","","n/k"
"362","jining","china","1110000","","zhang zhen chuan"
"368","wafangdian","china","1100000","","n/k"
"373","shouguang","china","1090000","","n/k"
"381","taishan","china","1070000","","n/k"
"385","ezhou","china","1064000","","n/k"
"388","jiangdu","china","1053000","","n/k"
"390","beiliu","china","1050000","","n/k"
"391","gongzhuling","china","1050000","","n/k"
"392","changshu","china","1048000","","wang xiang"
"399","fuzhou (jiangxi)","china","1020000","3700000","x&igrave;e y&igrave;s&reg;&#x2022;"
"400","yichun","china","1020000","958000","gong jianhua"
"402","mudanjiang","china","1014000","2707000","n/k"
"413","baoding","china","997000","","n/k"
"415","hezhou","china","990000","2090000","n/k"
"422","wujiang","china","970000","1500000","n/k"
"426","feicheng","china","960000","","n/k"
"429","haimen","china","950000","","n/k"
"435","weinan","china","925000","","n/k"
"445","songzi","china","905000","","n/k"
"448","laizhou","china","902000","","n/k"
"454","danyang","china","890000","","n/k"
"456","hengyang","china","880000","7000000","n/k"
"457","honghu","china","880000","","n/k"
"459","daye","china","874000","","n/k"
"473","benxi","china","830000","1567000","gang rui"
"474","haikou","china","830000","","n/k"
"480","hohhot","china","820000","1041000","n/k"
"487","liuzhou","china","810000","990000","n/k"
"490","bengbu","china","809000","3470000","chen qitao"
"499","daqing","china","800000","2770000","n/k"
"500","nanyang","china","800000","10700000","huang xingwei"
"516","jixi","china","760000","1960000","zhu deyi"
"521","ankang","china","743000","","n/k"
"533","xining","china","713000","894000","n/k"
"541","fuxin","china","690000","969000","n/k"
"543","jinzhou","china","690000","902000","n/k"
"551","zhangjiakou","china","680000","882000","n/k"
"574","kaifeng","china","584000","855000","n/k"
"584","hengyang","china","561000","799000","n/k"
"n/r","panzhihua","china","478000","771000","n/k"
"n/r","liuan","china","320000","1600000","tang linxiang"
"n/r","dongying","china","294000","804000","n/k"
"25","bogota","colombia","7320000","8361000","samuel moreno rojas"
"104","cali","colombia","2525000","2801000","jorge ivan ospina"
"128","medellin","colombia","2223000","3312000","alonso salazar jaramillo"
"294","barranquilla","colombia","1298000","1871000","alejandro char chaljub"
"452","cartagena","colombia","893000","1240000","judith pinedo"
"595","bucaramanga","colombia","542000","956000","n/k"
"352","brazzaville","congo br","1133000","1134000","n/k"
"n/r","pointe noire","congo br","527000","789000","n/k"
"18","kinshasa","congo d.r.","8200000","10100000","andr&eacute; kimbuta yango"
"347","lubumbashi","congo d.r.","1140000","1250000","moise katumbi"
"444","mbuji-mayi","congo d.r.","905000","1054000","n/k"
"497","kolwezi","congo d.r.","803000","803000","n/k"
"n/r","kisangani","congo d.r.","510000","818000","n/k"
"n/r","san jose","costa rica","357000","1370000","johnny araya"
"495","zagreb","croatia","804000","1288000","milan bandic"
"116","havana","cuba","2430000","3700000","juan contino asl&aacute;n"
"315","prague","czech republic","1242000","1900000","zdenek tuma"
"369","copenhagen","denmark","1096000","1096000","frank jensen"
"80","santo domingo","dominican republic","2989000","3813000","roberto salcedo"
"284","santiago de los caballeros","dominican republic","1329000","1937.000","gilberto serulle"
