"code","airport name","city","state"
"srq","sarasota-bradenton international airport","sarasota","fl"
"sav","savannah/hilton head international airport","savannah","ga"
"sea","seattle/tacoma international airport","seattle","wa"
"sbn","south bend regional airport","south bend","in"
"btv","burlington international airport","south burlington","vt"
"geg","spokane international airport","spokane","wa"
"syr","syracuse hancock international airport","syracuse","ny"
"tlh","tallahassee regional airport","tallahassee","fl"
"tpa","tampa international airport","tampa","fl"
"tus","tucson international airport","tucson","az"
"tul","tulsa international airport","tulsa","ok"
"vps","fort walton beach airport","valparaiso","fl"
"dca","ronald reagan washington national airport","washington","dc"
"iad","washington dulles international airport","washington","dc"
"pbi","palm beach international airport","west palm beach","fl"
"hpn","westchester county airport","white plains","ny"
"ict","wichita mid-continent airport","wichita","ks"
"bdl","bradley international airport","windsor locks","ct"
