"state/province","lake name","file size"
"oregon","wickiup reservoir","352 kb"
"pennsylvania","pittsburgh riversshows navigation chart info for the allegheny ohio and monongahela rivers in the pittsburgh area","4559 kb"
"south carolina","keowee lake","1504 kb"
"south carolina","{wylie lake|*}","1519 kb"
"south dakota","big stone lake","323 kb"
"tennessee","fort loudoun lake (updated 06/07/2004)","2313 kb"
"tennessee","j percy priest reservoir (updated 06/07/2004)","1499 kb"
"texas","{alan henry reservoir|*}","224 kb"
"texas","alvarado park lake","311 kb"
"texas","{amistad lake|*}","1619 kb"
"texas","arrowhead lake","481 kb"
"texas","{bastrop lake|*}","309 kb"
"texas","{baylor creek reservoir|*}","240 kb"
"texas","belton lakealso includes stillhouse hollow lake tx","1403 kb"
"texas","{brady creek reservoir|*}","285 kb"
"texas","{brandy branch reservoir|*}","256 kb"
"texas","bridgeport lake","565 kb"
"texas","{buffalo creek reservoir|*}","228 kb"
"texas","{casa blanca lake|*}","421 kb"
"texas","{cedar creek reservoir|*}","941 kb"
"texas","cherokee lake","408 kb"
"texas","clyde lake","239 kb"
"texas","coleman lake","184 kb"
"texas","cooper lake","363 kb"
"texas","corpus christi lake","684 kb"
"texas","{e v spence lake|*}","363 kb"
"texas","eagle mountain lake","525 kb"
"texas","georgetown lake","412 kb"
"texas","gibbons creek reservoir","347 kb"
"texas","gladewater lake","519 kb"
"texas","{granbury lake|*}","667 kb"
"texas","greenbelt reservoir","248 kb"
"texas","{hawkins lake|*}","282 kb"
"texas","holbrook lake *also includes lake fork reservoir tx and lake quitman tx","981 kb"
"texas","{jacksonville lake|*}","385 kb"
"texas","kickapoo lake","254 kb"
"texas","lake fork reservoir * (updated 05/02/2005)also includes lake holbrook tx and lake quitman tx","981 kb"
"texas","limestone lake","382 kb"
"texas","{lost creek lake|*}","258 kb"
"texas","{lyndon b johnson lake|*}","715 kb"
"texas","{mackenzie reservoir|*}","169 kb"
"texas","{mcqueeney lake|*}","428 kb"
"texas","mexia lake","260 kb"
"texas","{millers creek reservoir|*}","186 kb"
"texas","nacogdoches lake","260 kb"
"texas","nasworthy lake *also includes twin buttes reservoir tx","571 kb"
"texas","navarro mills lake","398 kb"
"texas","nocona lake","274 kb"
"texas","o' the pines lake (updated on 06/07/2004)","858 kb"
"texas","{pinkston lake|*}","181 kb"
"texas","quitman lake *also includes lake fork reservoir tx and lake holbrook tx","981 kb"
"texas","{palo pinto lake|*}","208 kb"
"texas","pat mayse lake","272 kb"
"texas","{red bluff reservoir|*}","177 kb"
"texas","richland chambers reservoir","817 kb"
"texas","{sheldon reservoir|*}","1221 kb"
"texas","somerville lake","421 kb"
"texas","stillhouse hollow lakealso includes belton lake tx","1403 kb"
"texas","texana lake","579 kb"
"texas","tradinghouse creek reservoir","478 kb"
"texas","twin buttes reservoiralso includes lake nasworthy tx","571 kb"
"texas","tyler lake","620 kb"
"texas","waco lake","663 kb"
"texas","weatherford lake","355 kb"
"texas","welsh lake","268 kb"
"texas","white river reservoir","105 kb"
"texas","wright patman lake","647 kb"
"utah","jordanelle reservoir","578 kb"
"utah/wyoming","flaming gorge reservoir","691 kb"
"virginia","anna lake","1110 kb"
"virginia","philpott lake","650 kb"
"west virginia","beech fork lakealso includes east lynn lake wv","688 kb"
"west virginia","east lynn lakealso includes beech fork lake wv","688 kb"
"west virginia","rd bailey lake","340 kb"
"wisconsin","mendota lake","451 kb"
"wyoming","{glendo reservoir|*}","293 kb"
"wyoming","jackson lake","2088 kb"
