"rank","title of great novel","year","author","religious affiliation of author"
"66","germinal","1855","emile zola","catholic"
"67","call it sleep","1934","henry roth","jewish"
"68","u.s.a. trilogy","1930-38","john dos passos","catholic"
"69","hunger","1890","knut hamsun","&nbsp;"
"70","berlin alexanderplatz","1929","alfred doblin","catholic"
"71","cities of salt","1984-89","'abd al-rahman munif","&nbsp;"
"72","the death of artemio cruz","1962","carlos fuentes","catholic"
"73","a farewell to arms","1929","ernest hemingway","catholic"
"74","brideshead revisited","1945","evelyn waugh","catholic"
"75","the last chronicle of barset","1866-67","anthony trollope","anglican"
"76","the pickwick papers","1836-67","charles dickens","anglican"
"77","robinson crusoe","1719","daniel defoe","protestant dissenter (presbyterian)"
"78","the sorrows of young werther","1774","johann wolfgang von goethe","deist"
"79","candide","1759","voltaire","raised in jansenism; later deist"
"80","native son","1940","richard wright","seventh-day adventist; communist"
"81","under the volcano","1947","malcolm lowry","methodist; anglican; agnostic"
"82","oblomov","1859","ivan goncharov","&nbsp;"
"83","their eyes were watching god","1937","zora neale hurston","&nbsp;"
"84","waverley","1814","sir walter scott","anglican"
"85","snow country","1937 1948","kawabata yasunari","&nbsp;"
"86","nineteen eighty-four","1949","george orwell","anglican"
"87","the betrothed","1827 1840","alessandro manzoni","catholic"
"88","the last of the mohicans","1826","james fenimore cooper","episcopalian"
"89","uncle tom's cabin","1852","harriet beecher stowe","episcopalian; congregationalist"
"90","les miserables","1862","victor hugo","catholic"
"91","on the road","1957","jack kerouac","catholic; buddhism"
"92","frankenstein","1818","mary shelley","&nbsp;"
"93","the leopard","1958","giuseppe tomasi di lampedusa","catholic"
"94","the catcher in the rye","1951","j.d. salinger","jewish catholic; scientologist"
"95","the woman in white","1860","wilkie collins","&nbsp;"
"96","the good soldier svejk","1921-23","jaroslav hasek","catholic"
"97","dracula","1897","bram stoker","church of ireland (anglican)"
"98","the three musketeers","1844","alexandre dumas","agnostic; catholic"
"99","the hound of baskervilles","1902","arthur conan doyle","catholic; spiritualist"
"100","gone with the wind","1936","margaret mitchell","catholic"
