"name","h&ouml;he","kanton","tourenart","schwierigkeit","datum","...bericht"
"gross ruchen","3138","ur","skitour","ss ii","26.01.2008",""
"hinter schloss","3133","ur","alpine skitour","ss+","29.01.2011",""
"piz grialetsch","3131","gr","skitour","s","05.05.2011",""
"pizzo pesciora","3122","ti/vs","skitour","ws+ ii","10.01.2008",""
"steinh�shorn","3121","be","alpine skitour","ss-","10.02.2008",""
"kr�nten","3108","ur","alpine skitour","s ii","28.04.2004",""
"piz tumpiv","3101","gr","skitour","zs+","15.01.2010",""
"gross muttenhorn","3099","ur/vs","skitour","s-","07.03.2008",""
"piz giuv","3096","gr/ur","skitour","s","10.01.2007",""
"scalettahorn","3086","gr","skitour","s","05.05.2011",""
"fl�ela-wisshorn","3085","gr","skitour","zs-","12.04.2009",""
"zw�chten","3080","ur","skitour","s","29.01.2008",""
"bocktschingel","3079","gl/ur","skitour","s","19.04.2009",""
"lochberg","3079","ur","skitour","s+","16.02.2008",""
"piz surpar�","3078","gr","skitour","ws+","03.01.2010",""
"bristen","3073","ur","alpine skitour","ss i","16.01.2009",""
"pizzo campo tencia","3072","ti","skitour","ss+","27.12.2008",""
"ch�ebodenhorn","3070","ti/vs","skitour","zs","22.02.2007",""
"gross leckihorn","3068","ur/vs","skitour","ws+","01.05.2005",""
"piz cazarauls","3063","gl/gr/ur","skitour","zs-","23.01.2010",""
"stotzig muttenhorn","3062","ur/vs","skitour","ss","26.01.2011",""
"pizzo gallina","3061","ti/vs","skitour","ss","15.01.2011",""
"lorenzhorn","3048","gr","skitour","ws+","14.03.2009",""
"chilchalphorn","3040","gr","skitour","ws","14.03.2009",""
"chli leckihorn","3023","ur/vs","skitour","ws+","01.05.2005",""
"rad�ner rothorn","3022","gr","skitour","ws+","11.04.2009",""
"gletscher ducan","3020","gr","skitour","zs-","23.04.2004",""
"b�chenstock","3011","ur","skitour","s i","29.01.2008",""
"piz ravetsch","3007","gr","alpine skitour","zs i","31.12.2004",""
"�lplihorn","3006","gr","skitour","zs-","23.04.2004",""
"pizzo centrale","2999","ti/ur","skitour","s i","15.01.2005",""
"piz beverin","2998","gr","skitour","zs-","04.04.2003",""
"stellibodenhorn","2988","ur","skitour","s-","30.04.2005",""
"salbitschijen","2981","ur","alpine klettertour","6b","24.07.2008",""
"gemsfairenstock","2972","gl/ur","skitour","ws+","08.03.2003",""
"pizzo lucendro","2963","ti/ur","skitour","ss","10.01.2009",""
"marchhorn","2962","ti/i","skitour","ss","06.04.2003",""
"gemsstock","2961","ur","skitour","s","20.01.2003",""
"brunnistock","2952","ur","skitour","ss","17.03.2004",""
"piz borel","2952","gr","alpine skitour","zs","31.12.2004",""
"rotstock","2951","ur","skitour","ws","20.01.2003",""
"grassen","2946","be/ow/ur","alpine skitour","s","01.04.2007",""
"chli bielenhorn","2940","ur","snowboardtour","ws","21.04.2002",""
"badus","2928","gr/ur","skitour","zs","07.01.2007",""
"uri rotstock","2928","ur","skitour","ss","15.03.2008",""
"b�chistock","2914","gl","skitour","ss i","02.01.2008",""
"rott�llihorn","2913","ur","skitour","s-","30.04.2005",""
"cristallina","2912","ti","skitour","s","23.02.2003",""
"vrenelisg�rtli","2904","gl","bergwandern","t6 ii","26.06.2011",""
"ruchen","2901","gl","bergwandern","t5 ii","26.06.2011",""
"zervreilahorn","2898","gr","alpine klettertour","5b","05.09.2004",""
"chrachenhorn","2891","gr","skitour","zs","15.02.2011",""
"cima vallaperta","2858","vs/i","skitour","zs","21.03.2009",""
"j�rihorn","2845","gr","skitour","l+","12.04.2009",""
"pizol","2844","sg","schneeschuhtour","ws i","30.12.2008",""
"helgenhorn","2837","ti/i","skitour","ws","22.12.2006",""
"rossbodenstock","2836","gr/ur","skitour","zs","07.01.2007",""
"vorder feldschijen","2828","ur","alpine klettertour","6a","23.07.2005",""
"madrisahorn","2826","gr","skitour","zs+","04.03.2011",""
"petit clocher du portalet","2823","vs","alpine klettertour","6c","03.08.2008",""
"poncione cavagnolo","2821","ti","skitour","s i","08.12.2008",""
"sulzfluh","2817","gr/a","skitour","zs","15.12.2002",""
"ruchstock","2814","nw/ur","skitour","ss","20.12.2007",""
"b�elenhorn","2808","gr","skitour","zs","17.02.2011",""
"k�rpf","2794","gl","skitour","zs i","13.02.2003",""
"schwarzhorn","2786","be","skitour","ws+","11.04.2009",""
"grosshorn","2781","gr","skitour","l","12.12.2010",""
"uf da fl�e","2774","gr","skitour","ws-","03.01.2010",""
"piz tarantschun","2769","gr","skitour","zs-","21.01.2008",""
"wichelhorn","2767","ur","skitour","s i","24.02.2008",""
"stotzigen firsten","2759","ur","skitour","ws","19.01.2008",""
"il madone","2756","ti","skitour","as-","11.01.2009",""
"pazolastock","2740","gr/ur","skitour","ws","07.01.2007",""
"grisset","2721","sz","skitour","ss","16.01.2010",""
"mittler griessstock","2717","ur","skitour","ss","03.01.2009",""
"poncione di vespero","2717","ti","skitour","ss+","03.01.2011",""
"r�tschenhorn","2703","gr","skitour","s","04.03.2011",""
"chli ch�rpf","2700","gl","skitour","ws+","22.01.2010",""
"pizzo lei di cima","2680","ti","skitour","s+","13.02.2004",""
"poncione val piana","2660","ti","skitour","s","08.12.2008",""
"ch�rbsch horn","2651","gr","skitour","ws","01.01.2012",""
"rad (wintergipfel)","2650","gl","skitour","zs","26.12.2008",""
"drusenfluh (w-gipfel)","2628","gr/a","alpine klettertour","7b","10.07.2008",""
"schijenflue","2627","gr/a","skitour","zs","14.12.2002",""
"einshorn (pkt. 2602m)","2602","gr","snowboardtour","ws","10.02.2002",""
"t�llistock","2580","be","alpine klettertour","6a+","23.08.2006",""
"l�ged windg�llen","2573","ur","skitour","s","25.04.2009",""
"pfannenstock","2573","sz","skitour","ss","16.01.2010",""
"punta di stou","2567","ti","skitour","zs","07.12.2008",""
"riedchopf","2552","gr/a","skitour","zs","03.12.2010",""
"rotspitz","2517","gr/a","skitour","ws+","03.12.2010",""
"hoch fulen","2506","ur","skitour","zs","27.03.2007",""
"glatten","2505","ur","skitour","zs+","05.03.2011",""
"spitzmeilen","2501","gl/sg","skitour","ws+ ii","11.02.2008",""
"s�ntis","2501","ai/ar/sg","skitour","s","22.01.2010",""
"pfriendler","2495","be","sportklettern","5b+","08.07.2002",""
"wissmilen","2483","gl/sg","skitour","ws","11.02.2008",""
"simelistock","2482","be","sportklettern","6b+","01.07.2007",""
"rinderstock","2463","ur","skitour","zs","27.03.2007",""
"rotr�fner","2462","sg","skitour","s","02.01.2009",""
"rossstock","2461","sz/ur","skitour","ws+","25.03.2007",""
"eggenmandli","2448","ur","skitour","ws+","18.02.2007",""
"altmann","2436","ai/sg","alpine klettertour","4c","04.10.2004",""
"hasenfl�eli","2412","gr","skitour","ws i","14.12.2008",""
"brisen","2404","nw/ur","snowboardtour","s","28.03.2004",""
"chaiserstuel","2400","nw/ur","skitour","ws","20.12.2007",""
"grosser fulfirst","2384","sg","skitour","ws+","25.02.2008",""
"bl�emberg","2383","sz/ur","skitour","s+","15.12.2007",""
"iffighore","2378","be","skitour","ws-","12.01.2012",""
"vilan","2376","gr","skitour","zs","19.11.2007",""
"wildhuser schafberg","2373","sg","skitour","s","21.03.2005",""
"chli fulfirst","2372","sg","skitour","ws+ ii","25.02.2008",""
"fuggstock","2371","gl","skitour","ws i","30.12.2010",""
"rothorn","2363","gr","skitour","ws","23.02.2011",""
"gr�enenspitz","2361","gl","skitour","s-","18.12.2010",""
"risetenhoren","2357","gl/sg","skitour","s","02.01.2009",""
"w�spen","2345","ur","skitour","ss","03.01.2009",""
"moor","2342","ai/sg","sportklettern","6c","21.09.2007",""
"wasserbergfirst","2341","sz","skitour","ss+","23.01.2010",""
"silberen","2319","sz","skitour","ws-","13.01.2008",""
"hinterrugg","2306","sg","sportklettern","7a","05.07.2008",""
"schilt","2299","gl","skitour","ws","30.12.2004",""
"redertenstock","2295","gl/sz","bergwandern","t5 ii","28.06.2011",""
"mutteristock","2294","gl/sz","skitour","zs+","05.02.2005",""
"rau st�ckli","2290","ur","skitour","zs+","05.03.2011",""
"rautispitz","2283","gl","bergwandern","t3+","03.06.2011",""
"druesberg","2282","sz","skitour","ss","22.12.2007",""
"wiggis","2282","gl","bergwandern","t4","03.06.2011",""
"brisi","2279","sg","skitour","zs-","30.12.2005",""
"spilauer stock","2270","ur","skitour","ws+","25.03.2007",""
"fr�msel","2267","sg","sportklettern","6b","19.06.2007",""
"ch�serrugg","2262","sg","sportklettern","7a","05.07.2008",""
"rosenlauistock","2255","be","sportklettern","7a","24.07.2006",""
"girenspitz","2253","sg","bergwandern","t6","18.09.2004",""
"madchopf","2236","sg","skitour","l","06.01.2007",""
"fanenstock","2235","gl","skitour","ws-","09.02.2003",""
"zuestoll","2235","sg","sportklettern","7a","16.09.2007",""
"forstberg","2215","sz","skitour","s-","22.12.2007",""
"h�ch hund","2215","sz","skitour","s","31.12.2010",""
"f�isc","2208","ti","schneeschuhtour","zs+","01.01.2009",""
"selun","2205","sg","skitour","ws+","16.03.2005",""
"eggberg","2202","gr","skitour","l+","14.12.2008",""
"chamm","2201","gl","skitour","s","01.02.2009",""
"mieserenstock","2199","sz","skitour","s","31.12.2010",""
"sch�ren","2194","sg","skitour","zs","02.04.2009",""
"h�chstelli","2186","gr","skitour","l","23.02.2011",""
"hagelstock","2182","ur","skitour","ws+","25.03.2007",""
"f�rispitz","2179","gl","skitour","ws","18.12.2010",""
"ochsenchopf","2179","gl/sz","bergwandern","t6 i","28.06.2011",""
"gantrisch","2175","be","skitour","s+","10.12.2010",""
"h�enerchopf","2171","sg","skitour","l","06.01.2007",""
"b�rglen","2165","be","skitour","s+","10.12.2010",""
"n�geliberg","2163","sg","skitour","ws+","02.04.2009",""
"silberplatten","2158","sg","sportklettern","6c+","16.08.2009",""
"tr�smerenh�reli","2137","sz","skitour","zs","23.01.2010",""
"br�nnelistock","2133","gl/sz","bergwandern","t4 i","25.05.2011",""
"tomlishorn","2129","nw/ow","berglauf","t5 ii","10.06.2011",""
"teuf hund","2126","sz","bergwandern","t6 ii","28.08.2011",""
"fronalpstock","2124","gl","bergwandern","t4 i","10.06.2011",""
"pilatus","2120","nw/ow","berglauf","t4 i","04.06.2011",""
"tw�riberg","2117","sz","skitour","ws+","27.12.2010",""
"stelli","2111","gr","skitour","l","23.02.2011",""
"stoss","2111","sg","skitour","ws+","11.01.2010",""
"leistchamm","2101","sg","skitour","ws+","02.04.2009",""
"glattchamm","2098","sg","skitour","s+","02.04.2009",""
"zindlenspitz","2097","gl/sz","bergwandern","t4 i","25.05.2011",""
"fluebrig","2093","sz","skitour","ss+","16.12.2007",""
"plattenberg","2082","gl/sz","bergwandern","t4","29.05.2011",""
"rossalpelispitz","2075","gl/sz","bergwandern","t4","25.05.2011",""
"turner","2069","sz","skitour","ss","26.12.2010",""
"kreuzberge","2065","sg","sportklettern","iv","16.06.2002",""
"gemmenalphorn","2062","be","bergwandern","t2","22.04.2011",""
"schibenspitz","2060","be","skitour","ws","10.12.2010",""
"fadeuer","2058","gr","skitour","l","23.02.2011",""
"lauiberg","2057","sz","bergwandern","t5","28.08.2011",""
"schiberg","2044","gl/sz","bergwandern","t6 iii","29.11.2008",""
"matthorn","2041","ow","berglauf","t3","10.06.2011",""
"lachenstock","2027","gl/sz","bergwandern","t4","29.05.2011",""
"r�tistein","2025","sz","skitour","ws-","16.01.2011",""
"wyss r�ssli","2018","sz","bergwandern","t4","21.06.2011",""
"schmal st�ckli","2012","sz","sportklettern","5c+","01.07.2002",""
"wilerhorn","2004","be/ow","bergwandern","t2","25.04.2011",""
"tierberg","1989","gl/sz","bergwandern","t6","15.06.2011",""
"wannenst�ckli","1988","gl/sz","bergwandern","t5","28.06.2011",""
"gantspitz","1970","sz","bergwandern","t6","21.06.2011",""
"wannenspitz","1970","gr","skitour","ws","23.02.2011",""
"biet","1966","sz","bergwandern","t3","28.08.2011",""
"niederhorn","1950","be","bergwandern","t2","22.04.2011",""
"schwarzchopf","1949","sg","skitour","ss","11.01.2010",""
"bockmattli","1932","sz","bergwandern","t4","15.06.2011",""
"sch�lberg","1930","sz","bergwandern","t5","28.08.2011",""
"firzstock","1923","gl","skitour","ws","05.12.2009",""
"fidisberg","1919","sz","bergwandern","t4","28.08.2011",""
"grosser mythen","1899","sz","bergwandern","t3","05.06.2011",""
"ch�pfenberg","1896","gl/sz","bergwandern","t5 i","15.06.2011",""
"birehubel","1850","be","skitour","ws","10.12.2010",""
"gonzen","1829","sg","bergwandern","t3","04.05.2011",""
"gmeinenwis","1818","sg","skitour","ws","23.12.2007",""
"neuenalpspitz","1816","sg","skitour","s","23.12.2007",""
"kleiner mythen","1811","sz","bergwandern","t5","10.05.2009",""
"gulmen","1789","sg","schneeschuhtour","ws","12.02.2006",""
"br�ggler","1777","gl","sportklettern","7a","27.05.2008",""
"wageten","1755","gl","snowboardtour","ws-","02.02.2002",""
"gross aubrig","1695","sz","skitour","ss","04.12.2010",""
"furggelenstock","1656","sz","bergwandern","t2","08.05.2011",""
"chli aubrig","1642","sz","skitour","ss","04.12.2010",""
"br�nnelistock","1594","sz","bergwandern","t1","08.05.2011",""
"hudelschijen","1590","sz","bergwandern","t4","08.05.2011",""
"gross schijen","1572","sz","bergwandern","t5 ii","08.05.2011",""
"hochstuckli","1566","sz","wandern","t2","29.08.2010",""
"chli schijen","1557","sz","bergwandern","t5 ii","08.05.2011",""
"chli mutzenstein","1504","sz","bergwandern","t4","21.06.2011",""
"vitznauerstock","1452","lu","bergwandern","t3","10.04.2011",""
"weissenstein","1287","so","wandern","t1","30.10.2005",""
"bachtel","1110","zh","wandern","t1","18.04.2011",""
