"saint","anglican","ethiopian","orthodox","catholic","non-historical"
"pope damasus i","--","--","--","yes","--"
"david (dewi) of wales","yes","--","--","--","--"
"denis","--","--","yes","yes","--"
"dismas","--","--","yes","yes","--"
"dunstan","yes","--","yes","yes","--"
"pope dionysius","--","--","--","yes","--"
"edith stein","--","--","--","yes","--"
"edward the martyr","??","--","yes","yes","--"
"pope eleutherius","--","--","--","yes","--"
"elizabeth ann seton[?]","--","--","--","yes","--"
"emelia[?]","--","--","yes","--","--"
"ephraim the syrian","--","--","yes","yes","--"
"ethelbert of kent","--","--","--","yes","--"
"pope eugene i","--","--","--","yes","--"
"pope eusebius","--","--","--","yes","--"
"pope eutychian","--","--","--","yes","--"
"pope evaristus","--","--","--","yes","--"
"pope fabian","--","yes","yes","yes","--"
"pope felix i","--","--","--","yes","--"
"pope felix ii","--","--","--","yes","--"
"pope felix iii","--","--","--","yes","--"
"pope felix iv","--","--","--","yes","--"
"ffraid","--","--","--","yes","--"
"francis of assisi","yes","--","--","yes","--"
"francis xavier","yes","--","--","yes","--"
"gall","--","--","--","yes","--"
"pope gelasius i","--","--","--","yes","--"
"george","yes","--","--","--","possible"
"gregory the illuminator","--","--","yes","yes","--"
"gregory nazianzus","yes","--","yes","--","--"
"gregory of nyssa","--","--","yes","--","--"
"pope gregory i","--","--","--","yes","--"
"pope gregory ii","--","--","--","yes","--"
"pope gregory iii","--","--","--","yes","--"
"pope gregory vii","--","--","--","yes","--"
"hedwig of andechs","--","--","--","yes","--"
"helena","--","--","yes","yes","--"
"henry i holy roman emperor","--","--","--","yes","--"
"herman of alaska","--","--","yes","--","--"
"pope hilarius","--","--","--","yes","--"
"pope hildebrand[?]","--","--","--","yes","--"
"pope hormisdas","--","--","--","yes","--"
"pope hyginus","--","--","--","yes","--"
"ignatius of antioch","yes","yes","yes","yes","--"
"ignatius loyola","yes","--","--","yes","--"
"pope innocent i","--","--","--","yes","--"
"irenaeus of lyons","yes","yes","yes","yes","--"
"isidore of seville","??","--","--","yes","--"
"jadwiga","--","--","--","yes","--"
"james the great","yes","--","--","yes","--"
"james the less[?]","yes","--","--","yes","--"
"jerome","yes","--","--","yes","--"
"john the baptist","yes","yes","yes","yes","--"
"john baptist de la salle","--","--","--","yes","--"
"john bosco","--","--","--","yes","--"
"john chrysostom","yes","--","yes","--","--"
"john climacus","--","--","yes","yes","--"
"john of the cross","yes","--","--","yes","--"
"john of damascus","--","--","yes","yes","--"
"john the evangelist","yes","yes","yes","yes","--"
"john maron","--","--","--","yes","--"
"pope john i","--","--","--","yes","--"
"josaphat","--","--","--","yes","possible"
"joseph the betrothed","yes","yes","yes","yes","--"
"jude[?]","yes","--","--","yes","--"
"pope julius i","--","--","--","yes","--"
"katherine of alexandria","--","--","--","yes","--"
"justin martyr","yes","yes","yes","yes","--"
"lazarus","yes","yes","yes","yes","--"
"pope leo i","--","--","--","yes","--"
"pope leo ii","--","--","--","yes","--"
"pope leo iii","--","--","--","yes","--"
"pope leo iv","--","--","--","yes","--"
"pope leo ix","--","--","--","yes","--"
"pope linus","--","--","--","yes","--"
"lorenzo ruiz[?]","--","--","--","yes","--"
"louis","--","--","--","yes","--"
"pope lucius i","--","--","--","yes","--"
"lucy of syracuse","yes","--","yes","yes","--"
"luke the evangelist","yes","yes","yes","yes","--"
"mary of the gael","--","--","--","yes","--"
"macrina[?]","?","yes","yes","yes","--"
"pope marcellinus","--","--","--","yes","--"
"pope marcellus i","--","--","--","yes","--"
"pope marcus","--","--","--","yes","--"
"margaret of scotland[?]","--","--","--","yes","--"
"margarita","--","--","--","yes","--"
"mark the evangelist","yes","yes","yes","yes","--"
"martin of tours","yes","--","--","yes","--"
"pope martin i","--","--","--","yes","--"
"the virgin mary","yes","yes","yes","yes","--"
"mary magdalene","yes","yes","yes","yes","--"
"matheos the poor","--","yes","--","--","--"
"matthew the evangelist","yes","yes","yes","yes","--"
"matthias","yes","yes","yes","yes","--"
"maurice","--","--","yes","yes","--"
"maximillian kolbe","yes","--","--","yes","--"
"methodius","??","??","yes","??","--"
"michael","yes","yes","yes","yes","--"
"pope miltiades","--","--","--","yes","--"
"saint nicephorus","??","??","yes","yes","--"
"nicholas of myra","yes","??","yes","yes","--"
"pope nicholas i","--","--","yes","yes","--"
"ninian","yes","--","yes","yes","--"
"gregory palamas","--","--","yes","--","--"
"pope paschal i","--","--","--","yes","--"
"patrick","yes","--","yes","yes","--"
"paul","yes","yes","yes","yes","--"
"pope paul i","--","--","--","yes","--"
"paulinus of nola","--","--","--","yes","--"
"perpetua and her companions","yes","yes","yes","yes","--"
"peter","yes","yes","yes","yes","--"
"peter the aleut","--","--","yes","--","--"
"peter of alexandria","--","yes","yes","yes","--"
"peter of sebaste[?]","--","--","yes","--","--"
"philip","yes","yes","yes","yes","--"
"philomena","--","--","--","yes","--"
"piran","--","--","--","yes","--"
"pope pius v","--","--","--","yes","--"
"pope pius x","--","--","--","yes","--"
"polycarp","yes","yes","yes","yes","--"
"pope pontain[?]","--","--","--","yes","--"
"raphael of brooklyn","--","--","yes","--","--"
"romuald[?]","--","--","--","yes","--"
"rosalia","?","--","--","yes","--"
"sergius","--","--","--","yes","--"
"pope sergius i","--","--","--","yes","--"
"pope silverius","--","--","--","yes","--"
"simon","yes","--","yes","yes","--"
"pope simplicius","--","--","--","yes","--"
"pope siricius","--","--","--","yes","--"
"pope sixtus i","--","--","--","yes","--"
"pope sixtus ii","--","--","--","yes","--"
"pope sixtus iii","--","--","--","yes","--"
"pope soter","--","--","--","yes","--"
"stephen","yes","yes","yes","yes","--"
"stephen of hungary","--","--","--","yes","--"
"pope stephen i","--","--","--","yes","--"
"pope sylvester i","--","--","--","yes","--"
"pope symmachus","--","--","--","yes","--"
"pope telesphorus","--","--","--","yes","--"
"teresa of avila","yes","--","--","yes","--"
"theodore the studite","--","--","yes","--","--"
"theophan the recluse","--","--","yes","--","--"
"therese of liseaux[?]","--","--","--","yes","--"
"thomas","yes","yes","yes","yes","--"
"thomas aquinas","yes","--","--","yes","--"
"thomas more","--","--","--","yes","--"
"tikhon of moscow","--","--","yes","--","--"
"tikhon of zadonsk","--","--","yes","--","--"
"timothy the apostle","yes","yes","yes","yes","--"
"ulrich of augsburg","--","--","--","yes","--"
"pope urban i","--","--","--","yes","--"
"veronica","--","--","--","yes","--"
"pope victor i","--","--","--","yes","--"
"vincent ferrer[?]","--","--","--","yes","--"
"vincent of lerins","--","--","yes","yes","--"
"pope vitalian","--","--","--","yes","--"
"vladimir of kiev","--","--","yes","yes","--"
"pope zacharias","--","--","--","yes","--"
"pope zephyrinus","--","--","--","yes","--"
"pope zosimus","--","--","--","yes","--"
