"rank","company","country","industry","sales  ($bil)","profits  ($bil)","assets  ($bil)","market  value ($bil)"
"31","procter  &amp; gamble","united    states","household &amp; personal products","79.74","11.13","144.40","203.67"
"32","deutsche  bank","germany","diversified financials","95.50","7.45","1485.58","56.27"
"33","unicredit  group","italy","banking","63.67","7.19","1077.21","77.46"
"34","telefónica","spain","telecommunications services","82.40","13.00","143.13","138.42"
"35","mitsubishi  ufj financial","japan","banking","49.49","7.50","1591.56","98.14"
"36","volkswagen  group","germany","consumer durables","149.00","5.64","210.88","90.23"
"37","ibm","united    states","software &amp; services","98.79","10.42","120.43","157.62"
"38","arcelormittal","luxembourg","materials","105.22","10.37","133.65","108.82"
"38","daimler","germany","consumer durables","145.11","5.82","199.77","85.16"
"40","bbva-banco  bilbao vizcaya","spain","banking","54.34","8.94","733.14","78.29"
"41","wells  fargo","united    states","banking","53.59","8.06","575.44","96.37"
"42","icbc","china","banking","37.48","6.31","961.65","289.57"
"43","credit  suisse group","switzerland","diversified financials","83.72","7.53","1194.75","50.85"
"44","hbos","united    kingdom","banking","100.32","8.10","1336.17","44.84"
"45","crédit  agricole","france","banking","101.59","6.49","1662.60","45.73"
"45","nestlé","switzerland","food drink &amp; tobacco","94.76","9.38","99.06","188.11"
"47","fortis","netherlands","diversified financials","121.19","5.46","1020.98","49.04"
"48","verizon  communications","united    states","telecommunications services","93.47","5.65","186.96","104.27"
"49","france  telecom","france","telecommunications services","77.31","9.20","137.09","87.89"
"50","siemens","germany","conglomerates","103.20","5.42","126.72","118.47"
"50","wachovia","united    states","banking","55.53","6.31","782.90","60.69"
"52","sinopec-china  petroleum","china","oil &amp; gas operations","133.79","6.90","77.44","186.38"
"53","hewlett-packard","united    states","technology hardware &amp; equip","107.67","7.85","88.57","122.04"
"54","lloyds  tsb group","united    kingdom","banking","58.74","6.53","701.08","50.95"
"55","royal  bank of canada","canada","banking","43.57","5.77","629.96","64.41"
"56","bank  of china","china","banking","31.13","5.49","679.57","171.45"
"57","pfizer","united    states","drugs &amp; biotechnology","48.42","8.14","115.27","152.17"
"58","johnson  &amp; johnson","united    states","drugs &amp; biotechnology","61.10","10.58","80.95","175.51"
"59","samsung  electronics","south    korea","semiconductors","92.26","8.56","87.49","87.84"
"60","statoilhydro","norway","oil &amp; gas operations","89.00","7.52","89.16","98.36"
"61","generali  group","italy","insurance","102.16","3.17","486.43","60.79"
"62","ccb-china  construction bank","china","banking","29.16","5.93","697.44","126.55"
"63","microsoft","united    states","software &amp; services","57.90","16.96","67.34","253.15"
"64","suez  group","france","utilities","64.96","5.37","114.89","83.56"
"65","zurich  financial services","switzerland","insurance","55.05","5.63","387.67","45.76"
"66","nippon  telegraph &amp; tel","japan","telecommunications services","91.57","4.06","149.71","60.27"
"67","sanofi-aventis","france","drugs &amp; biotechnology","40.95","7.68","104.98","101.17"
"68","honda  motor","japan","consumer durables","94.35","5.04","101.82","56.82"
"69","nokia","finland","technology hardware &amp; equip","74.54","10.52","52.62","145.66"
"70","munich  re","germany","insurance","67.57","5.63","306.03","37.34"
"71","mizuho  financial","japan","banking","32.52","5.28","1272.17","48.80"
"72","novartis","switzerland","drugs &amp; biotechnology","40.22","12.62","71.89","111.62"
"73","metlife","united    states","insurance","53.01","4.32","558.56","41.32"
"74","roche  holding","switzerland","drugs &amp; biotechnology","40.65","8.60","67.72","169.32"
"75","morgan  stanley","united    states","diversified financials","85.33","2.56","1045.41","46.53"
"76","vale","brazil","materials","33.23","10.26","74.70","161.39"
"77","rio  tinto","united kingdom/australia","materials","29.70","7.31","100.81","165.48"
"78","china  mobile","hong kong/china","telecommunications services","37.06","8.29","62.44","308.59"
"79","glaxosmithkline","united    kingdom","drugs &amp; biotechnology","45.07","10.35","57.16","120.05"
"80","basf","germany","chemicals","84.60","5.93","67.33","60.96"
"81","rwe  group","germany","utilities","56.17","3.64","119.50","68.19"
"82","sumitomo  mitsui financial","japan","banking","33.04","3.76","850.75","56.10"
"83","bhp  billiton","australia/united kingdom","materials","39.50","13.42","53.36","190.62"
"84","time  warner","united    states","media","46.48","4.39","133.83","55.83"
"85","banco  bradesco","brazil","banking","36.12","4.11","192.65","59.80"
"85","kbc  group","belgium","banking","35.22","4.66","517.98","43.66"
"87","dexia","belgium","banking","140.78","3.47","889.98","28.04"
"88","altria  group","united    states","food drink &amp; tobacco","38.05","9.16","57.21","154.20"
"89","national  australia bank","australia","banking","38.88","4.06","499.44","43.95"
"90","cisco  systems","united    states","technology hardware &amp; equip","37.68","8.07","55.30","145.39"
"91","manulife  financial","canada","insurance","33.08","4.01","178.58","59.18"
"92","bank  of nova scotia","canada","banking","28.02","4.25","431.30","48.08"
"93","intel","united    states","semiconductors","38.33","6.98","55.65","115.59"
"94","unilever","netherlands/united kingdom","food drink &amp; tobacco","54.82","5.30","53.40","92.75"
"95","toronto-dominion  bank","canada","banking","26.51","4.20","443.56","48.38"
"96","nissan  motor","japan","consumer durables","89.09","3.92","104.20","37.90"
"97","lehman  bros holdings","united    states","diversified financials","59.00","4.19","691.06","27.05"
"98","carrefour  group","france","food markets","112.40","3.15","75.73","49.95"
"99","commonwealth  bank","australia","banking","26.48","3.80","360.42","51.86"
"100","boeing","united    states","aerospace &amp; defense","66.39","4.07","58.99","63.32"
