"world rank","city","country","city            population","metro            population","mayor"
"n/r","halle","germany","233000","","dagmar szabados"
"n/r","hama","syria","325000","1500000","abdul razzaq al-qutainy"
"482","hamamatsu","japan","815000","1093000","yasutomo suzuki"
"166","hamburg","germany","1775000","3260000","olaf scholz"
"479","hamhung","north korea","821000","821000","n/k"
"260","handan","china","1390000","8500000","guo dajian"
"69","hangzhou","china","3408000","6776000","cai qi"
"n/r","hannover","germany","520000","1130000","stephan weil"
"270","hanoi","vietnam","1372000","6500000","nguyen the thao"
"406","haora","india","1008000","","sri gopal mukherjee"
"407","haora","india","1008000","1020000","sri gopal mukherjee"
"194","harare","zimbabwe","1600000","2800000","muchadeyi masunda"
"42","harbin","china","4755000","9874000","zhang xiaolian"
"116","havana","cuba","2430000","3700000","juan contino asl&aacute;n"
"207","hechuan","china","1530000","","n/k"
"169","hefei","china","1750000","4867000","wu cunrong"
"577","helsinki","finland","583000","1311000","jussi pajunen"
"456","hengyang","china","880000","7000000","n/k"
"584","hengyang","china","561000","799000","n/k"
"303","heze","china","1280000","","du changwen"
"415","hezhou","china","990000","2090000","n/k"
"476","hims","syria","823000","","nadia kseibi"
"336","hiroshima","japan","1174000","1700000","tadatoshi akiba"
"26","ho chi minh city","vietnam","7100000","","pham phuong thao"
"480","hohhot","china","820000","1041000","n/k"
"27","hong kong","china","7055000","","donald tsang"
"457","honghu","china","880000","","n/k"
"n/r","honolulu","usa","370000","894000","peter carlisle"
"126","houston","usa","2242000","5728000","annise parker"
"321","huainan","china","1201000","","cao yong"
"246","huazhou","china","1420000","","n/k"
"498","hubli","india","801000","801000","n/k"
"86","huludao","china","2787000","","sun zhaolin"
"159","huzhou","china","1800000","2700000","ma yi"
"60","hyderabad","india","3637000","6290000","banda karthika reddy"
"237","hyderabad","pakistan","1447000","1500000","kanwar naveed jamil"
"102","ibadan","nigeria","2550000","3000000","adebayo alao-akala"
"96","incheon","south korea","2630000","2630000","song young-gil"
"502","indianapolis","usa","798000","1715000","gregory a. ballard"
"147","indore","india","1912000","1920000","krishna murari moghe"
"295","irbil","iraq","1294000","15000000","n/k"
"12","istanbul","turkey","9560000","12600000","kadir topbas"
"122","izmir","turkey","2330000","3200000","aziz kocaoglu"
"358","jabalpur","india","1117000","1150000","prabhat sahu"
"493","jacksonville","usa","808000","1300000","john peyton"
"78","jaipur","india","3050000","5690000","jyoti khandelwal"
"11","jakarta","indonesia","10100000","24100000","fauzi bowo"
"532","jalandhar","india","714000","764000","n/k"
"563","jamshedpur","india","630000","1135000","n/k"
"54","jeddah","saudi arabia","3856000","4500000","adil faqeeh"
"514","jerusalem","israel","764000","1029000","nir barkat nazareth"
"388","jiangdu","china","1053000","","n/k"
"241","jianyang","china","1430000","","n/k"
"143","jilin","china","1953000","4523000","zhang xiaopei"
"361","jimo","china","1112000","","n/k"
"149","jinan","china","1900000","2444000","zhang jianguo"
"362","jining","china","1110000","","zhang zhen chuan"
"277","jinjiang","china","1350000","","kenneth li"
"543","jinzhou","china","690000","902000","n/k"
"516","jixi","china","760000","1960000","zhu deyi"
"538","joao pessoa","brazil","702000","984000","ricardo coutinho"
"408","jodhpur","india","1007000","","om kumari gehlot"
"53","johannesburg","south africa","3888000","10268000","amos masondo"
"64","kabul","afghanistan","3586000","4000000","mohammad yunus noandesh"
"229","kaduna","nigeria","1460000","1500000","mohammed namadi sambo"
"574","kaifeng","china","584000","855000","n/k"
"247","kampala","uganda","1420000","1600000","nasser sebaggala"
"62","kano","nigeria","3626000","3900000","ibrahim shekarau"
"75","kanpur","india","3100000","4865000","ravindra patani"
"n/r","kansas city","usa","480000","2050000","mark funkhouser"
"208","kaohsiung","taiwan","1530000","2960000","chen chu"
"1","karachi","pakistan","15500000","18000000","fazlur rehman"
"264","karaj","iran","1380000","","n/k"
"n/r","karlsruhe","germany","291000","","heinz fenrich"
"430","kathmandu","nepal","949000","1700000","n/k"
"n/r","katowice","poland","340000","2746000","piotr uszok"
"261","kawasaki","japan","1390000","1450000","takao abe"
"359","kazan","russia","1115000","1300000","lsur metshin"
"477","kermanshah","iran","823000","966000","n/k"
"228","kharkiv","ukraine","1461000","1674000","mykhailo dobkin"
"129","khartoum","sudan","2208000","7500000","abdul rahman alkheder"
"463","khulna","bangladesh","856000","1388000","talukder abdul khaleque"
"84","kiev","ukraine","2820000","3300000","alexander popov"
"562","kingston","jamaica","650000","925000","n/k"
"18","kinshasa","congo d.r.","8200000","10100000","andr&eacute; kimbuta yango"
"n/r","kisangani","congo d.r.","510000","818000","n/k"
"418","kitakyushu","japan","985000","1050000","kenji kitahashi"
"589","kitwe","zambia","548000","786000","n/k"
"206","kobe","japan","1534000","1560000","tatsuo yada"
"36","kolkata","india","5100000","15420000","bikash ranjan bhattacharya"
"497","kolwezi","congo d.r.","803000","803000","n/k"
"139","kowloon","china","2020000","2200000","wong kwok-keung"
"n/r","kozhikode","india","437000","","m. bhaskaran"
"519","krakow","poland","755000","1250000","jacek majchrowski"
"534","krasnodar","russia","710000","780000","vladimir yevlanov"
"439","krasnoyarsk","russia","920000","950000","pyotr pimashkov"
"n/r","krefeld","germany","236000","","gregor kathstede"
"157","kuala lumpur","malaysia","1810000","5470000","dato ahmed fuad ismail"
"216","kumasi","ghana","1500000","2500000","samuel sarpong"
"76","kunming","china","3100000","6800000","zhang zulin"
"n/r","kuwait city","kuwait","96000","2380000","n/k"
"227","kyoto","japan","1466000","1500000","daisaku kadokawa"
"307","la matanza","argentina","1255000","","n/k"
"212","la paz","bolivia","1517000","1551000","luis antonio revilla herrero"
"535","la plata","argentina","710000","833000","pablo bruera"
"20","lagos","nigeria","7938000","9123000","n/k"
"30","lahore","pakistan","6100000","8600000","mian amir mahmood"
"312","laiwu","china","1249000","","ma pingchang"
"448","laizhou","china","902000","","n/k"
"135","lanzhou","china","2088000","3300000","zhang jinliang"
"586","las vegas","usa","558000","1866000","oscar b goodman"
"510","leeds","uk","778000","1500000","paul rogerson"
"n/r","leipzig","germany","515000","1417000","burkhard jung"
"349","leon","mexico","1138000","1635000","ricardo sheffield"
"333","leqing","china","1183000","","n/k"
"357","leshan","china","1120000","","n/k"
"290","lianjiang","china","1300000","","xing taian"
"n/r","lille","france","226000","1143000","martine aubry"
"461","lilongwe","malawi","866000","","n/k"
"22","lima","peru","7606000","8473000","susana villaran"
"123","linyi","china","2300000","10080000","lian chengmin"
"587","lisbon","portugal","558000","2612000","ant&oacute;nio costa"
"n/r","liuan","china","320000","1600000","tang linxiang"
"265","liuyang","china","1380000","","liang zhong"
"487","liuzhou","china","810000","990000","n/k"
"n/r","liverpool","uk","435000","817000","n/k"
"506","lodz","poland","783000","1429000","jerzy kropiwickni"
"23","london","uk","7557000","12200000","boris johnson"
"55","los angeles","usa","3834000","12890000","antonio villaraigosa"
"n/r","louisville","usa","260000","1040000","jerry abramson"
"41","luanda","angola","4799000","5500000","jos&eacute; maria ferraz dos santos"
"n/r","l&uuml;beck","germany","211000","","bernd saxe"
"347","lubumbashi","congo d.r.","1140000","1250000","moise katumbi"
"121","lucknow","india","2342000","2686000","dinesh sharma"
"256","ludhiana","india","1400000","4400000","n/k"
"278","lufeng","china","1350000","","n/k"
"217","luoyang","china","1500000","1499000","guo hongchang"
"363","lusaka","zambia","1110000","3120000","robert chikwelete"
"266","luzhou","china","1380000","4800000","liu guoqiang"
"524","lviv","ukraine","740000","1040000","andriy sadovyi"
"n/r","lyon","france","472000","1665000","g&eacute;rard collomb"
