"number","fell name","height (m)","height (ft)","gps reference","guide","steve","justine","emily","sophie","diva"
"37","catstycam","890","2920","ny 34811&nbsp;15823&nbsp; ","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"38","caudale moor","763","2503","ny 41867 09997","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"39","causey pike","637","2090","ny 21876 20851","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"40","caw fell","690","2264","ny 13198 11001","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"41","clough head","726","2382","ny 33393 22541","the eastern fells","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"42","cold pike","701","2300","ny 26289 03613 &nbsp; ","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"43","coniston old man","803","2635","sd 27237 97815","NULL","NULL","NULL","NULL","NULL","NULL"
"44","crag fell","523","1716","ny 09729 14384","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"45","crinkle crags","859","2818","ny 24863&nbsp;04869&nbsp; ","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"46","dale head","753","2470","ny 22301 15324","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"47","dodd","502","1647","ny 24368 27225","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"48","dollywagon pike","858","2815","ny 34629 13063","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"49","dove crag","792","2598","ny 37454 10437","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"50","dow crag","778","2552","sd 26254 97794","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"51","eagle crag","520","1706","ny 27535 12098","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"52","eel crag (crag hill)","839","2753","ny 19267 20364","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"53","esk pike","885","2904","ny 23670 07529","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"54","fairfield","873","2864","ny 35861 11722","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"55","fellbarrow","416","1365","ny 13219 24245","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"56","fleetwith pike","648","2126","ny 20587 14167","NULL","NULL","NULL","NULL","NULL","NULL"
"57","froswick","720","2362","ny 43519 08518","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"58","gavel fell","526","1726","ny 11699 18386","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"59","gibson knott","420","1378","ny 31845 09923","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"60","glaramara","783","2569","ny 24723 10565","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"61","glenridding dodd","442","1450","ny 38048 17558","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"62","gowbarrow fell","481","1578","ny 40764 21817","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"63","grange fell","410","1345","ny 26470 16274","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"64","grasmoor","852","2795","ny 17481 20351","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"65","gray crag","699","2293","ny 42675 11882","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"66","graystones","456","1496","ny 17758 26494","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"67","great borne","616","2021","ny 12398 16379","the western fells","NULL","NULL","NULL","NULL","NULL"
"68","great calva","690","2264","ny 29089 31188","NULL","NULL","NULL","NULL","NULL","NULL"
"69","great carrs","780","2559","ny 27045 00880","NULL","NULL","NULL","NULL","NULL","NULL"
"70","great cockup","526","1726","ny 27336 33311","NULL","NULL","NULL","NULL","NULL","NULL"
"71","great crag","440","1444","ny 27002 14682","NULL","NULL","NULL","NULL","NULL","NULL"
"72","great dodd","857","2812","ny 34193 20556","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"73","great end","910","2986","ny 22670 08385","NULL","NULL","NULL","NULL","NULL","NULL"
"74","great gable","899","2949","ny 21102 10317","NULL","NULL","NULL","&nbsp;","&nbsp;","&nbsp;"
"75","great mell fell","537","1762","ny 39682 25363","the eastern fells","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"76","great rigg","766","2513","ny 35600 10500","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"77","great scafell","651","2136","ny 29135 33898","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"78","green crag","489","1604","sd 20025 98274","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"79","green gable","801","2628","ny 21472 10716","NULL","NULL","NULL","&nbsp;","&nbsp;","&nbsp;"
"80","grey crag","638","2093","ny 49721 07185","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"81","grey friar","770","2526","ny 26009 00359","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"82","grey knotts","697","2287","ny 21731 12567","NULL","NULL","NULL","NULL","NULL","NULL"
"83","grike","488","1601","ny 08495 14076","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"84","grisedale pike","791","2595","ny 19839 22544","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"85","hallin fell","388","1273","ny 43303 19817","NULL","NULL","NULL","NULL","NULL","NULL"
"86","hard knott","549","1801","ny 23193 02369","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"87","harrison stickle","736","2415","ny 28180 07393","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"88","hart crag","822","2697","ny 36907 11208","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"89","hart side","756","2480","ny 35891 19725","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"90","harter fell (eskdale)","653","2142","sd 21881 99718","NULL","NULL","NULL","NULL","NULL","NULL"
"91","harter fell (mardale)","778","2552","ny 45970 09332","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"92","hartsop above how","580","1903","ny 38315 12005","NULL","NULL","NULL","NULL","NULL","NULL"
"93","hartsop dodd","618","2028","ny 412 118","the eastern fells","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"94","haycock","797","2615","ny 14477 10722","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"95","haystacks","597","1959","ny 19338 13206","NULL","NULL","NULL","NULL","NULL","NULL"
"96","helm crag","405","1329","ny 32630 09353","NULL","NULL","NULL","NULL","NULL","NULL"
"97","helvellyn","950","3117","ny 34167 15158","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"98","hen comb","509","1670","ny 13213 18119","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"99","heron pike","612","2008","ny 35599 08300","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"100","high crag","744","2441","ny 18060 14017","the western fells","NULL","NULL","NULL","NULL","NULL"
"101","high hartsop dodd","519","1703","ny 39357 10766","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"102","high pike (caldbeck)","658","2159","ny 31873 35002","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"103","high pike (scandale)","656","2152","ny 37443 08830","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"104","high raise (langdale)","762","2500","ny 28074 09536","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"105","high raise (martindale)","802","2631","ny 44826 13453","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"106","high rigg","354","1161","ny 30860 21994","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"107","high seat","608","1995","ny 28709 18049","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"108","high spy","653","2142","ny 23413 16234","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"109","high stile","807","2648","ny 16748 14783","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"110","high street","828","2717","ny 44078 11045","NULL","NULL","NULL","NULL","NULL","NULL"
"111","high tove","515","1690","ny 28922 16512","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"112","hindscarth","727","2385","ny 21565 16517","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"113","holme fell","317","1040","ny 31528 00654","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"114","hopegill head","770","2526","ny 18566 22165","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"115","ill bell","757","2484","ny 43668 07725","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"116","illgill head","609","1998","ny 16542 04800","NULL","NULL","NULL","NULL","NULL","NULL"
"117","kentmere pike","730","2395","ny 46565 07792","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"118","kidsty pike","780","2559","ny 44738 12577","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"119","kirk fell","802","2631","ny 19498 10485","the western fells","NULL","NULL","NULL","NULL","NULL"
"120","knott","710","2329","ny 29622 32985","NULL","NULL","NULL","NULL","NULL","NULL"
"121","knott rigg","556","1824","ny 19742 18868","NULL","NULL","NULL","NULL","NULL","NULL"
"122","knott the","739","2425","ny 43709 12682","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"123","lank rigg","541","1775","ny 09164 11955","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"124","latrigg","368","1207","ny 27886 24685","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"125","ling fell","373","1224","ny 17959 28590","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"126","lingmell","800","2625","ny 20925 08144","NULL","NULL","NULL","NULL","NULL","NULL"
"127","lingmoor fell","469","1539","ny 30277 04605","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"128","little hart crag","637","2090","ny 38734 10028","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"129","little mell fell","505","1657","ny 42318 24027","the eastern fells","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"130","loadpot hill","671","2201","ny 45689 18129","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"131","loft crag","680","2231","ny 27743 07135","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"132","long side","734","2408","ny 24881 28441","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"133","longlands fell","483","1585","ny 27590 35402","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"134","lonscale fell","715","2346","ny 28544 27171","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"135","lord's seat","552","1811","ny 20437 26558","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"136","loughrigg fell","335","1099","ny 34697 05139","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"137","low fell","428","1404","ny 13730 22618","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"138","low pike","508","1667","ny 37354 07832","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"139","maiden moor","576","1890","ny 23688 17115","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"140","mardall ill bell","760","2493","ny 44760 10118","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"141","meal fell","550","1804","ny 28259 33711","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"142","mell break","512","1680","ny 14843 18562","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"143","middle dodd","654","2146","ny 39736 09571","the eastern fells","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"144","middle fell ","582","1909","ny 15080 07269","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"145","mungrisdale common","633","2077","ny 31059 29231","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"146","nab scar","440","1444","ny 35538 07240","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"147","nab the","576","1890","ny 43423 15194","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"148","nethermost pike","891","2923","ny 34408 14154","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"149","outerside","568","1864","ny 21112 21460","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"150","pavey ark","700","2297","ny 28457 07903","NULL","NULL","NULL","NULL","NULL","NULL"
"151","pike o' blisco","705","2313","ny 27118 04212","NULL","NULL","NULL","NULL","NULL","NULL"
"152","pike o'stickle","709","2326","ny 27399 07356","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"153","pillar","892","2927","ny 17126 12101","the western fells","NULL","NULL","NULL","NULL","NULL"
"154","place fell","657","2156","ny 40564 16955","NULL","NULL","NULL","NULL","NULL","NULL"
"155","raise","883","2897","ny 34277 17414","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"156","rampsgill head","792","2598","ny 44332 12861","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"157","rannerdale knotts","355","1165","ny 16730 18251","NULL","NULL","NULL","NULL","NULL","NULL"
"158","raven crag","461","1512","ny 30346 18757","NULL","NULL","NULL","NULL","NULL","NULL"
"159","red pike ( buttermere)","755","2477","ny 16054 15453","the western fells","NULL","NULL","NULL","NULL","NULL"
"160","red pike (wasdale)","826","2710","ny 16530 10610","NULL","NULL","NULL","NULL","NULL","NULL"
"161","red screes","776","2546","ny 39649 08767","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"162","rest dodd","696","2283","ny 43272 13701","the far eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"163","robinson","737","2418","ny 20183 16876","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"164","rossett pike","650","2133","ny 24920 07565","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"165","rosthwaite fell","550","1807","ny 25832 12479&nbsp;","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"166","sail","773","2536","ny 19820 20276","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"167","st sunday crag","841","2759","ny 36930 13404","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"168","sale fell","359","1178","ny 19443 29659","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"169","sallows","516","1693","ny 43653 03983","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"170","scafell ","964","3163","ny 20682 06484","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"171","scafell pike","978","3210","ny 21534 07218","NULL","NULL","NULL","NULL","NULL","NULL"
"172","scar crags","672","2205","ny 20853 20661","NULL","NULL","NULL","NULL","NULL","NULL"
"173","scoat fell","841","2759","ny 15940 11384","the western fells","NULL","NULL","NULL","NULL","NULL"
"174","seat sandal","736","2415","ny 34399 11424","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"175","seatallan","692","2270","ny 13964 08403","NULL","NULL","NULL","NULL","NULL","NULL"
"176","seathwaite fell","632","2073","ny 22904 10181","NULL","NULL","NULL","NULL","NULL","NULL"
"177","selside pike","655","2149","ny 49079 11183","NULL","NULL","NULL","NULL","NULL","NULL"
"178","sergeant man","730","2395","ny 28647 08896","NULL","NULL","NULL","&nbsp;","&nbsp;","NULL"
"179","sergeant's crag","571","1873","ny 27394 11379","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"180","sheffield pike","675","2215","ny 36910 18178","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"181","shipman knotts","587","1926","ny 47241 06212","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"182","silver how","394","1293","ny 32479 06641","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"183","skiddaw","931","3054","ny 26040 29085","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"184","skiddaw little man","865","2838","ny 26679 27785","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"185","slight side","762","2500","ny 20969 05028","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"186","sour howes","483","1585","ny 42830 03203","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"187","souther pike","522","1713","ny 35472 29140","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"188","starling dodd","633","2077","ny 14206 15747","the western fells","NULL","NULL","NULL","NULL","NULL"
"189","steel fell","553","1814","ny 31944 11157","NULL","NULL","NULL","NULL","NULL","NULL"
"190","steel knotts","432","1417","ny 44037 18125&nbsp;","NULL","NULL","NULL","NULL","NULL","NULL"
"191","steeple","819","2687","ny 15757 11678","NULL","NULL","NULL","NULL","NULL","NULL"
"192","stone arthur","500","1640","ny 34752 09233","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"193","stybarrow dodd","843","2766","ny 34295 18923","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"194","swirl how","802","2631","ny 27282 00551","NULL","NULL","NULL","NULL","NULL","NULL"
"195","tarn crag (easedale)","550","1804","ny 30358 09326","NULL","NULL","NULL","NULL","NULL","NULL"
"196","tarn crag (longsleddale)","664","2178","ny 48848 07852","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"197","thornthwaite crag","784","2572","ny 43154 10039","NULL","NULL","NULL","NULL","NULL","NULL"
"198","thunacar knott","723","2372","ny 27967 07990","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"199","troutbeck tongue","364","1194","ny 42233 06384","NULL","NULL","NULL","NULL","NULL","NULL"
"200","ullock pike","680","2231","ny 24441 28758","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"201","ullscarf","726","2382","ny 29157 12172","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"202","walla crag","379","1243","ny 27684 21285","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"203","wandope","772","2533","ny 18818 19737","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"204","wansfell","487","1598","ny 40370 05267","NULL","NULL","NULL","NULL","NULL","NULL"
"205","watson's dodd","789","2589","ny 33568 19560","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"206","wether hill","670","2198","ny 45570 16780","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"207","wetherlam","762","2500","ny 28820 01108","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"208","whin rigg","535","1755","ny 15135 03447","NULL","NULL","NULL","NULL","NULL","NULL"
"209","whinlatter","525","1722","ny 19695 24903","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"210","white side","863","2831","ny 33780 16663","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"211","whiteless pike","660","2165","ny 18021 18977","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"212","whiteside","707","2320","ny 17047 21951","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"213","yewbarrow","628","2060","ny 17338 08472","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"214","yoke","706","2316","ny 43773 06734","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"&nbsp;","totals","&nbsp;","&nbsp;","&nbsp;","NULL","87","36","33","33","81"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","fell name","height (m)","height (ft)","gps reference","NULL","steve","justine","emily","sophie","diva"
"&nbsp;","pen-y-ghent","694","2276","sd 83853 73385","NULL","NULL","NULL","NULL","NULL","NULL"
"&nbsp;","whernside","736","2415","sd 73840 81410","NULL","NULL","NULL","NULL","NULL","NULL"
"&nbsp;","ingleborough","723","2372","sd 74118 74560","NULL","NULL","NULL","NULL","NULL","NULL"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","wales","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","snowdon","1085","3560","sh 60990 54375","NULL","NULL","NULL","NULL","NULL","NULL"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
