"entity","currency","alphabetic code","numeric code"
"NULL","loti","lsl","426"
"liberia","liberian dollar","lrd","430"
"libyan arab jamahiriya","libyan dinar","lyd","434"
"liechtenstein","swiss franc","chf","756"
"lithuania","lithuanian litas","ltl","440"
"luxembourg","luxembourg franc","luf","442"
"macau","pataca","mop","446"
"macedonia the former yugoslav republic of","denar","mkd","807"
"madagascar","malagasy franc","mgf","450"
"malawi","kwacha","mwk","454"
"malaysia","malaysian ringgit","myr","458"
"maldives","rufiyaa","mvr","462"
"mali","cfa franc bceao","xof","952"
"malta","maltese lira","mtl","470"
"marshall islands","us dollar","usd","840"
"martinique","french franc","frf","250"
"mauritania","ouguiya","mro","478"
"mauritius","mauritius rupee","mur","480"
"mexico","mexican peso","mxn","484"
"NULL","mexican unidad de inversion (udi)","mxv","979"
"micronesia","us dollar","usd","840"
"moldova republic of","moldovan leu","mdl","498"
"monaco","french franc","frf","250"
"mongolia","tugrik","mnt","496"
"montserrat","east caribbean dollar","xcd","951"
"morocco","moroccan dirham","mad","504"
"mozambique","metical","mzm","508"
"myanmar","kyat","mmk","104"
"namibia","rand","zar","710"
"NULL","namibia dollar","nad","516"
"nauru","australian dollar","aud","36"
"nepal","nepalese rupee","npr","524"
"netherlands","netherlands guilder","nlg","528"
"netherlands antilles","antillian guilder","ang","532"
"new caledonia","cfp franc","xpf","953"
"new zealand","new zealand dollar","nzd","554"
"nicaragua","cordoba oro","nio","558"
"niger","cfa franc bceao","xof","952"
"nigeria","naira","ngn","566"
"niue","new zealand dollar","nzd","554"
"norfolk island","australian dollar","aud","36"
"northern mariana islands","us dollar","usd","840"
"norway","norwegian krone","nok","578"
"oman","rial omani","omr","512"
"pakistan","pakistan rupee","pkr","586"
"palau","us dollar","usd","840"
"panama","balboa","pab","590"
"NULL","us dollar","usd","840"
"papua new guinea","kina","pgk","598"
"paraguay","guarani","pyg","600"
"peru","nuevo sol","pen","604"
"philippines","philippine peso","php","608"
"pitcairn","new zealand dollar","nzd","554"
"poland","zloty","pln","985"
"portugal","portuguese escudo","pte","620"
"puerto rico","us dollar","usd","840"
"qatar","qatari rial","qar","634"
"reunion","french franc","frf","250"
"romania","leu","rol","642"
"russian federation","russian ruble","rur","810"
"NULL","russian ruble","rub","643"
"rwanda","rwanda franc","rwf","646"
"st helena","st helena pound","shp","654"
"st kitts - nevis","east caribbean dollar","xcd","951"
"saint lucia","east caribbean dollar","xcd","951"
"st pierre and miquelon","french franc","frf","250"
"saint vincent and the grenadines","east caribbean dollar","xcd","951"
"samoa","tala","wst","882"
"san marino","italian lira","itl","380"
"sao tome and principe","dobra","std","678"
"saudi arabia","saudi riyal","sar","682"
"senegal","cfa franc bceao","xof","952"
"seychelles","seychelles rupee","scr","690"
"sierra leone","leone","sll","694"
"singapore","singapore dollar","sgd","702"
"slovakia","slovak koruna","skk","703"
"slovenia","tolar","sit","705"
"solomon islands","solomon islands dollar","sbd","90"
"somalia","somali shilling","sos","706"
"south africa","rand","zar","710"
"spain","spanish peseta","esp","724"
"sri lanka","sri lanka rupee","lkr","144"
"sudan","sudanese dinar","sdd","736"
"suriname","surinam guilder","srg","740"
"svalbard and jan mayen islands","norwegian krone","nok","578"
"swaziland","lilangeni","szl","748"
"sweden","swedish krona","sek","752"
"switzerland","swiss franc","chf","756"
"syrian arab republic","syrian pound","syp","760"
"taiwan province of china","new taiwan dollar","twd","901"
"tajikistan","somoni","tjs","972"
"tajikistan (old)","tajik ruble (old)","tjr","762"
"tanzania united republic of","tanzanian shilling","tzs","834"
"thailand","baht","thb","764"
"togo","cfa franc bceao","xof","952"
"tokelau","new zealand dollar","nzd","554"
"tonga","pa'anga","top","776"
"trinidad and tobago","trinidad and tobago dollar","ttd","780"
"tunisia","tunisian dinar","tnd","788"
"turkey","turkish lira","trl","792"
"turkmenistan","manat","tmm","795"
"turks and caicos islands","us dollar","usd","840"
"tuvalu","australian dollar","aud","36"
"uganda","uganda shilling","ugx","800"
"ukraine","hryvnia","uah","980"
"united arab emirates","uae dirham","aed","784"
"united kingdom","pound sterling","gbp","826"
"united states","us dollar","usd","840"
"NULL","(same day)","uss","998"
"NULL","(next day)","usn","997"
"united states minor outlaying islands","us dollar","usd","840"
"uruguay","peso uruguayo","uyu","858"
"uzbekistan","uzbekistan sum","uzs","860"
"vanuatu","vatu","vuv","548"
"vatican city state (holy see)","italian lira","itl","380"
"venezuela","bolivar","veb","862"
"vietnam","dong","vnd","704"
"virgin islands (british)","us dollar","usd","840"
"virgin islands (u.s.)","us dollar","usd","840"
"wallis and futuna islands","cfp franc","xpf","953"
"western sahara","moroccan dirham","mad","504"
"yemen","yemeni rial","yer","886"
"yugoslavia","new dinar","yum","891"
"zaire","new zaire","zrn","180"
"zambia","kwacha","zmk","894"
"zimbabwe","zimbabwe dollar","zwd","716"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;","NULL","NULL"
"NULL","gold bond markets units","xau","959"
"NULL","bond markets units","NULL","NULL"
"NULL","european composite unit (eurco)","xba","955"
"NULL","european monetary unit (e.m.u.-6)","xbb","956"
"NULL","european unit of account 9 (e.u.a.- 9)","xbc","957"
"NULL","european unit of account 17 (e.u.a.- 17)","xbd","958"
"NULL","palladium","xpd","964"
"NULL","platinum","xpt","962"
"NULL","silver","xag","961"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;","NULL","NULL"
"NULL","special settlement currencies","NULL","NULL"
"NULL","uic-franc","xfu","nil"
"NULL","gold-franc","xfo","nil"
"NULL","codes specifically reserved for testing purposes","xts","963"
"NULL","the codes assigned for transactions where no currency is    involved are:","xxx","999"
"NULL","euro","eur","978"
