"title","year","media type","director","writer","length","matting"
"happy gilmore","1996","dvd","dennis dugan","tim herlihy","92","widescreen"
"hart's war","2002","blu-ray","gregory hoblit","billy ray","125","widescreen"
"heaven help us","1985","dvd","michael dinner","charles purpura","104","widescreen"
"high fidelity","2000","dvd","stephen frears","d. v. devincentis","113","widescreen"
"i heart huckabees","2004","dvd","david o. russell","david o. russell","106","both"
"in the valley of elah","2007","blu-ray","paul haggis","paul haggis","121","widescreen"
"is it college yet?","2002","dvd","karen disher","glenn eichler","66","fullscreen"
"is it fall yet?","2000","dvd","karen disher","glenn eichler","75","fullscreen"
"jackass - the movie","2002","dvd","jeff tremaine","jeff tremaine","87","widescreen"
"jackass number two","2006","dvd","jeff tremaine","jeff tremaine","95","widescreen"
"jay and silent bob strike back","2001","dvd","kevin smith","kevin smith","104","widescreen"
"jesus christ superstar","1973","dvd","norman jewison","tim rice","108","widescreen"
"juno","2007","blu-ray","jason reitman","diablo cody","96","widescreen"
"karate kid the","1984","dvd","john g. avildsen","robert mark kamen","127","widescreen"
"ken block stunts vol. 1","2009","dvd","ken block","n/a","37","widescreen"
"kids are alright the","1979","blu-ray","jeff stein","jeff stein","101","widescreen"
"knocked up","2007","dvd","judd apatow","judd apatow","133","widescreen"
"last king of scotland the","2006","dvd","kevin macdonald","peter morgan","123","widescreen"
"le mans","1971","dvd","lee h. katzin","harry kleiner","106","widescreen"
"lewis black unleashed","2002","dvd","paul miller","lewis black","116","fullscreen"
"léon the professional","1994","blu-ray","luc besson","luc besson","133","widescreen"
"liar liar","1997","dvd","tom shadyac","paul guay","86","widescreen"
"little big league","1994","dvd","andrew scheinman","gregory k. pincus","119","fullscreen"
"lost in translation","2003","dvd","sofia coppola","sofia coppola","102","widescreen"
"mallrats","1995","dvd","kevin smith","kevin smith","94","widescreen"
"man on the moon","1999","dvd","milos forman","scott alexander","118","widescreen"
"matrix the","1999","dvd","brothers wachowski","brothers wachowski","136","widescreen"
"meeting people is easy","1999","dvd","grant gee","n/a","95","fullscreen"
"memento","2000","dvd","christopher nolan","christopher nolan","113","widescreen"
"men in black","1997","blu-ray","barry sonnenfeld","ed solomon","98","widescreen"
"men with brooms","2002","dvd","paul gross","paul gross","102","widescreen"
"mighty ducks the","1992","dvd","stephen herek","steven brill","100","widescreen"
"milk","2008","blu-ray","gus van sant","dustin lance black","129","widescreen"
"miracle","2004","dvd","gavin o'connor","eric guggenheim","135","widescreen"
"mission: impossible","1996","dvd","brian de palma","david koepp","110","widescreen"
"mitch hedberg: mitch all together","2003","dvd","comedy central","mitch hedberg","65","fullscreen"
"monty python and the holy grail","1975","dvd","terry gilliam","graham chapman","91","widescreen"
"monty python's life of brian","1979","dvd","terry jones","graham chapman","94","widescreen"
"monty python's the meaning of life","1983","dvd","terry jones","graham chapman","108","widescreen"
"mr. holland's opus","1996","dvd","stephen herek","patrick sheane duncan","143","widescreen"
"music man the","2003","dvd","jeff bleckner","sally robinson","133","fullscreen"
"my blue heaven","1990","dvd","herbert ross","nora ephron","96","fullscreen"
"my cousin vinny","1992","dvd","jonathan lynn","dale launer","120","widescreen"
"mystery alaska","1999","dvd","jay roach","david e. kelley","119","widescreen"
"napoleon dynamite","2004","dvd","jared hess","jared hess","82","both"
"not another teen movie","2001","dvd","joel gallen","michael g. bender","89","widescreen"
"notebook the","2004","dvd","nick cassavetes","jeremy leven","124","both"
"office - season one the","2005","dvd","ken kwapis","greg daniels","135","widescreen"
"office space","1999","dvd","mike judge","mike judge","89","widescreen"
"one flew over the cuckoo's nest","1975","blu-ray","milos forman","lawrence hauben","133","widescreen"
"outsiders  the","1983","dvd","francis ford coppola","kathleen knuten rowell","91","both"
"pair of lewis black shorts a","2003","dvd","adam dubin","adam dubin","35","fullscreen"
"pearl harbor","2001","blu-ray","michael bay","randall wallace","183","widescreen"
"pee-wee's big adventure","1985","dvd","tim burton","phil hartman","90","widescreen"
"phantom of the opera the","2004","dvd","joel schumacher","andrew lloyd webber","143","widescreen"
"pi","1998","dvd","darren aronofsky","darren aronofsky","84","widescreen"
"pirates of silicon valley","1999","dvd","martyn burke","martyn burke","95","fullscreen"
"practice - volume one - discs 1&2 the","1997","dvd","michael schultz","david e. kelley","358","fullscreen"
"practice - volume one - discs 3&4 the","1997","dvd","michael schultz","david e. kelley","226","fullscreen"
"prestige the","2006","dvd","christopher nolan","jonathan nolan","130","widescreen"
"producers the","2005","dvd","susan stroman","mel brooks","134","widescreen"
"quantum of solace","2008","blu-ray","marc forster","paul haggis","106","widescreen"
"racing into darkness","2010","dvd","intersport","n/a","107","widescreen"
"raging bull","1980","blu-ray","martin scorsese","paul schrader","129","widescreen"
"rain man","1988","dvd","barry levinson","ronald bass","133","widescreen"
"remember the titans","2000","blu-ray","boaz yakin","gregory allen howard","113","widescreen"
"rendezvous","1976","dvd","claude lelouch","claude lelouch","9","fullscreen"
"rent","2005","dvd","chris columbus","stephen chbosky","135","widescreen"
"rent: filmed live on broadway","2008","blu-ray","michael john warren","jonathan larson","165","widescreen"
"requiem for a dream","2000","dvd","darren aronofsky","hubert selby jr.","102","widescreen"
"reservoir dogs","1992","dvd","quentin tarantino","quentin tarantino","100","both"
"robin hood - men in tights","1993","dvd","mel brooks","mel brooks","104","widescreen"
"rocky horror picture show the","1975","dvd","jim sharman","richard o'brien","100","widescreen"
"romeo and juliet","1968","dvd","franco zeffirelli","franco brusati","138","widescreen"
"ronin","1998","dvd","john frankenheimer","j.d. zeik","121","both"
"rounders","1998","dvd","john dahl","david levien","121","widescreen"
"rudy","1993","dvd","david anspaugh","angelo pizzo","112","widescreen"
"rufus wainwright: live at the fillmore","2004","dvd","neils alpert","rufus wainwright","87","fullscreen"
"rules of engagement","2000","dvd","william friedkin","stephen gaghan","127","widescreen"
"rushmore","1998","dvd","wes anderson","wes anderson","93","widescreen"
"santa claus conquers the martians","1964","dvd","nicholas webster","glenville mareth","81","fullscreen"
"sarah silverman: jesus is magic","2005","dvd","liam lynch","sarah silverman","72","widescreen"
"saw","2004","dvd","james wan","leigh whannell","102","widescreen"
"saw ii","2005","dvd","darren lynn bousman","leigh whannell","93","widescreen"
"school of rock  the","2003","dvd","richard linklater","mike white","108","widescreen"
"se7en","1995","dvd","david fincher","andrew kevin walker","127","widescreen"
"searching for bobby fischer","1993","dvd","steven zaillian","steven zaillian","110","widescreen"
"seinfeld - season 1 - disc 1","1989","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 2 - disc 1","1990","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 2 - disc 2","1990","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 2 - disc 3","1990","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 3 - disc 1","1991","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 3 - disc 2","1991","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 3 - disc 3","1991","dvd","tom cherones","larry david","138","fullscreen"
"seinfeld - season 3 - disc 4","1991","dvd","tom cherones","larry david","138","fullscreen"
"seinfeld - season 4 - disc 1","1992","dvd","tom cherones","larry david","138","fullscreen"
"seinfeld - season 4 - disc 2","1992","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 4 - disc 3","1992","dvd","tom cherones","larry david","138","fullscreen"
"seinfeld - season 4 - disc 4","1992","dvd","tom cherones","larry david","161","fullscreen"
"seinfeld - season 5 - disc 1","1993","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 5 - disc 2","1993","dvd","tom cherones","larry david","115","fullscreen"
"seinfeld - season 5 - disc 3","1993","dvd","tom cherones","larry david","138","fullscreen"
"seinfeld - season 5 - disc 4","1993","dvd","tom cherones","larry david","138","fullscreen"
"seinfeld - season 6 - disc 1","1994","dvd","andy ackerman","larry david","138","fullscreen"
"seinfeld - season 6 - disc 2","1994","dvd","andy ackerman","larry david","138","fullscreen"
"seinfeld - season 6 - disc 3","1994","dvd","andy ackerman","larry david","138","fullscreen"
"seinfeld - season 6 - disc 4","1994","dvd","andy ackerman","larry david","138","fullscreen"
"seventh seal the","1957","blu-ray","ingmar bergman","ingmar bergman","97","fullscreen"
"shakespeare in love","1999","dvd","john madden","marc norman","123","widescreen"
"shawshank redemption the","1994","dvd","frank darabont","frank darabont","142","widescreen"
"showgirls","1995","dvd","paul verhoeven","joe eszterhas","128","widescreen"
"silence of the lambs  the","1991","dvd","jonathan demme","ted tally","118","widescreen"
"skulls the","2000","dvd","rob cohen","john pogue","107","widescreen"
"slap shot","1977","dvd","george roy hill","nancy dowd","123","widescreen"
"snl: best of will ferrell","2003","dvd","dave wilson","snl writing staff","76","fullscreen"
"south park: bigger longer & uncut","1999","dvd","trey parker","matt stone","81","widescreen"
"spaceballs","1987","dvd","mel brooks","mel brooks","96","both"
"speed","1994","dvd","jan de bont","graham yost","116","widescreen"
"sports night - season 1 - discs 1 & 2","1998","dvd","thomas schlamme","aaron sorkin","NULL","fullscreen"
"sports night - season 1 - discs 3 & bonus","1999","dvd","thomas schlamme","aaron sorkin","NULL","fullscreen"
"sports night - season 2 - discs 1 & 2","1999","dvd","thomas schlamme","aaron sorkin","NULL","fullscreen"
"sports night - season 2 - discs 3 & bonus","2000","dvd","thomas schlamme","aaron sorkin","NULL","fullscreen"
"spun","2002","dvd","jonas åkerlund","creighton vero","101","widescreen"
"stand and deliver","1988","dvd","ramón menéndez","ramón menéndez","103","fullscreen"
"star wars: episode i - the phantom menace","1999","dvd","george lucas","george lucas","133","widescreen"
"star wars: episode ii - attack of the clones","2002","dvd","george lucas","george lucas","142","widescreen"
"star wars: episode iii - revenge of the sith","2005","dvd","george lucas","george lucas","140","widescreen"
"star wars: episode iv - a new hope","1977","dvd","george lucas","george lucas","123","widescreen"
"star wars: episode v - the empire strikes back","1980","dvd","irvin kershner","leigh brackett","129","widescreen"
"star wars: episode vi - return of the jedi","1983","dvd","richard marquand","lawrence kasdan","136","widescreen"
"star wars: trilogy bonus material","2004","dvd","george lucas","n/a","236","widescreen"
"stir of echoes","1999","blu-ray","david koepp","david koepp","94","widescreen"
"stranger than fiction","2006","dvd","marc forster","zach helm","113","widescreen"
"super size me","2004","dvd","morgan spurlock","n/a","100","widescreen"
"super troopers","2001","dvd","jay chandrasekhar","jay chandrasekhar","103","widescreen"
"swordfish","2001","dvd","dominic sena","skip woods","99","widescreen"
"talented mr. ripley the","1999","dvd","anthony minghella","anthony minghella","139","widescreen"
"talladega nights: the ballad of ricky bobby","2006","dvd","adam mckay","will ferrell","121","widescreen"
"tenacious d in the pick of destiny","2006","dvd","liam lynch","jack black","95","widescreen"
"tenacious d: the complete masterworks","2003","dvd","tom gianas","jack black","133","fullscreen"
"thank you for smoking","2006","dvd","jason reitman","jason reitman","91","widescreen"
"there will be blood","2007","blu-ray","paul thomas anderson","paul thomas anderson","158","widescreen"
"this is spinal tap","1984","dvd","rob reiner","christopher guest","82","widescreen"
"thomas crown affair the","1999","dvd","john mctiernan","leslie dixon","113","both"
"to kill a mockingbird","1962","dvd","robert mulligan","horton foote","130","widescreen"
"tom green subway monkey hour the","2002","dvd","tom green","scott tomlinson","50","fullscreen"
"tom green: inside and outside the box","1996","dvd","tom green","tom green","600","fullscreen"
"tommy","1975","dvd","ken russell","ken russell","111","both"
"tommy boy","1995","dvd","peter segal","bonnie turner","97","widescreen"
"top gear season 1","2002","dvd","brian klein","jeremy clarkson","571","fullscreen"
"top gear season 2","2003","dvd","brian klein","jeremy clarkson","512","fullscreen"
"top gear season 3","2003","dvd","brian klein","jeremy clarkson","476","fullscreen"
"top gear season 4","2004","dvd","brian klein","jeremy clarkson","591","widescreen"
"top gear season 5","2004","dvd","brian klein","jeremy clarkson","529","widescreen"
"top gear season 6","2005","dvd","brian klein","jeremy clarkson","652","widescreen"
"top gear season 7","2005","dvd","brian klein","jeremy clarkson","416","widescreen"
"top gear season 8","2006","dvd","brian klein","jeremy clarkson","476","widescreen"
"top gear season 9","2007","dvd","brian klein","jeremy clarkson","417","widescreen"
"top gear season 10","2007","dvd","brian klein","jeremy clarkson","604","widescreen"
"top gear season 11","2008","dvd","brian klein","jeremy clarkson","366","widescreen"
"top gear season 12","2008","dvd","brian klein","jeremy clarkson","497","widescreen"
"top gear season 13","2009","dvd","brian klein","jeremy clarkson","NULL","widescreen"
"top gear season 14","2009","dvd","brian klein","jeremy clarkson","440","widescreen"
"top gear season 15","2010","dvd","brian klein","jeremy clarkson","NULL","widescreen"
"top gun","1986","dvd","tony scott","jim cash","110","both"
"training day","2001","blu-ray","antoine fuqua","david ayer","120","widescreen"
"truman show  the","1998","dvd","peter weir","andrew niccol","103","widescreen"
"truth in 24","2008","dvd","keith cossrow","bennett viseltear","95","widescreen"
"uhf","1989","dvd","jay levey","al yankovic","97","both"
"unbreakable","2000","dvd","m. night shyamalan","m. night shyamalan","107","widescreen"
"untouchables the","1987","dvd","brian de palma","david mamet","119","widescreen"
"usual suspects the","1995","dvd","bryan singer","christopher mcquarrie","106","both"
"v for vendetta","2005","dvd","james mcteigue","brothers wachowski","132","widescreen"
"varsity blues","1999","dvd","brian robbins","w. peter iliff","104","widescreen"
"victory by design: porsche","2004","dvd","tony maylam","tony maylam","88","widescreen"
"volcano","1997","dvd","mick jackson","jerome armstrong","104","widescreen"
"waiting...","2005","dvd","rob mckittrick","rob mckittrick","94","widescreen"
"wall the","1982","dvd","alan parker","roger waters","95","widescreen"
"wall street","1987","blu-ray","oliver stone","stanley weiser","126","widescreen"
"war room the","1994","dvd","chris hegedus","n/a","97","fullscreen"
"wargames","1983","dvd","john badham","lawrence lasker","113","widescreen"
"wedding singer  the","1998","dvd","frank coraci","tim herlihy","95","both"
"weird al yankovic: the videos","1996","dvd","francis delia","al yankovic","75","fullscreen"
"west side story","1961","dvd","jerome robbins","arthur laurents","151","fullscreen"
"who killed the electric car?","2006","dvd","chris paine","chris paine","91","widescreen"
"willy wonka & the chocolate factory","1971","dvd","mel stuart","roald dahl","100","fullscreen"
"wizard of oz the","1939","dvd","victor fleming","noel langley","203","fullscreen"
"world's greatest roller coaster thrills in 3-d","1995","dvd","ned rodgers","ned rodgers","66","fullscreen"
"wrestler the","2008","blu-ray","darren aronofsky","robert d. siegel","111","widescreen"
"x-men","2000","blu-ray","bryan singer","david hayter","104","widescreen"
"zach galifianakis: live at the purple onion","2006","dvd","michael blieden","zach galifianakis","72","widescreen"
"zoolander","2001","dvd","ben stiller","drake sather","89","widescreen"
