"game","genre","platform","release"
"major league baseball 2k7","sports","ps3","02/27/07"
"major league baseball 2k8","sports","ps3","03/04/08"
"marvel: ultimate alliance","action rpg","ps3","11/07/06"
"marvel: ultimate alliance 2","action - rpg","ps3","09/15/09"
"medal of honor airborne","shooter","ps3","11/19/07"
"mercenaries 2: world in flames","action","ps3","08/31/08"
"metal gear online","action","ps3","tba"
"metal gear solid 4: guns of the patriots","action","ps3","06/12/08"
"midnight club: los angeles","racing","ps3","10/07/08"
"mlb 07: the show","sports","ps3","05/15/07"
"mlb 08: the show","sports","ps3","03/04/08"
"mobile suit gundam: crossfire","action","ps3","11/13/06"
"mortal kombat vs. dc universe","fighting","ps3","11/10/08"
"motorstorm","racing","ps3","03/06/07"
"motorstorm: pacific rift","racing","ps3","10/07/08"
"mx vs atv untamed","racing","ps3","12/17/07"
"nascar 08","sports","ps3","07/23/07"
"nba 2k7","sports","ps3","11/13/06"
"nba 2k8","sports","ps3","10/02/07"
"nba 2k9","sports","ps3","10/31/08"
"nba live 08","sports","ps3","10/02/07"
"nba live 09","sports","ps3","10/07/08"
"nba '07","sports","ps3","11/13/06"
"nba '09: the inside","sports","ps3","10/07/08"
"nba �08","sports","ps3","10/02/07"
"ncaa football 08","sports","ps3","07/17/07"
"need for speed carbon","racing","ps3","11/14/06"
"need for speed prostreet","racing","ps3","11/13/07"
"need for speed undercover","racing","ps3","11/18/08"
"nfl tour","sports","ps3","01/08/08"
"nhl 08","sports","ps3","09/11/07"
"nhl 09","sports","ps3","09/09/08"
"nhl 2k7","sports","ps3","03/23/07"
"nhl 2k8","sports","ps3","09/10/07"
"nhl 2k9","sports","ps3","09/08/08"
"ninja gaiden sigma","action","ps3","07/03/07"
"pirates of the caribbean: at world's end","action","ps3","05/22/07"
"prototype","action","ps3","summer 2008"
"pure","racing","ps3","09/16/08"
"ratatouille","action","ps3","october 2007"
"ratchet & clank future: tools of destruction","action","ps3","10/23/07"
"red faction: guerrilla","shooter","ps3","tba 2009"
"resident evil 5","action / survival horror","ps3","tba 2008"
"resistance 2","first person shooter","ps3","11/04/08"
"resistance: fall of man","fps","ps3","11/14/06"
"ridge racer 7","racing","ps3","11/13/06"
"rock band","music","ps3","11/20/07"
"saints row 2","action","ps3","10/14/08"
"saint's row","action","ps3","cancelled"
"sega rally revo","racing","ps3","10/09/07"
"shaun white snowboarding","sports","ps3","11/17/08"
"silent hill 5","adventure","ps3","tba 2008"
"silent hill: homecoming","action/adventure","ps3","09/30/08"
"skate","sports","ps3","09/24/07"
"socom: confrontation","action","ps3","10/14/08"
"soldier of fortune: pay back","fps","ps3","11/13/07"
"sonic the hedgehog","platformer","ps3","01/30/07"
"spider-man 3","action","ps3","05/04/07"
"spider-man: web of shadows","action/adventure","ps3","10/21/08"
"star wars: the force unleashed","action","ps3","09/16/08"
"street fighter iv","fighting","ps3","tba 2008"
"street fighter iv","fighting","ps3","tba 2008"
"stuntman: ignition","racing action","ps3","09/17/07"
"super street fighter iv","fighting","ps3","spring 2010"
"surf's up","action","ps3","05/29/07"
"the agency","shooter","ps3","tba"
"the bigs","sports","ps3","06/25/07"
"the bourne conspiracy","action","ps3","06/03/08"
"the chronicles of narnia: prince caspian","action","ps3","05/16/08"
"the chronicles of riddick: assault on dark athena","fps","ps3","tba 2008"
"the club","action","ps3","02/19/08"
"the darkness","action","ps3","06/25/07"
"the elder scrolls iv: oblivion","rpg","ps3","03/19/07"
"the godfather: the don's edition","action","ps3","03/22/07"
"the incredible hulk","action","ps3","06/05/08"
"the orange box","action","ps3","12/11/07"
"the simpsons game","adventure","ps3","10/30/07"
"tiger woods pga tour 07","sports","ps3","11/14/06"
"tiger woods pga tour 08","sports","ps3","08/28/07"
"tiger woods pga tour 09","sports","ps3","08/26/08"
"time crisis 4","shooter","ps3","11/20/07"
"timeshift","shooter","ps3","12/19/07"
"tna impact","sports","ps3","09/09/08"
"tom clancy's ghost recon advanced warfighter 2","fps","ps3","08/21/07"
"tom clancy's rainbow six: vegas","fps","ps3","06/26/07"
"tom clancy�s rainbow six vegas 2","action","ps3","03/18/08"
"tomb raider underworld","action/adventure","ps3","11/18/08"
"tony hawk's project 8","sports","ps3","11/07/06"
"tony hawk's proving ground","sports","ps3","10/15/07"
"top spin 3","sports","ps3","06/23/08"
"transformers: the game","action","ps3","06/26/07"
"turning point: fall of liberty","fps","ps3","02/26/08"
"turok","action","ps3","02/05/08"
"uncharted 2: among thieves","action","ps3","10/13/09"
"uncharted: drake�s fortune","action","ps3","11/20/07"
"unreal tournament 3","fps","ps3","12/10/07"
"untold legends: dark kingdom","rpg","ps3","11/15/06"
"viking: battle for asgard","action","ps3","03/25/08"
"virtua fighter 5","fighting","ps3","02/20/07"
"virtua tennis 3","sports","ps3","03/22/07"
"warhawk","action - flight","ps3","08/28/07"
"world in conflict","strategy","ps3","fall 2008"
"wwe smackdown! vs. raw 2008","sports","ps3","11/13/07"
"x-men origins: wolverine","action","ps3","05/01/09"
